,tick,exchange,country_name,currency,sector,industry,fulltime_employees
0,AAPL.NE,NEO,United States,CAD,Technology,Consumer Electronics,"100,000"
1,GOOG.NE,NEO,United States,CAD,Communication Services,Internet Content & Information,"156,500"
2,AMZN.NE,NEO,United States,CAD,Consumer Cyclical,Internet Retail,"1,608,000"
3,TSLA.NE,NEO,United States,CAD,Consumer Cyclical,Auto Manufacturers,"99,290"
4,MVRS.NE,NEO,United States,CAD,Communication Services,Internet Content & Information,"71,970"
5,RY.TO,Toronto,Canada,CAD,Financial Services,Banks—Diversified,"85,211"
6,NFLX.NE,NEO,United States,CAD,Communication Services,Entertainment,"11,300"
7,TD.TO,Toronto,Canada,CAD,Financial Services,Banks—Diversified,"90,000"
8,TD-PFK.TO,Toronto,Canada,CAD,,,"90,000"
9,TD-PFM.TO,Toronto,Canada,CAD,,,"90,000"
10,TD-PFL.TO,Toronto,Canada,CAD,,,"90,000"
11,TD-PFI.TO,Toronto,Canada,CAD,,,"90,000"
12,TD-PFB.TO,Toronto,Canada,CAD,,,"90,000"
13,TD-PFD.TO,Toronto,Canada,CAD,,,"90,000"
14,ENB.TO,Toronto,Canada,CAD,Energy,Oil & Gas Midstream,"10,900"
15,ENB-PY.TO,Toronto,Canada,CAD,Energy,Oil & Gas Midstream,"10,900"
16,ENB-PFA.TO,Toronto,Canada,CAD,,,"10,900"
17,ENB-PP.TO,Toronto,Canada,CAD,Energy,Oil & Gas Midstream,"10,900"
18,ENB-PJ.TO,Toronto,Canada,CAD,Energy,Oil & Gas Midstream,"10,900"
19,CNR.TO,Toronto,Canada,CAD,Industrials,Railroads,"22,604"
20,ENB-PFV.TO,Toronto,Canada,USD,,,"10,900"
21,ENB-PFC.TO,Toronto,Canada,CAD,,,"10,900"
22,BNS.TO,Toronto,Canada,CAD,Financial Services,Banks—Diversified,"89,782"
23,BAM-A.TO,Toronto,Canada,CAD,Financial Services,Asset Management,"181,000"
24,ENB-PFG.TO,Toronto,Canada,CAD,,,"10,900"
25,CNQ.TO,Toronto,Canada,CAD,Energy,Oil & Gas E&P,"9,735"
26,BMO.TO,Toronto,Canada,CAD,Financial Services,Banks—Diversified,"43,863"
27,ENB-PFU.TO,Toronto,Canada,USD,,,"10,900"
28,ENB-PU.TO,Toronto,Canada,USD,Energy,Oil & Gas Midstream,"10,900"
29,CP.TO,Toronto,Canada,CAD,Industrials,Railroads,"11,834"
30,BCE-PT.TO,Toronto,Canada,CAD,Communication Services,Telecom Services,"49,781"
31,BMO-PW.TO,Toronto,Canada,CAD,Financial Services,Banks—Diversified,"43,863"
32,ENB-PV.TO,Toronto,Canada,USD,Energy,Oil & Gas Midstream,"10,900"
33,TRP-PA.TO,Toronto,Canada,CAD,Energy,Oil & Gas Midstream,"7,017"
34,TRP-PF.TO,Toronto,Canada,CAD,Energy,Oil & Gas Midstream,"7,017"
35,BAM-PFA.TO,Toronto,Canada,CAD,,,"181,000"
36,BAM-PFE.TO,Toronto,Canada,CAD,,,"181,000"
37,NGT.TO,Toronto,United States,CAD,Basic Materials,Gold,"14,400"
38,BAM-PR.TO,Toronto,Canada,CAD,Financial Services,Asset Management,"181,000"
39,BMO-PY.TO,Toronto,Canada,CAD,Financial Services,Banks—Diversified,"43,863"
40,BMO-PD.TO,Toronto,Canada,CAD,Financial Services,Banks—Diversified,"43,863"
41,BAM-PFG.TO,Toronto,Canada,CAD,,,"150,000"
42,BMO-PE.TO,Toronto,Canada,CAD,Financial Services,Banks—Diversified,"43,863"
43,SHOP.TO,Toronto,Canada,CAD,Technology,Software—Application,"7,000"
44,TRP-PB.TO,Toronto,Canada,CAD,Energy,Oil & Gas Midstream,"7,017"
45,NTR.TO,Toronto,Canada,CAD,Basic Materials,Agricultural Inputs,"23,100"
46,BMO-PC.TO,Toronto,Canada,CAD,Financial Services,Banks—Diversified,"43,863"
47,BCE-PZ.TO,Toronto,Canada,CAD,Communication Services,Telecom Services,
48,BCE-PN.TO,Toronto,Canada,CAD,Communication Services,Telecom Services,"49,781"
49,BCE-PD.TO,Toronto,Canada,CAD,Communication Services,Telecom Services,
50,TRP.TO,Toronto,Canada,CAD,Energy,Oil & Gas Midstream,"7,017"
51,BCE-PY.TO,Toronto,Canada,CAD,Communication Services,Telecom Services,
52,BCE-PS.TO,Toronto,Canada,CAD,Communication Services,Telecom Services,
53,BCE-PH.TO,Toronto,Canada,CAD,Communication Services,Telecom Services,"49,781"
54,BCE-PJ.TO,Toronto,Canada,CAD,Communication Services,Telecom Services,
55,TRP-PC.TO,Toronto,Canada,CAD,Energy,Oil & Gas Midstream,"7,017"
56,BCE-PF.TO,Toronto,Canada,CAD,Communication Services,Telecom Services,
57,BCE-PB.TO,Toronto,Canada,CAD,Communication Services,Telecom Services,
58,BCE-PA.TO,Toronto,Canada,CAD,Communication Services,Telecom Services,
59,BCE-PE.TO,Toronto,Canada,CAD,Communication Services,Telecom Services,
60,BCE-PL.TO,Toronto,Canada,CAD,Communication Services,Telecom Services,
61,BCE-PM.TO,Toronto,Canada,CAD,Communication Services,Telecom Services,
62,BCE-PG.TO,Toronto,Canada,CAD,Communication Services,Telecom Services,
63,BCE-PC.TO,Toronto,Canada,CAD,Communication Services,Telecom Services,
64,BCE-PK.TO,Toronto,Canada,CAD,Communication Services,Telecom Services,
65,BCE.TO,Toronto,Canada,CAD,Communication Services,Telecom Services,
66,CM.TO,Toronto,Canada,CAD,Financial Services,Banks—Diversified,"45,282"
67,TRI.TO,Toronto,Canada,CAD,Industrials,Specialty Business Services,"24,000"
68,BAM-PFI.TO,Toronto,Canada,CAD,,,"150,000"
69,BCE-PQ.TO,Toronto,Canada,CAD,Communication Services,Telecom Services,
70,BAM-PM.TO,Toronto,Canada,CAD,Financial Services,Asset Management,"150,000"
71,BAM-PFC.TO,Toronto,Canada,CAD,,,"150,000"
72,TRP-PK.TO,Toronto,Canada,CAD,Energy,Oil & Gas Midstream,"7,017"
73,BCE-PR.TO,Toronto,Canada,CAD,Communication Services,Telecom Services,
74,ATD.TO,Toronto,Canada,CAD,Consumer Cyclical,Specialty Retail,"124,000"
75,SU.TO,Toronto,Canada,CAD,Energy,Oil & Gas Integrated,"12,591"
76,MFC-PN.TO,Toronto,Canada,CAD,Financial Services,Insurance—Life,"37,000"
77,MFC-PJ.TO,Toronto,Canada,CAD,Financial Services,Insurance—Life,"37,000"
78,MFC-PL.TO,Toronto,Canada,CAD,Financial Services,Insurance—Life,"37,000"
79,CM-PQ.TO,Toronto,Canada,CAD,Financial Services,Banks—Diversified,"45,282"
80,MFC-PK.TO,Toronto,Canada,CAD,Financial Services,Insurance—Life,"37,000"
81,MFC-PF.TO,Toronto,Canada,CAD,Financial Services,Insurance—Life,"37,000"
82,ABX.TO,Toronto,Canada,CAD,Basic Materials,Gold,
83,MFC.TO,Toronto,Canada,CAD,Financial Services,Insurance—Life,"37,000"
84,CM-PY.TO,Toronto,Canada,CAD,Financial Services,Banks—Diversified,"45,282"
