,tick,exchange,country_name,currency,sector,industry,fulltime_employees
0,WBCPI.AX,ASX,Australia,AUD,Financial Services,Banks—Diversified,"40,143"
1,WBCPH.AX,ASX,Australia,AUD,,,
2,BHP.AX,ASX,Australia,AUD,Basic Materials,Other Industrial Metals & Mining,"40,110"
3,WBCPE.AX,ASX,Australia,AUD,Financial Services,Banks—Diversified,"40,143"
4,NABPD.AX,ASX,Australia,AUD,Financial Services,Banks—Diversified,"32,741"
5,IAGPD.AX,ASX,Australia,AUD,Financial Services,Insurance—Property & Casualty,
6,CBA.AX,ASX,Australia,AUD,Financial Services,Banks—Diversified,"47,532"
7,RIO.AX,ASX,United Kingdom,AUD,Basic Materials,Other Industrial Metals & Mining,"49,000"
8,CBAPH.AX,ASX,Australia,AUD,Financial Services,Banks—Diversified,"47,532"
9,CBAPD.AX,ASX,Australia,AUD,Financial Services,Banks—Diversified,"47,532"
10,CSL.AX,ASX,Australia,AUD,Healthcare,Biotechnology,"25,000"
11,NAB.AX,ASX,Australia,AUD,Financial Services,Banks—Diversified,"32,741"
12,SQ2.AX,ASX,United States,AUD,Technology,Software—Infrastructure,"8,521"
13,WBC.AX,ASX,Australia,AUD,Financial Services,Banks—Diversified,"40,143"
14,NABPF.AX,ASX,Australia,AUD,Financial Services,Banks—Diversified,"32,741"
15,ANZ.AX,ASX,Australia,AUD,Financial Services,Banks—Diversified,"39,684"
16,MQG.AX,ASX,Australia,AUD,Financial Services,Capital Markets,"17,209"
17,FMG.AX,ASX,Australia,AUD,Basic Materials,Other Industrial Metals & Mining,"10,232"
18,WES.AX,ASX,Australia,AUD,Consumer Cyclical,Home Improvement Retail,"122,000"
19,WOW.AX,ASX,Australia,AUD,Consumer Defensive,Grocery Stores,"210,067"
20,RMD.AX,ASX,United States,AUD,Healthcare,Medical Instruments & Supplies,"7,970"
21,TLS.AX,ASX,Australia,AUD,Communication Services,Telecom Services,"26,728"
22,GMG.AX,ASX,Australia,AUD,Real Estate,REIT—Diversified,941
23,TCL.AX,ASX,Australia,AUD,Industrials,Infrastructure Operations,672
24,MQGPC.AX,ASX,Australia,AUD,Financial Services,Capital Markets,"17,209"
25,WPL.AX,ASX,Australia,AUD,Energy,Oil & Gas E&P,"3,684"
26,STO.AX,ASX,Australia,AUD,Energy,Oil & Gas E&P,"3,786"
27,NCM.AX,ASX,Australia,AUD,Basic Materials,Gold,
28,COL.AX,ASX,Australia,AUD,Consumer Defensive,Grocery Stores,"120,000"
29,AMC.AX,ASX,Switzerland,AUD,Consumer Cyclical,Packaging & Containers,"46,000"
30,S32.AX,ASX,Australia,AUD,Basic Materials,Other Industrial Metals & Mining,
31,ALL.AX,ASX,Australia,AUD,Communication Services,Electronic Gaming & Multimedia,"7,000"
32,AIA.AX,ASX,New Zealand,AUD,Industrials,Airports & Air Services,441
33,RHC.AX,ASX,Australia,AUD,Healthcare,Medical Care Facilities,"86,000"
34,JHX.AX,ASX,Ireland,AUD,Basic Materials,Building Materials,
35,QBE.AX,ASX,Australia,AUD,Financial Services,Insurance—Property & Casualty,"11,157"
36,SHL.AX,ASX,Australia,AUD,Healthcare,Diagnostics & Research,"38,000"
37,NWSLV.AX,ASX,United States,AUD,Communication Services,Broadcasting,"24,000"
38,NWS.AX,ASX,United States,AUD,Communication Services,Broadcasting,"24,000"
39,SUNPF.AX,ASX,Australia,AUD,Financial Services,Insurance—Property & Casualty,"13,505"
40,REA.AX,ASX,Australia,AUD,Communication Services,Internet Content & Information,"2,931"
41,ASX.AX,ASX,Australia,AUD,Financial Services,Financial Data & Stock Exchanges,749
42,BXB.AX,ASX,Australia,AUD,Industrials,Specialty Business Services,"12,000"
