,tick,exchange,country_name,currency,sector,industry,fulltime_employees
0,IVVCL.SN,Santiago,United States,CLP,,,
1,IAUCL.SN,Santiago,United States,CLP,,,
2,LQDCL.SN,Santiago,United States,CLP,,,
3,EEMCL.SN,Santiago,United States,CLP,,,
4,SQM-A.SN,Santiago,Chile,CLP,Basic Materials,Chemicals,"6,081"
5,SQM-B.SN,Santiago,Chile,CLP,Basic Materials,Chemicals,"6,081"
6,HYGCL.SN,Santiago,United States,CLP,,,
7,ENELAM.SN,Santiago,Chile,CLP,Utilities,Utilities—Regulated Electric,"16,461"
8,CHILE.SN,Santiago,Chile,CLP,Financial Services,Banks—Regional,
9,COPEC.SN,Santiago,Chile,CLP,Industrials,Conglomerates,
10,BSANTANDER.SN,Santiago,Chile,CLP,Financial Services,Banks—Regional,"9,988"
11,EWZCL.SN,Santiago,United States,CLP,,,
12,FALABELLA.SN,Santiago,Chile,CLP,Consumer Cyclical,Department Stores,"98,430"
13,EZUCL.SN,Santiago,United States,CLP,,,
14,VAPORES.SN,Santiago,Chile,CLP,Industrials,Marine Shipping,13
15,BCI.SN,Santiago,Chile,CLP,Financial Services,Banks—Regional,
16,CENCOSUD.SN,Santiago,Chile,CLP,Consumer Cyclical,Department Stores,"116,214"
17,QUINENCO.SN,Santiago,Chile,CLP,Industrials,Conglomerates,"21,375"
18,EWTCL.SN,Santiago,Chile,CLP,,,
19,CMPC.SN,Santiago,Chile,CLP,Basic Materials,Paper & Paper Products,"20,010"
20,FXICL.SN,Santiago,United States,CLP,,,
21,ANTARCHILE.SN,Santiago,Chile,CLP,Industrials,Conglomerates,
22,AAPL.SN,Santiago,United States,USD,Technology,Consumer Electronics,"100,000"
23,EPPCL.SN,Santiago,United States,CLP,,,
24,CCU.SN,Santiago,Chile,CLP,Consumer Defensive,Beverages—Brewers,"9,346"
25,MSFT.SN,Santiago,United States,USD,Technology,Software—Infrastructure,"181,000"
26,EWUCL.SN,Santiago,United States,CLP,,,
27,CFIIMDLAT.SN,Santiago,United States,CLP,,,
28,EWGCL.SN,Santiago,United States,CLP,,,
29,IYWCL.SN,Santiago,United States,CLP,,,
30,CALICHERAA.SN,Santiago,Chile,CLP,Financial Services,Asset Management,1
31,ITAUCORP.SN,Santiago,Chile,CLP,Financial Services,Banks—Regional,"7,817"
32,ENELCHILE.SN,Santiago,Chile,CLP,Utilities,Utilities—Regulated Electric,"2,215"
33,GOOGL.SN,Santiago,United States,USD,Communication Services,Internet Content & Information,"156,500"
34,MALLPLAZA.SN,Santiago,Chile,CLP,Real Estate,Real Estate Services,650
35,AMZN.SN,Santiago,United States,USD,Consumer Cyclical,Internet Retail,"1,608,000"
36,MINERA.SN,Santiago,Chile,CLP,Utilities,Utilities—Renewable,"1,193"
37,CENCOSHOPP.SN,Santiago,Chile,CLP,Real Estate,Real Estate Services,409
38,GOOG.SN,Santiago,United States,USD,Communication Services,Internet Content & Information,"156,500"
39,CAP.SN,Santiago,Chile,CLP,Basic Materials,Steel,
40,ORO-BLANCO.SN,Santiago,Chile,CLP,Financial Services,Capital Markets,2
41,ANDINA-A.SN,Santiago,Chile,CLP,Consumer Defensive,Beverages—Non-Alcoholic,
42,AESANDES.SN,Santiago,Chile,CLP,Utilities,Utilities—Renewable,"1,000"
43,ANDINA-B.SN,Santiago,Chile,CLP,Consumer Defensive,Beverages—Non-Alcoholic,
44,EWACL.SN,Santiago,United States,CLP,,,
45,NORTEGRAN.SN,Santiago,Chile,CLP,Financial Services,Asset Management,15
46,ILFCL.SN,Santiago,United States,CLP,,,
47,ENELGXCH.SN,Santiago,Chile,CLP,Utilities,Utilities—Renewable,658
48,COLBUN.SN,Santiago,Chile,CLP,Utilities,Utilities—Regulated Electric,"1,193"
49,BICECORP.SN,Santiago,Chile,CLP,Financial Services,Financial Conglomerates,
50,ENTEL.SN,Santiago,Chile,CLP,Communication Services,Telecom Services,"12,246"
51,IYFCL.SN,Santiago,United States,CLP,,,
52,CONCHATORO.SN,Santiago,Chile,CLP,Consumer Defensive,Beverages—Wineries & Distilleries,"3,297"
53,AGUAS-A.SN,Santiago,Chile,CLP,Utilities,Utilities—Regulated Water,"1,725"
54,ENAEX.SN,Santiago,Chile,CLP,Basic Materials,Specialty Chemicals,
55,SK.SN,Santiago,Chile,CLP,Industrials,Conglomerates,"22,731"
56,PARAUCO.SN,Santiago,Chile,CLP,Real Estate,Real Estate—Development,
57,IYECL.SN,Santiago,United States,CLP,,,
58,IYJCL.SN,Santiago,United States,CLP,,,
59,MOLYMET.SN,Santiago,Chile,CLP,Basic Materials,Other Industrial Metals & Mining,"1,372"
60,PUCOBRE.SN,Santiago,Chile,CLP,Basic Materials,Copper,"1,170"
61,IDUCL.SN,Santiago,Chile,CLP,,,
62,FB.SN,Santiago,United States,USD,,,"71,970"
63,SMSAAM.SN,Santiago,Chile,CLP,Industrials,Marine Shipping,
64,UNH.SN,Santiago,United States,USD,Healthcare,Healthcare Plans,"350,000"
65,JPM.SN,Santiago,United States,USD,Financial Services,Banks—Diversified,"271,025"
66,HABITAT.SN,Santiago,Chile,CLP,Financial Services,Asset Management,"2,579"
67,SMU.SN,Santiago,Chile,CLP,Consumer Cyclical,Department Stores,"26,205"
68,SECURITY.SN,Santiago,Chile,CLP,Financial Services,Banks—Regional,"3,184"
69,HF.SN,Santiago,Chile,CLP,Consumer Defensive,Farm Products,"1,982"
70,WMT.SN,Santiago,United States,USD,Consumer Defensive,Discount Stores,"2,300,000"
71,EMBONOR-B.SN,Santiago,Chile,CLP,Consumer Defensive,Beverages—Non-Alcoholic,
72,MULTI-X.SN,Santiago,Chile,CLP,Consumer Defensive,Farm Products,"2,566"
73,V.SN,Santiago,United States,USD,Financial Services,Credit Services,"21,500"
74,BANVIDA.SN,Santiago,Chile,CLP,Financial Services,Insurance Brokers,
75,ECL.SN,Santiago,Chile,CLP,Utilities,Utilities—Regulated Electric,866
76,INVERCAP.SN,Santiago,Chile,CLP,Basic Materials,Steel,
77,ALMENDRAL.SN,Santiago,Chile,CLP,Communication Services,Telecom Services,"12,249"
78,CGEGAS.SN,Santiago,Chile,CLP,Utilities,Utilities—Diversified,631
79,BAC.SN,Santiago,United States,USD,Financial Services,Banks—Diversified,"208,000"
80,PG.SN,Santiago,United States,USD,Consumer Defensive,Household & Personal Products,"101,000"
81,XOM.SN,Santiago,United States,USD,Energy,Oil & Gas Integrated,"63,000"
82,IAM.SN,Santiago,Chile,CLP,Utilities,Utilities—Regulated Water,"1,729"
83,ILC.SN,Santiago,Chile,CLP,Financial Services,Insurance—Diversified,
84,NITRATOS.SN,Santiago,Chile,CLP,Financial Services,Capital Markets,2
85,ESVAL-C.SN,Santiago,Chile,CLP,Utilities,Utilities—Regulated Water,946
86,PROVIDA.SN,Santiago,Chile,CLP,Financial Services,Asset Management,"1,866"
87,IYCCL.SN,Santiago,United States,CLP,,,
88,KO.SN,Santiago,United States,USD,Consumer Defensive,Beverages—Non-Alcoholic,"79,000"
89,VSPT.SN,Santiago,Chile,CLP,Consumer Defensive,Beverages—Wineries & Distilleries,"1,352"
90,SONDA.SN,Santiago,Chile,CLP,Technology,Information Technology Services,"13,522"
91,FORUS.SN,Santiago,Chile,CLP,Consumer Cyclical,Apparel Retail,
92,RIPLEY.SN,Santiago,Chile,CLP,Consumer Cyclical,Department Stores,"20,299"
93,POTASIOS-A.SN,Santiago,Chile,CLP,Industrials,Conglomerates,1
94,MARINSA.SN,Santiago,Chile,CLP,Industrials,Integrated Freight & Logistics,
95,DIS.SN,Santiago,United States,USD,Communication Services,Entertainment,"152,000"
96,CFIMRVCHA.SN,Santiago,Chile,CLP,Financial Services,Asset Management,
97,MRK.SN,Santiago,United States,USD,Healthcare,Drug Manufacturers—General,"67,000"
98,LIPIGAS.SN,Santiago,Chile,CLP,Energy,Oil & Gas Refining & Marketing,"2,280"
99,NKE.SN,Santiago,United States,USD,Consumer Cyclical,Footwear & Accessories,"73,300"
100,CRISTALES.SN,Santiago,Chile,CLP,Consumer Cyclical,Packaging & Containers,"1,869"
101,VENTANAS.SN,Santiago,Chile,CLP,Industrials,Marine Shipping,996
102,WFC.SN,Santiago,United States,USD,Financial Services,Banks—Diversified,"247,848"
103,INDISA.SN,Santiago,Chile,CLP,Healthcare,Medical Care Facilities,"2,964"
104,CEMENTOS.SN,Santiago,Chile,CLP,Basic Materials,Building Materials,"1,301"
105,ECHCL.SN,Santiago,United States,CLP,,,
106,SALMOCAM.SN,Santiago,Chile,CLP,Consumer Defensive,Farm Products,"1,900"
107,NAVIERA.SN,Santiago,Chile,CLP,Industrials,Marine Shipping,"5,473"
108,CAMANCHACA.SN,Santiago,Chile,CLP,Consumer Defensive,Farm Products,"3,800"
109,BKFCL.SN,Santiago,Chile,CLP,,,
110,WATTS.SN,Santiago,Chile,CLP,Consumer Defensive,Packaged Foods,"3,096"
111,BESALCO.SN,Santiago,Chile,CLP,Industrials,Engineering & Construction,"19,665"
112,AXP.SN,Santiago,United States,USD,Financial Services,Credit Services,"64,000"
113,OXIQUIM.SN,Santiago,Chile,CLP,Basic Materials,Chemicals,430
114,MS.SN,Santiago,United States,USD,Financial Services,Capital Markets,"75,000"
115,SOCOVESA.SN,Santiago,Chile,CLP,Consumer Cyclical,Residential Construction,
