,tick,exchange,country_name,currency,sector,industry,fulltime_employees
0,600519.SS,Shanghai,China,CNY,Consumer Defensive,Beverages—Wineries & Distilleries,"29,031"
1,601398.SS,Shanghai,China,CNY,Financial Services,Banks—Diversified,"439,787"
2,601939.SS,Shanghai,China,CNY,Financial Services,Banks—Diversified,"375,531"
3,600036.SS,Shanghai,China,CNY,Financial Services,Banks—Regional,"103,669"
4,601288.SS,Shanghai,China,CNY,Financial Services,Banks—Diversified,"459,000"
5,600941.SS,Shanghai,Hong Kong,CNY,Communication Services,Telecom Services,"449,934"
6,300750.SZ,Shenzhen,China,CNY,Industrials,Electrical Equipment & Parts,"33,078"
7,601857.SS,Shanghai,China,CNY,Energy,Oil & Gas Integrated,"432,003"
8,601988.SS,Shanghai,China,CNY,Financial Services,Banks—Diversified,"306,322"
9,601318.SS,Shanghai,China,CNY,Financial Services,Insurance—Life,"355,982"
10,000858.SZ,Shenzhen,China,CNY,Consumer Defensive,Beverages—Wineries & Distilleries,"23,816"
11,002594.SZ,Shenzhen,China,CNY,Consumer Cyclical,Auto Manufacturers,"224,280"
12,601628.SS,Shanghai,China,CNY,Financial Services,Insurance—Life,"103,262"
13,601088.SS,Shanghai,China,CNY,Energy,Thermal Coal,"77,872"
14,600900.SS,Shanghai,China,CNY,Utilities,Utilities—Independent Power Producers,
15,601658.SS,Shanghai,China,CNY,Financial Services,Banks—Regional,"177,797"
16,600028.SS,Shanghai,China,CNY,Energy,Oil & Gas Integrated,"385,691"
17,601166.SS,Shanghai,China,CNY,Financial Services,Banks—Regional,
18,000333.SZ,Shenzhen,China,CNY,Consumer Cyclical,"Furnishings, Fixtures & Appliances","149,239"
19,002415.SZ,Shenzhen,China,CNY,Technology,Computer Hardware,"52,752"
20,603288.SS,Shanghai,China,CNY,Consumer Defensive,Packaged Foods,"6,678"
21,300760.SZ,Shenzhen,China,CNY,Healthcare,Medical Devices,"11,833"
22,601328.SS,Shanghai,China,CNY,Financial Services,Banks—Diversified,"90,238"
23,601888.SS,Shanghai,China,CNY,Consumer Cyclical,Specialty Retail,
24,601728.SS,Shanghai,Hong Kong,CNY,Communication Services,Telecom Services,"278,922"
25,601012.SS,Shanghai,China,CNY,Technology,Semiconductor Equipment & Materials,"46,631"
26,600809.SS,Shanghai,China,CNY,Consumer Defensive,Beverages—Wineries & Distilleries,"12,614"
27,000001.SZ,Shenzhen,China,CNY,Financial Services,Banks—Regional,"40,651"
28,000568.SZ,Shenzhen,China,CNY,Consumer Defensive,Beverages—Wineries & Distilleries,
29,603259.SS,Shanghai,China,CNY,Healthcare,Diagnostics & Research,"34,912"
30,002714.SZ,Shenzhen,China,CNY,Consumer Defensive,Farm Products,
31,601899.SS,Shanghai,China,CNY,Basic Materials,Gold,"43,876"
32,600030.SS,Shanghai,China,CNY,Financial Services,Capital Markets,"23,696"
33,300059.SZ,Shenzhen,China,CNY,Financial Services,Financial Data & Stock Exchanges,"5,696"
34,300999.SZ,Shenzhen,China,CNY,Consumer Defensive,Packaged Foods,"34,389"
35,600309.SS,Shanghai,China,CNY,Basic Materials,Chemicals,"19,692"
36,601668.SS,Shanghai,China,CNY,Industrials,Engineering & Construction,"356,864"
37,600887.SS,Shanghai,China,CNY,Consumer Defensive,Packaged Foods,"59,159"
38,002142.SZ,Shenzhen,China,CNY,Financial Services,Banks—Regional,
39,601816.SS,Shanghai,China,CNY,Industrials,Railroads,
40,002352.SZ,Shenzhen,China,CNY,Industrials,Integrated Freight & Logistics,"121,925"
41,600000.SS,Shanghai,China,CNY,Financial Services,Banks—Regional,
42,601998.SS,Shanghai,China,CNY,Financial Services,Banks—Regional,"58,329"
43,000002.SZ,Shenzhen,China,CNY,Real Estate,Real Estate—Development,"140,565"
44,601919.SS,Shanghai,China,CNY,Industrials,Marine Shipping,"30,980"
45,600690.SS,Shanghai,China,CNY,Consumer Cyclical,"Furnishings, Fixtures & Appliances","99,299"
46,002304.SZ,Shenzhen,China,CNY,Consumer Defensive,Beverages—Wineries & Distilleries,"15,831"
47,600048.SS,Shanghai,China,CNY,Real Estate,Real Estate—Development,"61,854"
48,600276.SS,Shanghai,China,CNY,Healthcare,Drug Manufacturers—General,"28,903"
49,002475.SZ,Shenzhen,China,CNY,Technology,Electronic Components,
50,600585.SS,Shanghai,China,CNY,Basic Materials,Building Materials,"46,714"
51,601601.SS,Shanghai,China,CNY,Financial Services,Insurance—Life,"107,000"
52,601138.SS,Shanghai,China,CNY,Technology,Communication Equipment,"191,970"
53,600104.SS,Shanghai,China,CNY,Consumer Cyclical,Auto Manufacturers,"204,815"
54,000651.SZ,Shenzhen,China,CNY,Consumer Cyclical,"Furnishings, Fixtures & Appliances","83,952"
55,300015.SZ,Shenzhen,China,CNY,Healthcare,Medical Care Facilities,"22,808"
56,200725.SZ,Shenzhen,China,HKD,Technology,Electronic Components,"76,459"
57,600436.SS,Shanghai,China,CNY,Healthcare,Drug Manufacturers—General,"2,526"
58,601319.SS,Shanghai,China,CNY,Financial Services,Insurance—Property & Casualty,"184,364"
59,601633.SS,Shanghai,China,CNY,Consumer Cyclical,Auto Manufacturers,"77,934"
60,600438.SS,Shanghai,China,CNY,Consumer Defensive,Farm Products,"25,549"
61,601818.SS,Shanghai,China,CNY,Financial Services,Banks—Regional,"46,989"
62,600905.SS,Shanghai,China,CNY,Utilities,Utilities—Renewable,
63,002812.SZ,Shenzhen,China,CNY,Consumer Cyclical,Packaging & Containers,"5,954"
64,300122.SZ,Shenzhen,China,CNY,Healthcare,Biotechnology,
65,601225.SS,Shanghai,China,CNY,Energy,Thermal Coal,
66,688981.SS,Shanghai,China,CNY,Technology,Semiconductors,"17,681"
67,000792.SZ,Shenzhen,China,CNY,Basic Materials,Agricultural Inputs,
68,600016.SS,Shanghai,China,CNY,Financial Services,Banks—Regional,"60,232"
69,600019.SS,Shanghai,China,CNY,Basic Materials,Steel,"47,710"
70,603392.SS,Shanghai,China,CNY,Healthcare,Biotechnology,"3,103"
71,601066.SS,Shanghai,China,CNY,Financial Services,Capital Markets,"9,994"
72,000725.SZ,Shenzhen,China,CNY,Technology,Electronic Components,"76,459"
73,601390.SS,Shanghai,China,CNY,Industrials,Engineering & Construction,"288,729"
74,600406.SS,Shanghai,China,CNY,Industrials,Specialty Industrial Machinery,"8,806"
75,600346.SS,Shanghai,China,CNY,Consumer Cyclical,Textile Manufacturing,"29,522"
76,601985.SS,Shanghai,China,CNY,Utilities,Utilities—Independent Power Producers,
77,600031.SS,Shanghai,China,CNY,Industrials,Farm & Heavy Construction Machinery,"24,586"
78,600018.SS,Shanghai,China,CNY,Industrials,Marine Shipping,"13,546"
79,002493.SZ,Shenzhen,China,CNY,Basic Materials,Chemicals,
80,600188.SS,Shanghai,China,CNY,Energy,Thermal Coal,"63,869"
81,601995.SS,Shanghai,China,CNY,Financial Services,Capital Markets,"9,372"
82,002460.SZ,Shenzhen,China,CNY,Basic Materials,Chemicals,
83,601766.SS,Shanghai,China,CNY,Industrials,Railroads,"164,177"
84,603501.SS,Shanghai,China,CNY,Technology,Semiconductors,"3,291"
85,003816.SZ,Shenzhen,China,CNY,Utilities,Utilities—Independent Power Producers,"18,248"
86,002371.SZ,Shenzhen,China,CNY,Technology,Semiconductor Equipment & Materials,"5,977"
87,300124.SZ,Shenzhen,China,CNY,Industrials,Electrical Equipment & Parts,
88,300498.SZ,Shenzhen,China,CNY,Consumer Defensive,Farm Products,"43,965"
89,001979.SZ,Shenzhen,China,CNY,Real Estate,Real Estate—Development,
90,601211.SS,Shanghai,China,CNY,Financial Services,Capital Markets,"13,341"
91,002129.SZ,Shenzhen,China,CNY,Technology,Semiconductor Equipment & Materials,
92,601800.SS,Shanghai,China,CNY,Industrials,Engineering & Construction,"133,294"
93,601009.SS,Shanghai,China,CNY,Financial Services,Banks—Regional,"12,138"
94,002459.SZ,Shenzhen,China,CNY,Technology,Solar,"25,183"
95,601688.SS,Shanghai,China,CNY,Financial Services,Capital Markets,"10,506"
96,600111.SS,Shanghai,China,CNY,Basic Materials,Other Industrial Metals & Mining,"9,111"
97,300014.SZ,Shenzhen,China,CNY,Industrials,Electrical Equipment & Parts,"9,669"
98,601111.SS,Shanghai,China,CNY,Industrials,Airlines,"89,373"
99,600025.SS,Shanghai,China,CNY,Utilities,Utilities—Renewable,
100,600999.SS,Shanghai,China,CNY,Financial Services,Capital Markets,"12,005"
101,000776.SZ,Shenzhen,China,CNY,Financial Services,Capital Markets,"12,307"
102,600919.SS,Shanghai,China,CNY,Financial Services,Banks—Regional,"15,553"
103,601669.SS,Shanghai,China,CNY,Industrials,Engineering & Construction,"132,125"
104,000895.SZ,Shenzhen,China,CNY,Consumer Defensive,Packaged Foods,"46,822"
105,600837.SS,Shanghai,China,CNY,Financial Services,Capital Markets,"11,631"
106,600050.SS,Shanghai,China,CNY,Communication Services,Telecom Services,"242,661"
107,002271.SZ,Shenzhen,China,CNY,Industrials,Building Products & Equipment,"13,630"
108,200596.SZ,Shenzhen,China,HKD,Consumer Defensive,Beverages—Wineries & Distilleries,
109,000877.SZ,Shenzhen,China,CNY,Basic Materials,Building Materials,"70,829"
110,300896.SZ,Shenzhen,China,CNY,Healthcare,Medical Instruments & Supplies,507
111,603993.SS,Shanghai,China,CNY,Basic Materials,Other Industrial Metals & Mining,"11,472"
112,601898.SS,Shanghai,China,CNY,Energy,Thermal Coal,"45,474"
113,002241.SZ,Shenzhen,China,CNY,Technology,Consumer Electronics,"87,346"
114,600989.SS,Shanghai,China,CNY,Basic Materials,Chemicals,"14,211"
115,601006.SS,Shanghai,China,CNY,Industrials,Railroads,"96,108"
116,688303.SS,Shanghai,China,CNY,Industrials,Specialty Industrial Machinery,"2,413"
117,002049.SZ,Shenzhen,China,CNY,Technology,Semiconductors,
118,601238.SS,Shanghai,China,CNY,Consumer Cyclical,Auto Manufacturers,"93,745"
119,600029.SS,Shanghai,China,CNY,Industrials,Airlines,"100,431"
