,tick,exchange,country_name,currency,sector,industry,fulltime_employees
0,NOVO-B.CO,Copenhagen,Denmark,DKK,Healthcare,Biotechnology,"47,792"
1,MAERSK-A.CO,Copenhagen,Denmark,DKK,Industrials,Marine Shipping,"95,000"
2,MAERSK-B.CO,Copenhagen,Denmark,DKK,Industrials,Marine Shipping,"95,000"
3,ORSTED.CO,Copenhagen,Denmark,DKK,Utilities,Utilities—Renewable,"6,836"
4,NDA-DK.CO,Copenhagen,Finland,DKK,Financial Services,Banks—Regional,"26,894"
5,DSV.CO,Copenhagen,Denmark,DKK,Industrials,Integrated Freight & Logistics,"77,958"
6,COLO-B.CO,Copenhagen,Denmark,DKK,Healthcare,Medical Instruments & Supplies,"12,500"
7,VWS.CO,Copenhagen,Denmark,DKK,Industrials,Specialty Industrial Machinery,"29,427"
8,NTG.CO,Copenhagen,Denmark,DKK,Industrials,Integrated Freight & Logistics,"1,893"
9,GMAB.CO,Copenhagen,Denmark,DKK,Healthcare,Biotechnology,"1,212"
10,CARL-A.CO,Copenhagen,Denmark,DKK,Consumer Defensive,Beverages—Brewers,"39,000"
11,CARL-B.CO,Copenhagen,Denmark,DKK,Consumer Defensive,Beverages—Brewers,"39,000"
12,NZYM-B.CO,Copenhagen,Denmark,DKK,Basic Materials,Specialty Chemicals,"6,184"
13,TRYG.CO,Copenhagen,Denmark,DKK,Financial Services,Insurance—Diversified,"4,674"
14,DANSKE.CO,Copenhagen,Denmark,DKK,Financial Services,Banks—Regional,"21,754"
15,CHR.CO,Copenhagen,Denmark,DKK,Basic Materials,Specialty Chemicals,"3,702"
16,DEMANT.CO,Copenhagen,Denmark,DKK,Healthcare,Medical Devices,"18,116"
17,PNDORA.CO,Copenhagen,Denmark,DKK,Consumer Cyclical,Luxury Goods,"22,441"
18,KBHL.CO,Copenhagen,Denmark,DKK,Industrials,Airports & Air Services,"1,990"
19,ROCK-B.CO,Copenhagen,Denmark,DKK,,,"11,968"
20,ROCK-A.CO,Copenhagen,Denmark,DKK,,,"11,968"
21,TOP.CO,Copenhagen,Denmark,DKK,Financial Services,Insurance—Diversified,"2,417"
22,GN.CO,Copenhagen,Denmark,DKK,Healthcare,Medical Devices,"7,228"
23,ALK-B.CO,Copenhagen,Denmark,DKK,Healthcare,Biotechnology,"2,537"
24,LUN.CO,Copenhagen,Denmark,DKK,Healthcare,Drug Manufacturers—Specialty & Generic,"5,348"
25,RBREW.CO,Copenhagen,Denmark,DKK,Consumer Defensive,Beverages—Brewers,"2,890"
26,JYSK.CO,Copenhagen,Denmark,DKK,Financial Services,Banks—Regional,"3,242"
27,AMBU-B.CO,Copenhagen,Denmark,DKK,Healthcare,Medical Devices,"4,500"
28,RILBA.CO,Copenhagen,Denmark,DKK,Financial Services,Banks—Regional,626
29,ISS.CO,Copenhagen,Denmark,DKK,Industrials,Specialty Business Services,"269,523"
30,NETC.CO,Copenhagen,Denmark,DKK,Technology,Information Technology Services,"6,505"
31,ALMB.CO,Copenhagen,Denmark,DKK,Financial Services,Insurance—Diversified,"1,486"
32,SIM.CO,Copenhagen,Denmark,DKK,Technology,Software—Application,"1,998"
33,OSSR.CO,Copenhagen,Iceland,DKK,Healthcare,Medical Devices,"3,668"
34,DFDS.CO,Copenhagen,Denmark,DKK,Industrials,Marine Shipping,"8,874"
35,JDAN.CO,Copenhagen,Denmark,DKK,Real Estate,Real Estate—Diversified,600
36,SYDB.CO,Copenhagen,Denmark,DKK,Financial Services,Banks—Regional,"2,077"
37,CHEMM.CO,Copenhagen,Denmark,DKK,Technology,Scientific & Technical Instruments,143
38,DRLCO.CO,Copenhagen,Denmark,DKK,Energy,Oil & Gas Drilling,"2,481"
39,NKT.CO,Copenhagen,Denmark,DKK,Industrials,Electrical Equipment & Parts,"4,372"
40,SCHO.CO,Copenhagen,Denmark,DKK,Industrials,Conglomerates,"10,000"
41,STG.CO,Copenhagen,Denmark,DKK,Consumer Defensive,Tobacco,"10,000"
42,SPNO.CO,Copenhagen,Denmark,DKK,Financial Services,Banks—Regional,"1,608"
43,FLS.CO,Copenhagen,Denmark,DKK,Industrials,Specialty Industrial Machinery,"10,117"
44,BAVA.CO,Copenhagen,Denmark,DKK,Healthcare,Biotechnology,759
45,DNORD.CO,Copenhagen,Denmark,DKK,Industrials,Marine Shipping,"1,050"
46,UIE.CO,Copenhagen,Malta,DKK,Consumer Defensive,Farm Products,"5,740"
47,SOLAR-B.CO,Copenhagen,Denmark,DKK,Technology,Electronics & Computer Distribution,"2,936"
48,SAS-DKK.CO,Copenhagen,Sweden,DKK,Industrials,Airlines,"6,326"
49,NLFSK.CO,Copenhagen,Denmark,DKK,Industrials,Specialty Industrial Machinery,"4,887"
50,TRMD-A.CO,Copenhagen,United Kingdom,DKK,Energy,Oil & Gas Midstream,439
51,TIV.CO,Copenhagen,Denmark,DKK,Consumer Cyclical,Leisure,828
52,PAAL-B.CO,Copenhagen,Denmark,DKK,Industrials,Engineering & Construction,"7,828"
53,CBRAIN.CO,Copenhagen,Denmark,DKK,Technology,Software—Application,131
54,VJBA.CO,Copenhagen,Denmark,DKK,Financial Services,Banks—Regional,657
55,SPG.CO,Copenhagen,Denmark,DKK,Basic Materials,Specialty Chemicals,"2,509"
56,TRIFOR.CO,Copenhagen,Switzerland,DKK,Technology,Information Technology Services,950
57,GYLD-B.CO,Copenhagen,Denmark,DKK,Communication Services,Publishing,525
58,ZEAL.CO,Copenhagen,Denmark,DKK,Healthcare,Biotechnology,355
59,MATAS.CO,Copenhagen,Denmark,DKK,Consumer Cyclical,Specialty Retail,"2,250"
60,SPKSJF.CO,Copenhagen,Denmark,DKK,Financial Services,Banks—Regional,550
61,HH.CO,Copenhagen,Denmark,DKK,Basic Materials,Building Materials,"1,663"
62,AOJ-B.CO,Copenhagen,Denmark,DKK,Industrials,Industrial Distribution,811
63,NNIT.CO,Copenhagen,Denmark,DKK,Technology,Information Technology Services,"3,130"
64,LASP.CO,Copenhagen,Denmark,DKK,Financial Services,Banks—Regional,470
65,BO.CO,Copenhagen,Denmark,DKK,Technology,Consumer Electronics,"1,030"
66,DAB.CO,Copenhagen,Denmark,DKK,Financial Services,Banks—Regional,314
67,HUSCO.CO,Copenhagen,Denmark,DKK,Consumer Cyclical,Residential Construction,500
68,JOBNDX.CO,Copenhagen,Denmark,DKK,Communication Services,Internet Content & Information,281
69,HART.CO,Copenhagen,Denmark,DKK,Consumer Cyclical,Packaging & Containers,"2,800"
70,GREENH.CO,Copenhagen,Denmark,DKK,Utilities,Utilities—Renewable,187
71,NORTHM.CO,Copenhagen,Denmark,DKK,Communication Services,Publishing,411
72,FLUG-B.CO,Copenhagen,Denmark,DKK,Basic Materials,Specialty Chemicals,"2,463"
73,RTX.CO,Copenhagen,Denmark,DKK,Technology,Communication Equipment,243
74,MTHH.CO,Copenhagen,Denmark,DKK,Industrials,Engineering & Construction,"2,785"
75,BNORDIK-CSE.CO,Copenhagen,Denmark,DKK,Financial Services,Banks—Regional,195
76,COLUM.CO,Copenhagen,Denmark,DKK,Technology,Information Technology Services,"1,750"
77,GABR.CO,Copenhagen,Denmark,DKK,Consumer Cyclical,Textile Manufacturing,"1,249"
78,SKJE.CO,Copenhagen,Denmark,DKK,Financial Services,Banks—Regional,180
79,GRLA.CO,Copenhagen,Greenland,DKK,Financial Services,Banks—Regional,139
80,PRIMOF.CO,Copenhagen,Denmark,DKK,Real Estate,Real Estate—Development,11
81,AQP.CO,Copenhagen,Denmark,DKK,Utilities,Utilities—Regulated Water,76
82,TCM.CO,Copenhagen,Denmark,DKK,Consumer Cyclical,"Furnishings, Fixtures & Appliances",500
83,FYNBK.CO,Copenhagen,Denmark,DKK,Financial Services,Banks—Regional,169
84,DJUR.CO,Copenhagen,Denmark,DKK,Financial Services,Banks—Regional,202
85,PARKST-A.CO,Copenhagen,Denmark,DKK,Real Estate,Real Estate Services,38
86,PARKEN.CO,Copenhagen,Denmark,DKK,Communication Services,Entertainment,535
87,FPILIM.CO,Copenhagen,Denmark,DKK,,,
88,SANI.CO,Copenhagen,Denmark,DKK,Industrials,Conglomerates,"1,185"
89,KRE.CO,Copenhagen,Denmark,DKK,Financial Services,Banks—Regional,82
90,HRC.CO,Copenhagen,Honduras,DKK,Consumer Cyclical,Restaurants,9
