,tick,exchange,country_name,currency,sector,industry,fulltime_employees
0,EGS681D1C010.CA,EGX,Estonia,USD,,,
1,EGS3C111C019.CA,EGX,Estonia,USD,,,
2,EGS3C251C013.CA,EGX,Estonia,USD,,,
3,EGS691L1C018.CA,EGX,Estonia,USD,,,
4,EGS221V1C015.CA,EGX,Estonia,USD,,,
5,EGS02211C018.CA,EGX,Estonia,USD,,,
6,EGS65511C015.CA,EGX,Estonia,USD,,,
7,EGS65071C010.CA,EGX,Estonia,USD,,,
8,EGS68181C014.CA,EGX,Estonia,USD,,,
9,EGS02091C014.CA,EGX,Estonia,USD,,,
10,EGS743O1C013.CA,EGX,Estonia,USD,,,
11,EGS696S1C016.CA,EGX,Estonia,USD,,,
12,EGS551D1C017.CA,EGX,Estonia,USD,,,
13,EGS214Q1C011.CA,EGX,Estonia,USD,,,
14,EGS67221C019.CA,EGX,Estonia,USD,,,
15,EGS65091C018.CA,EGX,Estonia,USD,,,
16,EGS67001C015.CA,EGX,Estonia,USD,,,
17,EGS3C371C019.CA,EGX,Estonia,USD,,,
18,EGS38251C012.CA,EGX,Estonia,USD,,,
19,EGS65771C015.CA,EGX,Estonia,USD,,,
20,EGS681I1C015.CA,EGX,Estonia,USD,,,
21,EGS69082C013.CA,EGX,Estonia,USD,,,
22,EGS3A2Z1C015.CA,EGX,Estonia,USD,,,
23,EGS380G1C011.CA,EGX,Estonia,USD,,,
24,EGS380P1C010.CA,EGX,Estonia,USD,,,
25,EGS36021C011.CA,EGX,Estonia,USD,,,
26,EGS213S1C010.CA,EGX,Estonia,USD,,,
27,EGS79072C012.CA,EGX,Estonia,USD,,,
28,EGS21EB1C011.CA,EGX,Estonia,USD,,,
29,EGS30581C010.CA,EGX,Estonia,USD,,,
30,EGS30031C016.CA,EGX,Estonia,USD,,,
31,EGS02291C010.CA,EGX,Estonia,USD,,,
32,EGS38211C016.CA,EGX,Estonia,USD,,,
33,EGS60081C014.CA,EGX,Estonia,USD,,,
34,EGS659E1C017.CA,EGX,Estonia,USD,,,
35,EGS360A1C011.CA,EGX,Estonia,USD,,,
36,EGS65011C016.CA,EGX,Estonia,USD,,,
37,EGS65551C011.CA,EGX,Estonia,USD,,,
38,EGS675S1C011.CA,EGX,Estonia,USD,,,
39,EGS690C1C010.CA,EGX,Estonia,USD,,,
40,EGS69261C013.CA,EGX,Estonia,USD,,,
41,EGS305I1C011.CA,EGX,Estonia,USD,,,
42,EGS3H051C012-EGP.CA,EGX,Estonia,USD,,,
43,EGS60101C010.CA,EGX,Estonia,USD,,,
44,EGS70431C019.CA,EGX,Estonia,USD,,,
45,EGS74191C015.CA,EGX,Estonia,USD,,,
46,EGS21531C016.CA,EGX,Estonia,USD,,,
47,EGS69011C012.CA,EGX,Estonia,USD,,,
48,EGS7DBU1C018.CA,EGX,Estonia,USD,,,
49,EGS740C1C010.CA,EGX,Estonia,USD,,,
50,EGS01071C017.CA,EGX,Estonia,USD,,,
51,EGS38411C012.CA,EGX,Estonia,USD,,,
52,EGS33041C012.CA,EGX,Estonia,USD,,,
53,EGS3C151C015.CA,EGX,Estonia,USD,,,
54,EGS382M1C011.CA,EGX,Estonia,USD,,,
55,EGS3G231C011.CA,EGX,Estonia,USD,,,
56,EGS3JM11C012.CA,EGX,Estonia,USD,,,
57,EGS38341C011.CA,EGX,Estonia,USD,,,
58,EGS38321C013.CA,EGX,Estonia,USD,,,
59,EGS38311C014.CA,EGX,Estonia,USD,,,
60,EGS60182C010.CA,EGX,Estonia,USD,,,
61,EGS3E071C013.CA,EGX,Estonia,USD,,,
62,EGS60241C014.CA,EGX,Estonia,USD,,,
63,EGS60111C019.CA,EGX,Estonia,USD,,,
64,EGS48022C015.CA,EGX,Estonia,USD,,,
65,EGS48271C018-EGP.CA,EGX,Estonia,USD,,,
66,EGS30451C016.CA,EGX,Estonia,USD,,,
67,EGS32331C018.CA,EGX,Estonia,USD,,,
68,EGS071L1C018.CA,EGX,Estonia,USD,,,
69,EGS67181C015.CA,EGX,Estonia,USD,,,
70,EGS691A1C011.CA,EGX,Estonia,USD,,,
71,EGS78021C010.CA,EGX,Estonia,USD,,,
72,EGS694A1C018.CA,EGX,Estonia,USD,,,
73,EGS01041C010.CA,EGX,Estonia,USD,,,
74,EGS3G111C015.CA,EGX,Estonia,USD,,,
75,EGS65571C019.CA,EGX,Estonia,USD,,,
76,EGS60301C016.CA,EGX,Estonia,USD,,,
77,EGS30201C015.CA,EGX,Estonia,USD,,,
78,EGS02051C018.CA,EGX,Estonia,USD,,,
79,EGS3E1E1C013.CA,EGX,Estonia,USD,,,
80,EGS65211C012.CA,EGX,Estonia,USD,,,
81,EGS33321C018.CA,EGX,Estonia,USD,,,
82,EGS38201C017.CA,EGX,Estonia,USD,,,
83,EGS3D041C017.CA,EGX,Estonia,USD,,,
84,EGS3F021C017.CA,EGX,Estonia,USD,,,
85,EGS23141C012.CA,EGX,Estonia,USD,,,
86,EGS745W1C011.CA,EGX,Estonia,USD,,,
87,EGS30291C016.CA,EGX,Estonia,USD,,,
88,EGS3D0C1C018.CA,EGX,Estonia,USD,,,
89,EGS72201C014.CA,EGX,Estonia,USD,,,
90,EGS42111C012.CA,EGX,Estonia,USD,,,
91,EGS597R1C017.CA,EGX,Estonia,USD,,,
92,EGS7D971C011.CA,EGX,Estonia,USD,,,
93,EGS70281C018.CA,EGX,Estonia,USD,,,
94,EGS44012C010.CA,EGX,Estonia,USD,,,
95,EGS673Y1C015.CA,EGX,Estonia,USD,,,
96,EGS74081C018-EGP.CA,EGX,Estonia,USD,,,
97,EGS30221C013.CA,EGX,Estonia,USD,,,
98,EGS32221C011.CA,EGX,Estonia,USD,,,
99,EGS691T1C010.CA,EGX,Estonia,USD,,,
100,EGS38191C010.CA,EGX,Estonia,USD,,,
101,EGS70R91C016.CA,EGX,Estonia,USD,,,
102,EGS38161C013.CA,EGX,Estonia,USD,,,
103,EGS70GV1C015.CA,EGX,Estonia,USD,,,
104,EGS30211C014.CA,EGX,Estonia,USD,,,
105,EGS691S1C011.CA,EGX,Estonia,USD,,,
106,EGS739Z1C016.CA,EGX,Estonia,USD,,,
107,EGS95001C011.CA,EGX,Estonia,USD,,,
108,EGS70571C012.CA,EGX,Estonia,USD,,,
109,EGS67191C014.CA,EGX,Estonia,USD,,,
110,EGS214B1C018.CA,EGX,Estonia,USD,,,
