,tick,exchange,country_name,currency,sector,industry,fulltime_employees
0,LHV1T.TL,Tallinn,Estonia,EUR,Financial Services,Banks—Regional,652
1,EGR1T.TL,Tallinn,Estonia,EUR,Utilities,Utilities—Renewable,165
2,TSM1T.TL,Tallinn,Estonia,EUR,Industrials,Marine Shipping,461
3,TAL1T.TL,Tallinn,Estonia,EUR,Industrials,Marine Shipping,"4,785"
4,TKM1T.TL,Tallinn,Estonia,EUR,Consumer Cyclical,Department Stores,"3,926"
5,MRK1T.TL,Tallinn,Estonia,EUR,Industrials,Engineering & Construction,602
6,TVE1T.TL,Tallinn,Estonia,EUR,Utilities,Utilities—Regulated Water,320
7,CPA1T.TL,Tallinn,Estonia,EUR,Financial Services,Banks—Regional,300
8,HAE1T.TL,Tallinn,Estonia,EUR,Industrials,Electrical Equipment & Parts,865
9,EFT1T.TL,Tallinn,Estonia,EUR,Real Estate,Real Estate Services,
10,NHCBHFFT.TL,Tallinn,Estonia,EUR,,,
11,PKG1T.TL,Tallinn,Estonia,EUR,Real Estate,Real Estate—Diversified,67
12,EEG1T.TL,Tallinn,Estonia,EUR,Communication Services,Advertising Agencies,"1,400"
13,HPR1T.TL,Tallinn,Estonia,EUR,Real Estate,Real Estate—Development,
14,NCN1T.TL,Tallinn,Estonia,EUR,Industrials,Engineering & Construction,685
15,SFG1T.TL,Tallinn,Estonia,EUR,Consumer Cyclical,Apparel Manufacturing,"1,602"
16,ARC1T.TL,Tallinn,Estonia,EUR,Real Estate,Real Estate—Development,13
17,BLT1T.TL,Tallinn,Estonia,EUR,Consumer Cyclical,Apparel Retail,173
18,PRF1T.TL,Tallinn,Estonia,EUR,Consumer Defensive,Farm Products,280
19,SKN1T.TL,Tallinn,Estonia,EUR,Consumer Cyclical,"Furnishings, Fixtures & Appliances",91
20,TPD1T.TL,Tallinn,Estonia,EUR,Real Estate,Real Estate—Diversified,
