,tick,exchange,country_name,currency,sector,industry,fulltime_employees
0,NDA-FI.HE,Helsinki,Finland,EUR,Financial Services,Banks—Regional,"26,894"
1,NESTE.HE,Helsinki,Finland,EUR,Energy,Oil & Gas Refining & Marketing,"4,719"
2,NOKIA.HE,Helsinki,Finland,EUR,Technology,Communication Equipment,"87,927"
3,ERIBR.HE,Helsinki,Sweden,EUR,Technology,Communication Equipment,"100,454"
4,SAMPO.HE,Helsinki,Finland,EUR,Financial Services,Insurance—Diversified,"13,340"
5,KNEBV.HE,Helsinki,Finland,EUR,Industrials,Specialty Industrial Machinery,"62,720"
6,UPM.HE,Helsinki,Finland,EUR,Basic Materials,Paper & Paper Products,"16,457"
7,TELIA1.HE,Helsinki,Sweden,EUR,Communication Services,Telecom Services,"19,566"
8,STEAV.HE,Helsinki,Finland,EUR,Basic Materials,Paper & Paper Products,"22,094"
9,STERV.HE,Helsinki,Finland,EUR,Basic Materials,Paper & Paper Products,"22,094"
10,FORTUM.HE,Helsinki,Finland,EUR,Utilities,Utilities—Renewable,"18,470"
11,KESKOB.HE,Helsinki,Finland,EUR,Consumer Defensive,Grocery Stores,"17,402"
12,KESKOA.HE,Helsinki,Finland,EUR,Consumer Defensive,Grocery Stores,"17,402"
13,ELISA.HE,Helsinki,Finland,EUR,Communication Services,Telecom Services,"5,371"
14,MOCORP.HE,Helsinki,Finland,EUR,Industrials,Farm & Heavy Construction Machinery,"15,630"
15,SSABBH.HE,Helsinki,Sweden,EUR,Basic Materials,Steel,"14,656"
16,SSABAH.HE,Helsinki,Sweden,EUR,Basic Materials,Steel,"14,656"
17,ORNBV.HE,Helsinki,Finland,EUR,Healthcare,Drug Manufacturers—General,"3,355"
18,ORNAV.HE,Helsinki,Finland,EUR,Healthcare,Drug Manufacturers—General,"3,355"
19,VALMT.HE,Helsinki,Finland,EUR,Industrials,Specialty Industrial Machinery,"12,655"
20,WRT1V.HE,Helsinki,Finland,EUR,Industrials,Specialty Industrial Machinery,"15,862"
21,KOJAMO.HE,Helsinki,Finland,EUR,Real Estate,Real Estate Services,284
22,METSA.HE,Helsinki,Finland,EUR,Consumer Cyclical,Packaging & Containers,"2,389"
23,HUH1V.HE,Helsinki,Finland,EUR,Consumer Cyclical,Packaging & Containers,"19,564"
24,METSB.HE,Helsinki,Finland,EUR,Consumer Cyclical,Packaging & Containers,"2,389"
25,TIETO.HE,Helsinki,Finland,EUR,Technology,Information Technology Services,"24,389"
26,QTCOM.HE,Helsinki,Finland,EUR,Technology,Software—Application,496
27,OUT1V.HE,Helsinki,Finland,EUR,Basic Materials,Steel,"9,096"
28,KCR.HE,Helsinki,Finland,EUR,Industrials,Farm & Heavy Construction Machinery,"16,281"
29,CGCBV.HE,Helsinki,Finland,EUR,Industrials,Specialty Industrial Machinery,"11,062"
30,SAA1V.HE,Helsinki,Finland,EUR,Communication Services,Publishing,"4,643"
31,KEMIRA.HE,Helsinki,Finland,EUR,Basic Materials,Chemicals,"4,845"
32,TYRES.HE,Helsinki,Finland,EUR,Consumer Cyclical,Auto Parts,"4,915"
33,FSKRS.HE,Helsinki,Finland,EUR,Consumer Cyclical,Home Improvement Retail,"5,923"
34,VAIAS.HE,Helsinki,Finland,EUR,Technology,Scientific & Technical Instruments,"1,979"
35,TTALO.HE,Helsinki,Finland,EUR,Healthcare,Medical Care Facilities,"9,805"
36,REG1V.HE,Helsinki,Finland,EUR,Healthcare,Medical Devices,184
