,tick,exchange,country_name,currency,sector,industry,fulltime_employees
0,GNE.PA,Paris,United States,EUR,Industrials,Specialty Industrial Machinery,"168,000"
1,MC.PA,Paris,France,EUR,Consumer Cyclical,Luxury Goods,"157,953"
2,MRK.PA,Paris,United States,EUR,Healthcare,Drug Manufacturers—General,"67,000"
3,OR.PA,Paris,France,EUR,Consumer Defensive,Household & Personal Products,"85,412"
4,RMS.PA,Paris,France,EUR,Consumer Cyclical,Luxury Goods,"16,782"
5,SAN.PA,Paris,France,EUR,Healthcare,Drug Manufacturers—General,"95,442"
6,CATR.PA,Paris,United States,EUR,Industrials,Farm & Heavy Construction Machinery,"107,700"
7,TTE.PA,Paris,France,EUR,Energy,Oil & Gas Integrated,"101,309"
8,CDI.PA,Paris,France,EUR,Consumer Cyclical,Luxury Goods,"119,243"
9,DGE.PA,Paris,United Kingdom,EUR,Consumer Defensive,Beverages—Wineries & Distilleries,"27,783"
10,AIR.PA,Paris,Netherlands,EUR,Industrials,Aerospace & Defense,"121,056"
11,SU.PA,Paris,France,EUR,Industrials,Specialty Industrial Machinery,"128,000"
12,AI.PA,Paris,France,EUR,Basic Materials,Specialty Chemicals,"66,400"
13,EL.PA,Paris,France,EUR,Healthcare,Medical Instruments & Supplies,"150,316"
14,KER.PA,Paris,France,EUR,Consumer Cyclical,Luxury Goods,"42,811"
15,BNP.PA,Paris,France,EUR,Financial Services,Banks—Regional,"190,000"
16,CS.PA,Paris,France,EUR,Financial Services,Insurance—Diversified,"106,128"
17,SLB.PA,Paris,United States,EUR,Energy,Oil & Gas Equipment & Services,"92,000"
18,DSY.PA,Paris,France,EUR,Technology,Software—Application,"20,496"
19,DG.PA,Paris,France,EUR,Industrials,Engineering & Construction,"218,569"
20,RI.PA,Paris,France,EUR,Consumer Defensive,Beverages—Wineries & Distilleries,"18,500"
21,SAF.PA,Paris,France,EUR,Industrials,Aerospace & Defense,"77,008"
22,STLA.PA,Paris,Netherlands,EUR,Consumer Cyclical,Auto Manufacturers,"281,595"
23,BN.PA,Paris,France,EUR,Consumer Defensive,Packaged Foods,"98,105"
24,EDF.PA,Paris,France,EUR,Utilities,Utilities—Diversified,"163,423"
25,CAP.PA,Paris,France,EUR,Technology,Information Technology Services,"324,684"
26,STM.PA,Paris,Switzerland,EUR,Technology,Semiconductors,"48,254"
27,ACA.PA,Paris,France,EUR,Financial Services,Banks—Regional,"75,975"
28,ORA.PA,Paris,France,EUR,Communication Services,Telecom Services,"139,698"
29,ENGI.PA,Paris,France,EUR,Utilities,Utilities—Diversified,"154,364"
30,DIM.PA,Paris,France,EUR,Healthcare,Medical Instruments & Supplies,"10,409"
31,SGO.PA,Paris,France,EUR,Industrials,Building Products & Equipment,"167,816"
32,HOLN.PA,Paris,Switzerland,EUR,Basic Materials,Building Materials,"70,000"
33,NOKIA.PA,Paris,Finland,EUR,Technology,Communication Equipment,"87,927"
34,HO.PA,Paris,France,EUR,Industrials,Aerospace & Defense,"76,135"
35,LR.PA,Paris,France,EUR,Industrials,Specialty Industrial Machinery,"38,207"
36,ML.PA,Paris,France,EUR,Consumer Cyclical,Auto Parts,"118,400"
37,TEP.PA,Paris,France,EUR,Industrials,Specialty Business Services,"420,000"
38,VIE.PA,Paris,France,EUR,Industrials,Waste Management,"179,718"
39,GLE.PA,Paris,France,EUR,Financial Services,Banks—Regional,"124,089"
40,ERF.PA,Paris,Luxembourg,EUR,Healthcare,Diagnostics & Research,"57,992"
41,CNP.PA,Paris,France,EUR,Financial Services,Insurance—Life,"5,311"
42,CA.PA,Paris,France,EUR,Consumer Defensive,Grocery Stores,"319,565"
43,PUB.PA,Paris,France,EUR,Communication Services,Advertising Agencies,"85,000"
44,ADP.PA,Paris,France,EUR,Industrials,Airports & Air Services,"25,720"
45,BOL.PA,Paris,France,EUR,Communication Services,Entertainment,
46,AM.PA,Paris,France,EUR,Industrials,Aerospace & Defense,"12,371"
47,BVI.PA,Paris,France,EUR,Industrials,Consulting Services,"74,922"
48,AMUN.PA,Paris,France,EUR,Financial Services,Asset Management,"4,548"
49,EN.PA,Paris,France,EUR,Industrials,Engineering & Construction,"127,304"
50,EDEN.PA,Paris,France,EUR,Financial Services,Credit Services,"8,847"
51,VIV.PA,Paris,France,EUR,Communication Services,Broadcasting,"34,300"
52,IAM.PA,Paris,Morocco,EUR,Communication Services,Telecom Services,"9,811"
53,BIM.PA,Paris,France,EUR,Healthcare,Diagnostics & Research,"12,084"
54,SW.PA,Paris,France,EUR,Industrials,Specialty Business Services,"301,236"
55,WLN.PA,Paris,France,EUR,Technology,Software—Infrastructure,"20,711"
56,RCO.PA,Paris,France,EUR,Consumer Defensive,Beverages—Wineries & Distilleries,"1,850"
57,GET.PA,Paris,France,EUR,Industrials,Railroads,"3,247"
58,IPN.PA,Paris,France,EUR,Healthcare,Drug Manufacturers—Specialty & Generic,"5,700"
59,FGR.PA,Paris,France,EUR,Industrials,Engineering & Construction,
60,ENX.PA,Paris,Netherlands,EUR,Financial Services,Financial Data & Stock Exchanges,"2,198"
61,AKE.PA,Paris,France,EUR,Basic Materials,Specialty Chemicals,"19,441"
62,GFC.PA,Paris,France,EUR,Real Estate,REIT—Office,493
63,ALO.PA,Paris,France,EUR,Industrials,Railroads,"70,000"
64,AC.PA,Paris,France,EUR,Consumer Cyclical,Lodging,"14,466"
65,COV.PA,Paris,France,EUR,Real Estate,REIT—Diversified,984
66,SK.PA,Paris,France,EUR,Consumer Cyclical,"Furnishings, Fixtures & Appliances","32,695"
67,RNO.PA,Paris,France,EUR,Consumer Cyclical,Auto Manufacturers,"160,000"
68,FDJ.PA,Paris,France,EUR,Consumer Cyclical,Gambling,"2,732"
69,LI.PA,Paris,France,EUR,Real Estate,REIT—Retail,"1,036"
70,RXL.PA,Paris,France,EUR,Technology,Electronics & Computer Distribution,"24,630"
71,RF.PA,Paris,France,EUR,Financial Services,Asset Management,"19,715"
72,SOI.PA,Paris,France,EUR,Technology,Semiconductor Equipment & Materials,"1,582"
73,ALD.PA,Paris,France,EUR,Industrials,Rental & Leasing Services,"6,700"
74,SCR.PA,Paris,France,EUR,Financial Services,Insurance—Reinsurance,"3,590"
75,SESG.PA,Paris,Luxembourg,EUR,Communication Services,Broadcasting,"2,037"
76,UBI.PA,Paris,France,EUR,Communication Services,Electronic Gaming & Multimedia,"20,754"
77,ODET.PA,Paris,France,EUR,Industrials,Conglomerates,"76,460"
78,ANTIN.PA,Paris,France,EUR,Financial Services,Asset Management,112
79,ICAD.PA,Paris,France,EUR,Real Estate,REIT—Diversified,"1,178"
80,SO.PA,Paris,France,EUR,Consumer Cyclical,"Furnishings, Fixtures & Appliances","6,131"
81,DEC.PA,Paris,France,EUR,Communication Services,Advertising Agencies,"10,200"
82,ATE.PA,Paris,France,EUR,Technology,Information Technology Services,"42,300"
83,FR.PA,Paris,France,EUR,Consumer Cyclical,Auto Parts,"103,300"
84,MF.PA,Paris,France,EUR,Financial Services,Asset Management,"90,266"
85,GTT.PA,Paris,France,EUR,Energy,Oil & Gas Equipment & Services,
86,MLHK.PA,Paris,Germany,EUR,Industrials,Aerospace & Defense,"1,042"
87,OVH.PA,Paris,France,EUR,Technology,Software—Infrastructure,"2,435"
88,NEOEN.PA,Paris,France,EUR,Utilities,Utilities—Renewable,
89,RE.PA,Paris,France,EUR,Industrials,Infrastructure Operations,"55,411"
90,ERA.PA,Paris,France,EUR,Basic Materials,Other Industrial Metals & Mining,"12,408"
91,TKO.PA,Paris,France,EUR,Financial Services,Asset Management,683
92,SPIE.PA,Paris,France,EUR,Industrials,Engineering & Construction,"45,803"
93,FLY.PA,Paris,France,EUR,Real Estate,REIT—Office,65
94,NEX.PA,Paris,France,EUR,Industrials,Electrical Equipment & Parts,"21,108"
95,MMB.PA,Paris,France,EUR,Consumer Cyclical,Travel Services,"27,359"
96,EO.PA,Paris,France,EUR,Consumer Cyclical,Auto Parts,"111,140"
97,SOP.PA,Paris,France,EUR,Technology,Information Technology Services,"47,437"
98,NK.PA,Paris,France,EUR,Basic Materials,Building Materials,"16,665"
99,VIRP.PA,Paris,France,EUR,Healthcare,Drug Manufacturers—General,"5,120"
100,ELIS.PA,Paris,France,EUR,Industrials,Specialty Business Services,"47,841"
101,VRLA.PA,Paris,France,EUR,Consumer Cyclical,Packaging & Containers,"10,000"
102,ALTA.PA,Paris,France,EUR,Real Estate,REIT—Residential,
103,ITP.PA,Paris,France,EUR,Consumer Defensive,Household & Personal Products,
104,PEUG.PA,Paris,France,EUR,Financial Services,Asset Management,
105,ARG.PA,Paris,France,EUR,Real Estate,REIT—Industrial,26
106,ROTH.PA,Paris,France,EUR,Financial Services,Capital Markets,"3,744"
107,GDS.PA,Paris,France,EUR,Healthcare,Medical Care Facilities,"32,623"
108,AF.PA,Paris,France,EUR,Industrials,Airlines,"55,529"
109,RUI.PA,Paris,France,EUR,Utilities,Utilities—Regulated Gas,"4,000"
110,VK.PA,Paris,France,EUR,Basic Materials,Steel,"15,875"
111,EUCAR.PA,Paris,France,EUR,Industrials,Rental & Leasing Services,"7,876"
112,ATO.PA,Paris,France,EUR,Technology,Information Technology Services,"109,135"
113,TRI.PA,Paris,France,EUR,Consumer Cyclical,Recreational Vehicles,"7,636"
114,ETL.PA,Paris,France,EUR,Technology,Communication Equipment,"1,132"
115,COVH.PA,Paris,France,EUR,Real Estate,REIT—Hotel & Motel,21
116,MMT.PA,Paris,France,EUR,Communication Services,Broadcasting,"2,240"
117,CARM.PA,Paris,France,EUR,Real Estate,REIT—Retail,229
118,ORP.PA,Paris,France,EUR,Healthcare,Medical Care Facilities,"39,957"
119,POM.PA,Paris,France,EUR,Consumer Cyclical,Auto Parts,"20,872"
120,TE.PA,Paris,France,EUR,Energy,Oil & Gas Equipment & Services,"15,586"
121,BB.PA,Paris,France,EUR,Consumer Defensive,Household & Personal Products,"10,471"
122,UNBL.PA,Paris,France,EUR,Consumer Defensive,Packaged Foods,"12,510"
123,IPS.PA,Paris,France,EUR,Industrials,Consulting Services,"17,366"
124,KORI.PA,Paris,France,EUR,Healthcare,Medical Care Facilities,
125,RBT.PA,Paris,France,EUR,Basic Materials,Chemicals,"1,860"
126,CBE.PA,Paris,France,EUR,Basic Materials,Chemicals,"1,860"
127,VLTSA.PA,Paris,France,EUR,Utilities,Utilities—Renewable,"1,300"
128,CNV.PA,Paris,Netherlands,EUR,Consumer Cyclical,Internet Retail,2
129,CO.PA,Paris,France,EUR,Consumer Defensive,Grocery Stores,"196,307"
130,TFI.PA,Paris,France,EUR,Communication Services,Broadcasting,"3,156"
131,COFA.PA,Paris,France,EUR,Financial Services,Insurance—Reinsurance,"3,667"
132,EXN.PA,Paris,France,EUR,Technology,Software—Infrastructure,"2,200"
133,IDL.PA,Paris,France,EUR,Industrials,Specialty Business Services,"25,000"
134,VLA.PA,Paris,France,EUR,Healthcare,Biotechnology,762
135,NXI.PA,Paris,France,EUR,Real Estate,Real Estate—Diversified,"8,296"
136,BAIN.PA,Paris,Monaco,EUR,Consumer Cyclical,Resorts & Casinos,"3,810"
137,LSS.PA,Paris,France,EUR,Technology,Software—Application,"1,574"
138,VETO.PA,Paris,France,EUR,Healthcare,Drug Manufacturers—Specialty & Generic,"2,546"
139,LOUP.PA,Paris,France,EUR,Consumer Defensive,Packaged Foods,"23,438"
140,DBG.PA,Paris,France,EUR,Industrials,Waste Management,"38,154"
141,ABIO.PA,Paris,France,EUR,Utilities,Utilities—Renewable,
142,SESL.PA,Paris,France,EUR,Technology,Electronic Components,
143,VCT.PA,Paris,France,EUR,Basic Materials,Building Materials,"9,353"
144,ARTO.PA,Paris,France,EUR,Technology,Computer Hardware,689
145,FNAC.PA,Paris,France,EUR,Consumer Cyclical,Specialty Retail,"22,576"
146,PHA.PA,Paris,France,EUR,Healthcare,Health Information Services,"1,100"
147,BLV.PA,Paris,France,EUR,Consumer Cyclical,Specialty Retail,"1,370"
148,STF.PA,Paris,France,EUR,Industrials,Integrated Freight & Logistics,"20,528"
149,MONC.PA,Paris,France,EUR,Financial Services,Asset Management,
150,AKA.PA,Paris,Belgium,EUR,Technology,Information Technology Services,"20,000"
151,AREIT.PA,Paris,France,EUR,Real Estate,Real Estate—Development,
152,FII.PA,Paris,France,EUR,Industrials,Aerospace & Defense,"9,480"
153,BEN.PA,Paris,France,EUR,Consumer Cyclical,Leisure,"7,528"
154,BASS.PA,Paris,France,EUR,Consumer Cyclical,Residential Construction,810
155,RIN.PA,Paris,France,EUR,Consumer Defensive,Farm Products,"6,918"
156,BUR.PA,Paris,France,EUR,Consumer Cyclical,Auto Parts,"21,481"
157,CRLA.PA,Paris,France,EUR,Financial Services,Banks—Regional,"2,550"
158,ALESK.PA,Paris,France,EUR,Technology,Software—Application,840
159,LTA.PA,Paris,France,EUR,Financial Services,Asset Management,
160,WAVE.PA,Paris,France,EUR,Technology,Information Technology Services,"3,476"
161,FREY.PA,Paris,France,EUR,Real Estate,REIT—Retail,85
162,MTU.PA,Paris,France,EUR,Industrials,Specialty Industrial Machinery,"4,500"
163,THEP.PA,Paris,France,EUR,Industrials,Industrial Distribution,678
164,SBT.PA,Paris,France,EUR,Consumer Defensive,Beverages—Wineries & Distilleries,"1,085"
165,SDG.PA,Paris,France,EUR,Industrials,Staffing & Employment Services,"4,332"
166,MAU.PA,Paris,France,EUR,Energy,Oil & Gas E&P,595
167,MERY.PA,Paris,France,EUR,Real Estate,REIT—Retail,132
168,NRO.PA,Paris,France,EUR,Technology,Information Technology Services,"5,869"
