,tick,exchange,country_name,currency,sector,industry,fulltime_employees
0,HTO.AT,Athens,Greece,EUR,Technology,Wireless Communications,"11,453"
1,EEE.AT,Athens,Switzerland,EUR,Consumer Goods,Beverages - Soft Drinks,"36,000"
2,OPAP.AT,Athens,Greece,EUR,Services,Gaming Activities,"1,580"
3,ETE.AT,Athens,Greece,EUR,Financial,Money Center Banks,"8,773"
4,PPC.AT,Athens,Greece,EUR,Utilities,Electric Utilities,"13,103"
5,MYTIL.AT,Athens,Greece,EUR,Basic Materials,Industrial Metals & Minerals,"4,823"
6,EUROB.AT,Athens,Greece,EUR,Financial,Money Center Banks,"11,935"
7,ELPE.AT,Athens,Greece,EUR,Basic Materials,Major Integrated Oil & Gas,"3,500"
8,BELA.AT,Athens,Greece,EUR,Consumer Goods,"Recreational Goods, Other","5,982"
9,TENERGY.AT,Athens,Greece,EUR,Utilities,Electric Utilities,324
10,TPEIR.AT,Athens,Greece,EUR,Financial,Money Center Banks,"9,270"
11,MOH.AT,Athens,Greece,EUR,Basic Materials,Oil & Gas Refining & Marketing,"2,903"
12,ALPHA.AT,Athens,Greece,EUR,Financial,Money Center Banks,"8,939"
13,VIO.AT,Athens,Belgium,EUR,Basic Materials,Industrial Metals & Minerals,"9,782"
14,GEKTERNA.AT,Athens,Greece,EUR,Industrial Goods,General Contractors,"3,345"
15,KARE.AT,Athens,Greece,EUR,Consumer Goods,"Tobacco Products, Other",553
16,EYDAP.AT,Athens,Greece,EUR,Utilities,Water Utilities,"2,330"
17,CENER.AT,Athens,Belgium,EUR,,,"2,285"
18,ADMIE.AT,Athens,Greece,EUR,,,3
19,LAMDA.AT,Athens,Greece,EUR,Financial,Real Estate Development,409
20,PLAKR.AT,Athens,Greece,EUR,Basic Materials,Specialty Chemicals,"1,161"
21,SAR.AT,Athens,Greece,EUR,Consumer Goods,Personal Products,"2,538"
22,LAMPS.AT,Athens,Greece,EUR,,,
23,PPA.AT,Athens,Greece,EUR,Services,Shipping,960
24,AEGN.AT,Athens,Greece,EUR,Services,Major Airlines,
25,TELL.AT,Athens,Greece,EUR,Financial,Money Center Banks,
26,OLTH.AT,Athens,Greece,EUR,Services,Shipping,293
27,MERKO.AT,Athens,Greece,EUR,,,
28,ELLAKTOR.AT,Athens,Greece,EUR,,,"5,383"
29,KRI.AT,Athens,Greece,EUR,,,
30,EXAE.AT,Athens,Greece,EUR,Financial,Asset Management,228
31,PLAT.AT,Athens,Greece,EUR,,,
32,ATTICA.AT,Athens,Greece,EUR,,,
33,EUPIC.AT,Athens,Greece,EUR,Financial,Property & Casualty Insurance,"1,105"
34,FOYRK.AT,Athens,Greece,EUR,Services,"Specialty Retail, Other","4,010"
35,EYAPS.AT,Athens,Greece,EUR,,,
36,NIKAS.AT,Athens,Greece,EUR,,,
37,IATR.AT,Athens,Greece,EUR,,,
38,INTRK.AT,Athens,Greece,EUR,Technology,Communication Equipment,"3,072"
39,ASTAK.AT,Athens,Greece,EUR,,,
40,OTOEL.AT,Athens,Greece,EUR,Services,Rental & Leasing Services,"1,109"
41,KAMP.AT,Athens,Greece,EUR,,,
42,TRASTOR.AT,Athens,Greece,EUR,,,
43,PLAIS.AT,Athens,Greece,EUR,Technology,Computer Based Systems,"1,505"
44,PROF.AT,Athens,Greece,EUR,,,
45,INLOT.AT,Athens,Greece,EUR,Services,Gaming Activities,"1,892"
46,EPSIL.AT,Athens,Greece,EUR,Technology,Technical & System Software,781
47,INKAT.AT,Athens,Greece,EUR,,,
48,INTERCO.AT,Athens,Greece,EUR,,,
49,FLEXO.AT,Athens,Greece,EUR,,,
50,PAP.AT,Athens,Greece,EUR,,,
51,QUEST.AT,Athens,Greece,EUR,Technology,Information Technology Services,"2,289"
52,OLYMP.AT,Athens,Greece,EUR,Industrial Goods,General Contractors,37
53,AVAX.AT,Athens,Greece,EUR,Industrial Goods,General Contractors,"2,186"
54,TATT.AT,Athens,Greece,EUR,,,
55,MOTO.AT,Athens,Greece,EUR,,,
56,SPACE.AT,Athens,Greece,EUR,,,
57,PETRO.AT,Athens,Greece,EUR,,,
58,BYTE.AT,Athens,Greece,EUR,,,
59,ELTON.AT,Athens,Greece,EUR,,,
60,KEKR.AT,Athens,Greece,EUR,,,
61,DAIOS.AT,Athens,Greece,EUR,,,
62,AVE.AT,Athens,Greece,EUR,,,
63,ALMY.AT,Athens,Greece,EUR,Basic Materials,Aluminum,"2,491"
64,ELIN.AT,Athens,Greece,EUR,,,
65,ELSTR.AT,Athens,Greece,EUR,,,
66,KYLO.AT,Athens,Greece,EUR,,,
67,BIOKA.AT,Athens,Greece,EUR,,,
68,LYK.AT,Athens,Greece,EUR,,,
69,FRIGO.AT,Athens,Greece,EUR,Industrial Goods,Diversified Machinery,"4,782"
