,tick,exchange,country_name,currency,sector,industry,fulltime_employees
0,0700.HK,HKSE,Haiti,HKD,Communication Services,Internet Content & Information,"112,771"
1,1398.HK,HKSE,China,HKD,Financial Services,Banks—Diversified,"439,787"
2,9988.HK,HKSE,China,HKD,Consumer Cyclical,Internet Retail,"259,316"
3,0939.HK,HKSE,China,HKD,Financial Services,Banks—Diversified,"375,531"
4,3968.HK,HKSE,China,HKD,Financial Services,Banks—Regional,"103,669"
5,1288.HK,HKSE,China,HKD,Financial Services,Banks—Diversified,"459,000"
6,0941.HK,HKSE,Hong Kong,HKD,Communication Services,Telecom Services,"449,934"
7,0857.HK,HKSE,China,HKD,Energy,Oil & Gas Integrated,"432,003"
8,3988.HK,HKSE,China,HKD,Financial Services,Banks—Diversified,"306,322"
9,0005.HK,HKSE,United Kingdom,HKD,Financial Services,Banks—Diversified,"219,697"
10,2318.HK,HKSE,China,HKD,Financial Services,Insurance—Life,"355,982"
11,1299.HK,HKSE,Hong Kong,HKD,Financial Services,Insurance—Life,
12,3690.HK,HKSE,China,HKD,Consumer Cyclical,Internet Retail,"100,033"
13,2628.HK,HKSE,China,HKD,Financial Services,Insurance—Life,"103,262"
14,1211.HK,HKSE,China,HKD,Consumer Cyclical,Auto Manufacturers,"224,280"
15,1088.HK,HKSE,China,HKD,Energy,Thermal Coal,"77,872"
16,9618.HK,HKSE,China,HKD,Consumer Cyclical,Internet Retail,
17,1658.HK,HKSE,China,HKD,Financial Services,Banks—Regional,"177,797"
18,0386.HK,HKSE,China,HKD,Energy,Oil & Gas Integrated,"385,691"
19,0883.HK,HKSE,Hong Kong,HKD,Energy,Oil & Gas E&P,"18,151"
20,9633.HK,HKSE,China,HKD,Consumer Defensive,Beverages—Non-Alcoholic,"20,000"
21,9999.HK,HKSE,China,HKD,Communication Services,Electronic Gaming & Multimedia,
22,3328.HK,HKSE,China,HKD,Financial Services,Banks—Diversified,"90,238"
23,0388.HK,HKSE,Hong Kong,HKD,Financial Services,Financial Data & Stock Exchanges,"2,146"
24,0728.HK,HKSE,Hong Kong,HKD,Communication Services,Telecom Services,"278,922"
25,6288.HK,HKSE,Japan,HKD,Consumer Cyclical,Apparel Retail,"55,589"
26,2840.HK,HKSE,Japan,HKD,,,
27,2359.HK,HKSE,China,HKD,Healthcare,Diagnostics & Research,"34,912"
28,2899.HK,HKSE,China,HKD,Basic Materials,Gold,"43,876"
29,6030.HK,HKSE,China,HKD,Financial Services,Capital Markets,"23,696"
30,9888.HK,HKSE,China,HKD,Communication Services,Internet Content & Information,"45,500"
31,0945.HK,HKSE,Canada,HKD,Financial Services,Insurance—Life,"38,000"
32,2388.HK,HKSE,Hong Kong,HKD,Financial Services,Banks—Regional,"14,462"
33,2378.HK,HKSE,United Kingdom,HKD,Financial Services,Insurance—Life,
34,0011.HK,HKSE,Hong Kong,HKD,Financial Services,Banks—Regional,"9,396"
35,1810.HK,HKSE,China,HKD,Technology,Consumer Electronics,"33,427"
36,2202.HK,HKSE,China,HKD,Real Estate,Real Estate—Development,"140,565"
37,0016.HK,HKSE,Hong Kong,HKD,Real Estate,Real Estate—Development,"38,500"
38,0688.HK,HKSE,Hong Kong,HKD,Real Estate,Real Estate—Development,"5,916"
39,0998.HK,HKSE,China,HKD,Financial Services,Banks—Regional,"58,329"
40,1876.HK,HKSE,Hong Kong,HKD,Consumer Defensive,Beverages—Brewers,"26,038"
41,6690.HK,HKSE,China,HKD,Consumer Cyclical,"Furnishings, Fixtures & Appliances","99,299"
42,1919.HK,HKSE,China,HKD,Industrials,Marine Shipping,"30,980"
43,0066.HK,HKSE,Hong Kong,HKD,Industrials,Railroads,"31,968"
44,1109.HK,HKSE,Hong Kong,HKD,Real Estate,Real Estate—Development,"47,537"
45,1024.HK,HKSE,China,HKD,Communication Services,Internet Content & Information,"28,098"
