,tick,exchange,country_name,currency,sector,industry,fulltime_employees
0,SAP.BD,Budapest,Germany,HUF,,,"107,415"
1,BAYER.BD,Budapest,Germany,HUF,,,"95,950"
2,BMW.BD,Budapest,Germany,HUF,Consumer Cyclical,Auto Manufacturers,"118,909"
3,BASF.BD,Budapest,Germany,HUF,,,"108,718"
4,EON.BD,Budapest,Germany,HUF,,,"63,227"
5,OTP.BD,Budapest,Hungary,HUF,Financial Services,Banks—Regional,"37,866"
6,MOL.BD,Budapest,Hungary,HUF,Energy,Oil & Gas Integrated,"24,291"
7,OPUS.BD,Budapest,Hungary,HUF,Industrials,Engineering & Construction,"4,637"
8,4IG.BD,Budapest,Hungary,HUF,Technology,Information Technology Services,
9,BIF.BD,Budapest,Hungary,HUF,Real Estate,REIT—Diversified,49
10,ALTEO.BD,Budapest,Hungary,HUF,Utilities,Utilities—Renewable,
11,ZWACK.BD,Budapest,Hungary,HUF,Consumer Defensive,Beverages—Wineries & Distilleries,246
12,UBM.BD,Budapest,Hungary,HUF,,,
13,ANY.BD,Budapest,Hungary,HUF,Industrials,Specialty Business Services,
14,DELTA.BD,Budapest,Hungary,HUF,Technology,Information Technology Services,
15,RABA.BD,Budapest,Hungary,HUF,Consumer Cyclical,Auto Parts,"1,311"
16,AKKO.BD,Budapest,Hungary,HUF,,,
17,DMKER.BD,Budapest,Hungary,HUF,Industrials,Industrial Distribution,77
18,ENEFI.BD,Budapest,Hungary,HUF,Utilities,Utilities—Renewable,44
19,SET.BD,Budapest,Hungary,HUF,Industrials,Specialty Industrial Machinery,
20,NUTEX.BD,Budapest,Hungary,HUF,Healthcare,Drug Manufacturers—Specialty & Generic,
21,EHEP.BD,Budapest,Hungary,HUF,,,
22,MERC.BD,Budapest,Hungary,HUF,,,
23,TJB.BD,Budapest,Hungary,HUF,,,
24,COMMB.BD,Budapest,Hungary,HUF,,,
25,MGKR.BD,Budapest,Hungary,HUF,,,
26,THYSS.BD,Budapest,Hungary,HUF,,,
27,HENK.BD,Budapest,Hungary,HUF,,,
28,AUTOW.BD,Budapest,Hungary,HUF,,,
29,GLSTR.BD,Budapest,Hungary,HUF,,,
30,SIEME.BD,Budapest,Hungary,HUF,,,
31,MAST.BD,Budapest,Hungary,HUF,,,
32,MTEL.BD,Budapest,Hungary,HUF,,,
33,PLYDR.BD,Budapest,Hungary,HUF,,,
34,PERGY.BD,Budapest,Hungary,HUF,,,
35,APPEN.BD,Budapest,Hungary,HUF,,,
36,DBANK.BD,Budapest,Hungary,HUF,,,
37,FUTUR.BD,Budapest,Hungary,HUF,,,
38,KSOFT.BD,Budapest,Hungary,HUF,,,
39,NAP.BD,Budapest,Hungary,HUF,,,
40,CIG.BD,Budapest,Hungary,HUF,,,
41,EPROI.BD,Budapest,Hungary,HUF,,,
42,RICHT.BD,Budapest,Hungary,HUF,,,
43,WABS.BD,Budapest,Hungary,HUF,,,
44,CBRG.BD,Budapest,Hungary,HUF,,,
45,EPDUF.BD,Budapest,Hungary,HUF,,,
46,ORM.BD,Budapest,Hungary,HUF,,,
47,LUFTH.BD,Budapest,Hungary,HUF,,,
48,DTEL.BD,Budapest,Hungary,HUF,,,
49,LINDP.BD,Budapest,Hungary,HUF,,,
50,FORRB.BD,Budapest,Hungary,HUF,,,
51,OXOTH.BD,Budapest,Hungary,HUF,,,
52,NORD.BD,Budapest,Hungary,HUF,,,
53,PNSUM.BD,Budapest,Hungary,HUF,,,
54,INFIN.BD,Budapest,Hungary,HUF,,,
55,DHS.BD,Budapest,Hungary,HUF,,,
56,MNRE.BD,Budapest,Hungary,HUF,,,
57,GSP.BD,Budapest,Hungary,HUF,,,
58,WIZZ.BD,Budapest,Hungary,HUF,,,
59,VWPR.BD,Budapest,Hungary,HUF,,,
