,tick,exchange,country_name,currency,sector,industry,fulltime_employees
0,MAREL.IC,Iceland,Iceland,ISK,Industrials,Specialty Industrial Machinery,"6,645"
1,ARION.IC,Iceland,Iceland,ISK,Financial Services,Banks—Regional,751
2,ISB.IC,Iceland,Iceland,ISK,Financial Services,Banks—Regional,735
3,BRIM.IC,Iceland,Iceland,ISK,Consumer Defensive,Farm Products,762
4,SVN.IC,Iceland,Iceland,ISK,Consumer Defensive,Farm Products,
5,KVIKA.IC,Iceland,Iceland,ISK,Financial Services,Banks—Regional,331
6,EIM.IC,Iceland,Iceland,ISK,Industrials,Integrated Freight & Logistics,"1,624"
7,HAGA.IC,Iceland,Iceland,ISK,Consumer Defensive,Grocery Stores,"2,469"
8,SIMINN.IC,Iceland,Iceland,ISK,Communication Services,Telecom Services,597
9,REITIR.IC,Iceland,Iceland,ISK,Real Estate,REIT—Diversified,21
10,FESTI.IC,Iceland,Iceland,ISK,Consumer Cyclical,Specialty Retail,"1,176"
11,ICEAIR.IC,Iceland,Iceland,ISK,Industrials,Airports & Air Services,"2,393"
12,REGINN.IC,Iceland,Iceland,ISK,Real Estate,Real Estate Services,61
13,HAMP.IC,Iceland,Iceland,ISK,Consumer Cyclical,Textile Manufacturing,"1,191"
14,SJOVA.IC,Iceland,Iceland,ISK,Financial Services,Insurance—Property & Casualty,185
15,EIK.IC,Iceland,Iceland,ISK,Real Estate,Real Estate Services,
16,VIS.IC,Iceland,Iceland,ISK,Financial Services,Insurance—Diversified,188
17,ORIGO.IC,Iceland,Iceland,ISK,Technology,Information Technology Services,537
18,ICESEA.IC,Iceland,Iceland,ISK,Consumer Defensive,Packaged Foods,944
19,SKEL.IC,Iceland,Iceland,ISK,Consumer Cyclical,Specialty Retail,268
20,SYN.IC,Iceland,Iceland,ISK,Communication Services,Telecom Services,462
21,PLAY.IC,Iceland,Iceland,ISK,Industrials,Airlines,150
22,KALD.IC,Iceland,Iceland,ISK,Consumer Cyclical,Residential Construction,2
23,KLAPP-B.IC,Iceland,Iceland,ISK,Technology,Software—Application,20
24,SOLID.IC,Iceland,Iceland,ISK,Communication Services,Electronic Gaming & Multimedia,17
25,SFS-B.IC,Iceland,Iceland,ISK,,,
