,tick,exchange,country_name,currency,sector,industry,fulltime_employees
0,RELIANCE.NS,NSE,India,INR,Energy,Oil & Gas Refining & Marketing,"236,334"
1,RELIANCE.BO,BSE,India,INR,,,
2,TCS.NS,NSE,India,INR,Technology,Information Technology Services,"556,986"
3,TCS.BO,BSE,India,INR,,,
4,HDFCBANK.NS,NSE,India,INR,Financial Services,Banks—Regional,"134,412"
5,HDFCBANK.BO,BSE,India,INR,,,
6,INFY.NS,NSE,India,INR,Technology,Information Technology Services,"292,067"
7,ICICIBANK.NS,NSE,India,INR,Financial Services,Banks—Regional,"98,750"
8,HINDUNILVR.BO,BSE,India,INR,,,
9,HINDUNILVR.NS,NSE,India,INR,Consumer Defensive,Household & Personal Products,"21,000"
10,INFY.BO,BSE,India,INR,,,
11,ADANIGREEN.NS,NSE,India,INR,Utilities,Utilities—Renewable,795
12,SBIN.NS,NSE,India,INR,Financial Services,Banks—Regional,"245,652"
13,BHARTIARTL.NS,NSE,India,INR,Communication Services,Telecom Services,"18,317"
14,BAJFINANCE.NS,NSE,India,INR,Financial Services,Credit Services,"28,546"
15,HDFC.NS,NSE,India,INR,Financial Services,Mortgage Finance,"3,226"
16,HDFC.BO,BSE,India,INR,,,
17,KOTAKBANK.NS,NSE,India,INR,Financial Services,Banks—Regional,"73,000"
18,ITC.NS,NSE,India,INR,Consumer Defensive,Tobacco,"26,071"
19,ASIANPAINT.NS,NSE,India,INR,Basic Materials,Specialty Chemicals,"7,134"
20,HCLTECH.NS,NSE,India,INR,Technology,Information Technology Services,"168,977"
21,WIPRO.NS,NSE,India,INR,Technology,Information Technology Services,"220,000"
22,ADANITRANS.NS,NSE,India,INR,Utilities,Utilities—Regulated Electric,"5,285"
23,ICICIBANK.BO,BSE,India,INR,,,
24,KOTAKBANK.BO,BSE,India,INR,,,
25,ATGL.NS,NSE,India,INR,Utilities,Utilities—Regulated Gas,425
26,DMART.NS,NSE,India,INR,Consumer Defensive,Discount Stores,"10,175"
27,ADANIENT.NS,NSE,India,INR,Energy,Thermal Coal,790
28,BAJAJFINSV.NS,NSE,India,INR,Financial Services,Financial Conglomerates,105
29,AXISBANK.NS,NSE,India,INR,Financial Services,Banks—Regional,"86,266"
30,MARUTI.NS,NSE,India,INR,Consumer Cyclical,Auto Manufacturers,"16,025"
31,LT.NS,NSE,India,INR,Industrials,Engineering & Construction,"40,253"
