,tick,exchange,country_name,currency,sector,industry,fulltime_employees
0,BBCA.JK,Jakarta,Indonesia,IDR,Financial Services,Banks—Regional,"25,370"
1,BBRI.JK,Jakarta,Indonesia,IDR,Financial Services,Banks—Regional,"79,398"
2,TLKM.JK,Jakarta,Indonesia,IDR,Communication Services,Telecom Services,"20,817"
3,GOTO.JK,Jakarta,Indonesia,IDR,Technology,Software—Application,"4,895"
4,BMRI.JK,Jakarta,Indonesia,IDR,Financial Services,Banks—Regional,"37,840"
5,ASII.JK,Jakarta,Indonesia,IDR,Consumer Cyclical,Auto Parts,"123,894"
6,TPIA.JK,Jakarta,Indonesia,IDR,Basic Materials,Specialty Chemicals,"2,084"
7,BBNI.JK,Jakarta,Indonesia,IDR,Financial Services,Banks—Regional,"26,362"
8,ARTO.JK,Jakarta,Indonesia,IDR,Financial Services,Banks—Regional,371
9,EMTK.JK,Jakarta,Indonesia,IDR,Communication Services,Broadcasting,"5,935"
10,BYAN.JK,Jakarta,Indonesia,IDR,Energy,Thermal Coal,"2,746"
11,BBHI.JK,Jakarta,Indonesia,IDR,Financial Services,Banks—Regional,144
12,UNVR.JK,Jakarta,Indonesia,IDR,Consumer Defensive,Household & Personal Products,"4,949"
13,MDKA.JK,Jakarta,Indonesia,IDR,Basic Materials,Other Industrial Metals & Mining,"3,480"
14,HMSP.JK,Jakarta,Indonesia,IDR,Consumer Defensive,Tobacco,"20,909"
15,UNTR.JK,Jakarta,Indonesia,IDR,Basic Materials,Other Industrial Metals & Mining,"29,118"
16,ADRO.JK,Jakarta,Indonesia,IDR,Energy,Thermal Coal,"9,711"
17,ADMR.JK,Jakarta,Indonesia,IDR,Energy,Thermal Coal,229
18,ICBP.JK,Jakarta,Indonesia,IDR,Consumer Defensive,Packaged Foods,"35,606"
19,CPIN.JK,Jakarta,Indonesia,IDR,Consumer Defensive,Farm Products,"7,844"
20,BRPT.JK,Jakarta,Indonesia,IDR,Basic Materials,Chemicals,"3,119"
21,INCO.JK,Jakarta,Indonesia,IDR,Basic Materials,Other Industrial Metals & Mining,"2,966"
22,SMMA.JK,Jakarta,Indonesia,IDR,Financial Services,Financial Conglomerates,"6,158"
23,KLBF.JK,Jakarta,Indonesia,IDR,Healthcare,Drug Manufacturers—General,"12,202"
24,MEGA.JK,Jakarta,Indonesia,IDR,Financial Services,Banks—Regional,"4,775"
25,AMRT.JK,Jakarta,Indonesia,IDR,Consumer Defensive,Grocery Stores,"72,155"
26,MTEL.JK,Jakarta,Indonesia,IDR,Communication Services,Telecom Services,321
27,TBIG.JK,Jakarta,Indonesia,IDR,Communication Services,Telecom Services,661
28,ANTM.JK,Jakarta,Indonesia,IDR,Basic Materials,Gold,"4,006"
29,BRIS.JK,Jakarta,Indonesia,IDR,Financial Services,Banks—Regional,"17,462"
30,MSIN.JK,Jakarta,Indonesia,IDR,Communication Services,Entertainment,361
31,GGRM.JK,Jakarta,Indonesia,IDR,Consumer Defensive,Tobacco,"34,544"
32,SUPR.JK,Jakarta,Indonesia,IDR,Technology,Communication Equipment,362
33,ISAT.JK,Jakarta,Indonesia,IDR,Communication Services,Telecom Services,"2,891"
34,INDF.JK,Jakarta,Indonesia,IDR,Consumer Defensive,Packaged Foods,"90,047"
35,AVIA.JK,Jakarta,Indonesia,IDR,Basic Materials,Specialty Chemicals,"1,261"
36,TOWR.JK,Jakarta,Indonesia,IDR,Communication Services,Telecom Services,"1,121"
37,SRTG.JK,Jakarta,Indonesia,IDR,Financial Services,Asset Management,61
38,TCPI.JK,Jakarta,Indonesia,IDR,Industrials,Marine Shipping,
39,DNET.JK,Jakarta,Indonesia,IDR,Communication Services,Telecom Services,156
40,BNLI.JK,Jakarta,Indonesia,IDR,Financial Services,Banks—Regional,"7,152"
41,INKP.JK,Jakarta,Indonesia,IDR,Basic Materials,Paper & Paper Products,"12,000"
42,PTBA.JK,Jakarta,Indonesia,IDR,Energy,Thermal Coal,"1,827"
43,BEBS.JK,Jakarta,Indonesia,IDR,Basic Materials,Building Materials,71
44,BUKA.JK,Jakarta,Indonesia,IDR,Consumer Cyclical,Internet Retail,"2,019"
45,INTP.JK,Jakarta,Indonesia,IDR,Basic Materials,Building Materials,"4,695"
46,MIKA.JK,Jakarta,Indonesia,IDR,Healthcare,Medical Care Facilities,"7,623"
47,MASA.JK,Jakarta,Indonesia,IDR,Consumer Cyclical,Auto Parts,"2,917"
48,SMGR.JK,Jakarta,Indonesia,IDR,Basic Materials,Building Materials,"9,500"
49,MYOR.JK,Jakarta,Indonesia,IDR,Consumer Defensive,Packaged Foods,"12,741"
50,GEMS.JK,Jakarta,Indonesia,IDR,Energy,Thermal Coal,437
51,EXCL.JK,Jakarta,Indonesia,IDR,Communication Services,Telecom Services,"1,568"
52,PGAS.JK,Jakarta,Indonesia,IDR,Utilities,Utilities—Regulated Gas,"3,239"
53,CMRY.JK,Jakarta,Indonesia,IDR,Consumer Defensive,Packaged Foods,522
54,HRUM.JK,Jakarta,Indonesia,IDR,Energy,Thermal Coal,717
55,CASA.JK,Jakarta,Indonesia,IDR,Financial Services,Insurance—Life,947
56,ITMG.JK,Jakarta,Indonesia,IDR,Energy,Thermal Coal,"2,440"
57,SIDO.JK,Jakarta,Indonesia,IDR,Healthcare,Drug Manufacturers—Specialty & Generic,"2,971"
58,JSMR.JK,Jakarta,Indonesia,IDR,Industrials,Engineering & Construction,"8,160"
59,BANK.JK,Jakarta,Indonesia,IDR,Financial Services,Banks—Regional,28
60,FREN.JK,Jakarta,Indonesia,IDR,Communication Services,Telecom Services,"2,783"
61,PWON.JK,Jakarta,Indonesia,IDR,Real Estate,Real Estate—Diversified,"2,561"
62,BNGA.JK,Jakarta,Indonesia,IDR,Financial Services,Banks—Regional,"11,194"
63,DSSA.JK,Jakarta,Indonesia,IDR,Energy,Thermal Coal,"1,843"
64,AALI.JK,Jakarta,Indonesia,IDR,Consumer Defensive,Farm Products,"28,869"
65,BTPS.JK,Jakarta,Indonesia,IDR,Financial Services,Banks—Regional,"12,205"
66,BRMS.JK,Jakarta,Indonesia,IDR,Basic Materials,Other Industrial Metals & Mining,294
67,BDMN.JK,Jakarta,Indonesia,IDR,Financial Services,Banks—Regional,"22,523"
68,AGRO.JK,Jakarta,Indonesia,IDR,Financial Services,Banks—Regional,631
69,PNBN.JK,Jakarta,Indonesia,IDR,Financial Services,Banks—Regional,"7,717"
70,BNII.JK,Jakarta,Indonesia,IDR,Financial Services,Banks—Regional,"9,508"
71,HEAL.JK,Jakarta,Indonesia,IDR,Healthcare,Medical Care Facilities,"12,939"
72,BTPN.JK,Jakarta,Indonesia,IDR,Financial Services,Banks—Regional,"19,334"
73,TKIM.JK,Jakarta,Indonesia,IDR,Basic Materials,Paper & Paper Products,"5,200"
74,GOOD.JK,Jakarta,Indonesia,IDR,Consumer Defensive,Packaged Foods,"8,546"
75,BSDE.JK,Jakarta,Indonesia,IDR,Real Estate,Real Estate—Development,"3,296"
76,ESSA.JK,Jakarta,Indonesia,IDR,Energy,Oil & Gas Refining & Marketing,362
77,MCOL.JK,Jakarta,Indonesia,IDR,Energy,Thermal Coal,"1,103"
78,AKRA.JK,Jakarta,Indonesia,IDR,Energy,Oil & Gas Refining & Marketing,"1,986"
79,MLBI.JK,Jakarta,Indonesia,IDR,Consumer Defensive,Beverages—Brewers,407
80,CTRA.JK,Jakarta,Indonesia,IDR,Real Estate,Real Estate—Development,"3,349"
81,BBTN.JK,Jakarta,Indonesia,IDR,Financial Services,Banks—Regional,"10,811"
82,BFIN.JK,Jakarta,Indonesia,IDR,Financial Services,Credit Services,"5,933"
83,CMNT.JK,Jakarta,Indonesia,IDR,Basic Materials,Building Materials,"3,241"
84,CARE.JK,Jakarta,Indonesia,IDR,Healthcare,Medical Care Facilities,993
85,ACES.JK,Jakarta,Indonesia,IDR,Consumer Cyclical,Specialty Retail,"14,752"
86,BINA.JK,Jakarta,Indonesia,IDR,Financial Services,Banks—Regional,467
87,BBYB.JK,Jakarta,Indonesia,IDR,Financial Services,Banks—Regional,669
88,IMPC.JK,Jakarta,Indonesia,IDR,Basic Materials,Building Materials,"1,997"
89,BBSI.JK,Jakarta,Indonesia,IDR,Financial Services,Banks—Regional,64
90,ULTJ.JK,Jakarta,Indonesia,IDR,Consumer Defensive,Packaged Foods,"1,425"
91,SCMA.JK,Jakarta,Indonesia,IDR,Communication Services,Broadcasting,"4,165"
92,FASW.JK,Jakarta,Indonesia,IDR,Consumer Cyclical,Packaging & Containers,"3,422"
93,LPPF.JK,Jakarta,Indonesia,IDR,Consumer Cyclical,Department Stores,"9,032"
94,WSKT.JK,Jakarta,Indonesia,IDR,Industrials,Engineering & Construction,"2,296"
95,MAPI.JK,Jakarta,Indonesia,IDR,Consumer Cyclical,Department Stores,"19,450"
96,SMCB.JK,Jakarta,Indonesia,IDR,Basic Materials,Building Materials,"2,281"
97,SILO.JK,Jakarta,Indonesia,IDR,Healthcare,Medical Care Facilities,"12,947"
98,NISP.JK,Jakarta,Indonesia,IDR,Financial Services,Banks—Regional,"5,777"
99,TINS.JK,Jakarta,Indonesia,IDR,Basic Materials,Other Industrial Metals & Mining,"4,606"
100,BJBR.JK,Jakarta,Indonesia,IDR,Financial Services,Banks—Regional,"8,805"
101,BBKP.JK,Jakarta,Indonesia,IDR,Financial Services,Banks—Regional,"4,792"
102,INDY.JK,Jakarta,Indonesia,IDR,Energy,Thermal Coal,"5,902"
103,MEDC.JK,Jakarta,Indonesia,IDR,Energy,Oil & Gas E&P,"2,895"
104,WIRG.JK,Jakarta,Indonesia,IDR,Technology,Information Technology Services,
105,MNCN.JK,Jakarta,Indonesia,IDR,Communication Services,Advertising Agencies,"6,371"
106,SMAR.JK,Jakarta,Indonesia,IDR,Consumer Defensive,Farm Products,"21,326"
107,JPFA.JK,Jakarta,Indonesia,IDR,Consumer Defensive,Farm Products,"30,525"
108,TAPG.JK,Jakarta,Indonesia,IDR,Consumer Defensive,Farm Products,"11,548"
109,APIC.JK,Jakarta,Indonesia,IDR,Financial Services,Insurance—Life,205
110,FAPA.JK,Jakarta,Indonesia,IDR,Consumer Defensive,Farm Products,"9,810"
111,DMMX.JK,Jakarta,Indonesia,IDR,Communication Services,Advertising Agencies,41
112,LINK.JK,Jakarta,Indonesia,IDR,Communication Services,Telecom Services,882
113,LIFE.JK,Jakarta,Indonesia,IDR,Financial Services,Insurance—Life,414
114,BSIM.JK,Jakarta,Indonesia,IDR,Financial Services,Banks—Regional,"5,302"
115,CMNP.JK,Jakarta,Indonesia,IDR,Industrials,Infrastructure Operations,109
116,CITA.JK,Jakarta,Indonesia,IDR,Basic Materials,Other Industrial Metals & Mining,299
117,BJTM.JK,Jakarta,Indonesia,IDR,Financial Services,Banks—Regional,"4,007"
118,ARCI.JK,Jakarta,Indonesia,IDR,Basic Materials,Gold,830
119,SMRA.JK,Jakarta,Indonesia,IDR,Real Estate,Real Estate—Development,"2,474"
120,TMAS.JK,Jakarta,Indonesia,IDR,Industrials,Marine Shipping,535
121,BSSR.JK,Jakarta,Indonesia,IDR,Energy,Thermal Coal,539
122,FILM.JK,Jakarta,Indonesia,IDR,Communication Services,Entertainment,40
123,MCAS.JK,Jakarta,Indonesia,IDR,Industrials,Business Equipment & Supplies,155
124,SSMS.JK,Jakarta,Indonesia,IDR,Consumer Defensive,Farm Products,"7,321"
125,POWR.JK,Jakarta,Indonesia,IDR,Utilities,Utilities—Independent Power Producers,776
126,STAA.JK,Jakarta,Indonesia,IDR,Consumer Defensive,Farm Products,"4,522"
127,IBST.JK,Jakarta,Indonesia,IDR,Communication Services,Telecom Services,445
128,LSIP.JK,Jakarta,Indonesia,IDR,Consumer Defensive,Farm Products,"14,694"
129,ASSA.JK,Jakarta,Indonesia,IDR,Industrials,Rental & Leasing Services,"1,235"
130,BCAP.JK,Jakarta,Indonesia,IDR,Financial Services,Capital Markets,"2,143"
131,STTP.JK,Jakarta,Indonesia,IDR,Consumer Defensive,Packaged Foods,"2,321"
132,MTDL.JK,Jakarta,Indonesia,IDR,Technology,Electronics & Computer Distribution,"3,474"
133,SMSM.JK,Jakarta,Indonesia,IDR,Consumer Cyclical,Auto Parts,"3,337"
134,TOBA.JK,Jakarta,Indonesia,IDR,Energy,Thermal Coal,546
135,LPKR.JK,Jakarta,Indonesia,IDR,Real Estate,Real Estate Services,"11,757"
136,WIKA.JK,Jakarta,Indonesia,IDR,Industrials,Engineering & Construction,"5,263"
137,TLDN.JK,Jakarta,Indonesia,IDR,Consumer Defensive,Farm Products,
138,GGRP.JK,Jakarta,Indonesia,IDR,Basic Materials,Steel,"3,981"
139,BBMD.JK,Jakarta,Indonesia,IDR,Financial Services,Banks—Regional,"1,072"
140,ERAA.JK,Jakarta,Indonesia,IDR,Consumer Cyclical,Specialty Retail,"3,370"
141,MAPA.JK,Jakarta,Indonesia,IDR,Consumer Cyclical,Specialty Retail,"7,035"
142,EDGE.JK,Jakarta,Indonesia,IDR,Technology,Information Technology Services,215
143,DMAS.JK,Jakarta,Indonesia,IDR,Real Estate,Real Estate—Development,441
144,KAEF.JK,Jakarta,Indonesia,IDR,Healthcare,Medical Distribution,"12,022"
145,SOHO.JK,Jakarta,Indonesia,IDR,Healthcare,Medical Distribution,"2,392"
146,DUTI.JK,Jakarta,Indonesia,IDR,Real Estate,Real Estate—Development,"1,126"
147,NETV.JK,Jakarta,Indonesia,IDR,Communication Services,Broadcasting,755
148,ADMF.JK,Jakarta,Indonesia,IDR,Financial Services,Credit Services,"13,940"
149,SIMP.JK,Jakarta,Indonesia,IDR,Consumer Defensive,Packaged Foods,"34,509"
150,DMND.JK,Jakarta,Indonesia,IDR,Consumer Defensive,Packaged Foods,"6,572"
151,ROTI.JK,Jakarta,Indonesia,IDR,Consumer Defensive,Packaged Foods,"3,796"
152,EPMT.JK,Jakarta,Indonesia,IDR,Healthcare,Medical Distribution,"4,958"
153,MPRO.JK,Jakarta,Indonesia,IDR,Real Estate,Real Estate—Development,19
154,KPIG.JK,Jakarta,Indonesia,IDR,Real Estate,Real Estate Services,481
155,TURI.JK,Jakarta,Indonesia,IDR,Consumer Cyclical,Auto & Truck Dealerships,"3,004"
156,HERO.JK,Jakarta,Indonesia,IDR,Consumer Cyclical,Department Stores,"4,454"
157,KRAS.JK,Jakarta,Indonesia,IDR,Basic Materials,Steel,"5,231"
158,PLIN.JK,Jakarta,Indonesia,IDR,Real Estate,Real Estate Services,345
159,SAME.JK,Jakarta,Indonesia,IDR,Healthcare,Medical Care Facilities,"1,614"
160,KINO.JK,Jakarta,Indonesia,IDR,Industrials,Conglomerates,"5,477"
161,TFAS.JK,Jakarta,Indonesia,IDR,Industrials,Staffing & Employment Services,29
162,MAYA.JK,Jakarta,Indonesia,IDR,Financial Services,Banks—Regional,"3,274"
163,ARNA.JK,Jakarta,Indonesia,IDR,Industrials,Building Products & Equipment,"2,016"
164,CENT.JK,Jakarta,Indonesia,IDR,Communication Services,Telecom Services,256
165,PNLF.JK,Jakarta,Indonesia,IDR,Financial Services,Insurance—Life,304
166,AGII.JK,Jakarta,Indonesia,IDR,Basic Materials,Chemicals,"2,499"
167,ABMM.JK,Jakarta,Indonesia,IDR,Energy,Thermal Coal,"6,034"
168,TSPC.JK,Jakarta,Indonesia,IDR,Healthcare,Drug Manufacturers—Specialty & Generic,"4,790"
169,BUMI.JK,Jakarta,Indonesia,IDR,Energy,Thermal Coal,864
