,tick,exchange,country_name,currency,sector,industry,fulltime_employees
0,CRG.IR,Irish,Ireland,EUR,Basic Materials,Building Materials,"77,400"
1,KRZ.IR,Irish,Ireland,EUR,Consumer Defensive,Packaged Foods,"22,000"
2,FLTR.IR,Irish,Ireland,EUR,Consumer Cyclical,Gambling,"16,813"
3,RYA.IR,Irish,Ireland,EUR,Industrials,Airlines,"18,500"
4,KRX.IR,Irish,Ireland,EUR,Industrials,Building Products & Equipment,"19,000"
5,SK3.IR,Irish,Ireland,EUR,Consumer Cyclical,Packaging & Containers,"48,000"
6,BIRG.IR,Irish,Ireland,EUR,Financial Services,Banks—Regional,"8,696"
7,A5G.IR,Irish,Ireland,EUR,Financial Services,Banks—Regional,"8,916"
8,GL9.IR,Irish,Ireland,EUR,Consumer Defensive,Packaged Foods,"8,071"
9,GRP.IR,Irish,Ireland,EUR,Utilities,Utilities—Renewable,
10,HBRN.IR,Irish,Ireland,EUR,Real Estate,REIT—Office,35
11,UPR.IR,Irish,Ireland,EUR,Healthcare,Medical Care Facilities,"2,850"
12,GVR.IR,Irish,Ireland,EUR,Consumer Cyclical,Residential Construction,336
13,DHG.IR,Irish,Ireland,EUR,Consumer Cyclical,Lodging,"4,230"
14,C5H.IR,Irish,Ireland,EUR,Consumer Cyclical,Residential Construction,270
15,IRES.IR,Irish,Ireland,EUR,Real Estate,REIT—Residential,11
16,GYQ.IR,Irish,United Kingdom,EUR,Technology,Information Technology Services,"3,000"
17,IL0A.IR,Irish,Ireland,EUR,Financial Services,Banks—Regional,"2,236"
18,IR5B.IR,Irish,Ireland,EUR,Industrials,Marine Shipping,
19,KMR.IR,Irish,Ireland,EUR,Basic Materials,Other Industrial Metals & Mining,"1,551"
20,OIZ.IR,Irish,Ireland,EUR,Consumer Defensive,Farm Products,"2,641"
21,EG7.IR,Irish,Ireland,EUR,Financial Services,Insurance—Property & Casualty,900
22,MIO.IR,Irish,Ireland,EUR,Industrials,Tools & Accessories,594
23,MLC.IR,Irish,Ireland,EUR,Healthcare,Drug Manufacturers—Specialty & Generic,6
24,HSW.IR,Irish,Ireland,EUR,Consumer Cyclical,Travel Services,244
25,CORRE.IR,Irish,Netherlands,EUR,Utilities,Utilities—Renewable,21
26,DLE.IR,Irish,Ireland,EUR,Technology,Software—Application,140
27,HBCN.IR,Irish,Ireland,EUR,Healthcare,Health Information Services,50
28,EXR.IR,Irish,Ireland,EUR,Technology,Software—Application,49
29,DQ7A.IR,Irish,Ireland,EUR,Consumer Defensive,Farm Products,
30,PZQA.IR,Irish,Ireland,EUR,Energy,Oil & Gas E&P,2
31,OVXA.IR,Irish,Ireland,EUR,Healthcare,Biotechnology,5
32,ORQ1.IR,Irish,Ireland,EUR,Basic Materials,Other Industrial Metals & Mining,7
