,tick,exchange,country_name,currency,sector,industry,fulltime_employees
0,ICL.TA,Tel,Israel,ILA,Basic Materials,Agricultural Inputs,"12,269"
1,LUMI.TA,Tel,Israel,ILA,Financial Services,Banks—Regional,
2,NICE.TA,Tel,Israel,ILA,Technology,Software—Application,"7,102"
3,POLI.TA,Tel,Israel,ILA,Financial Services,Banks—Regional,"8,535"
4,AZRG.TA,Tel,Israel,ILA,Real Estate,Real Estate Services,391
5,TEVA.TA,Tel,Israel,ILA,Healthcare,Drug Manufacturers—Specialty & Generic,"34,713"
6,MZTF.TA,Tel,Israel,ILA,Financial Services,Banks—Regional,"7,632"
7,ESLT.TA,Tel,Israel,ILA,Industrials,Aerospace & Defense,"17,787"
8,DSCT.TA,Tel,Israel,ILA,Financial Services,Banks—Regional,"8,036"
9,TSEM.TA,Tel,Israel,ILA,Technology,Semiconductors,
10,ILCO.TA,Tel,Israel,ILA,Basic Materials,Specialty Chemicals,"1,332"
11,ORA.TA,Tel,United States,ILA,Utilities,Utilities—Renewable,"1,385"
12,BEZQ.TA,Tel,Israel,ILA,Communication Services,Telecom Services,"5,475"
13,FIBI.TA,Tel,Israel,ILA,Financial Services,Banks—Regional,"3,645"
14,MLSR.TA,Tel,Israel,ILA,Real Estate,Real Estate Services,
15,NWMD.TA,Tel,Israel,ILA,Energy,Oil & Gas E&P,16
16,AMOT.TA,Tel,Israel,ILA,Real Estate,Real Estate Services,112
17,KEN.TA,Tel,Singapore,ILA,Utilities,Utilities—Regulated Electric,124
18,STRS.TA,Tel,Israel,ILA,Consumer Defensive,Packaged Foods,"17,440"
19,SPEN.TA,Tel,Israel,ILA,Industrials,Engineering & Construction,"2,320"
20,PHOE.TA,Tel,Israel,ILA,Financial Services,Insurance—Diversified,355
21,BIG.TA,Tel,Israel,ILA,Real Estate,Real Estate Services,
22,DLEKG.TA,Tel,Israel,ILA,Energy,Oil & Gas E&P,
23,MVNE.TA,Tel,Israel,ILA,Real Estate,Real Estate Services,
24,ASHG.TA,Tel,Israel,ILA,Real Estate,Real Estate—Development,733
25,ALHE.TA,Tel,Israel,ILA,Real Estate,Real Estate Services,
26,NVMI.TA,Tel,Israel,ILA,Technology,Semiconductor Equipment & Materials,819
27,ARPT.TA,Tel,Israel,ILA,Real Estate,Real Estate Services,169
28,HARL.TA,Tel,Israel,ILA,Financial Services,Insurance—Diversified,"4,940"
29,ENOG.TA,Tel,United Kingdom,ILA,Energy,Oil & Gas E&P,
30,ELTR.TA,Tel,Israel,ILA,Industrials,Engineering & Construction,"14,029"
31,SKBN.TA,Tel,Israel,ILA,Industrials,Engineering & Construction,"8,529"
32,AFPR.TA,Tel,Israel,ILA,Real Estate,Real Estate Services,313
33,GVYM.TA,Tel,Israel,ILA,Real Estate,Real Estate—Development,54
34,SAE.TA,Tel,Israel,ILA,Consumer Defensive,Grocery Stores,"14,774"
35,FTAL.TA,Tel,Israel,ILA,Consumer Cyclical,Lodging,"3,265"
36,OPCE.TA,Tel,Israel,ILA,Utilities,Utilities—Independent Power Producers,125
37,OPK.TA,Tel,United States,ILA,Healthcare,Diagnostics & Research,"5,767"
38,ENLT.TA,Tel,Israel,ILA,Utilities,Utilities—Renewable,80
39,FOX.TA,Tel,Israel,ILA,Consumer Cyclical,Apparel Manufacturing,"10,147"
