,tick,exchange,country_name,currency,sector,industry,fulltime_employees
0,GOOG.MI,Milan,United States,EUR,,,"156,500"
1,TSLA.MI,Milan,United States,EUR,Consumer Cyclical,Auto Manufacturers,"99,290"
2,LVMH.MI,Milan,France,EUR,Consumer Cyclical,Luxury Goods,"157,953"
3,ASML.MI,Milan,Netherlands,EUR,Technology,Semiconductor Equipment & Materials,"29,861"
4,OR.MI,Milan,France,EUR,Consumer Defensive,Household & Personal Products,"85,412"
5,SANF.MI,Milan,France,EUR,Healthcare,Drug Manufacturers—General,"95,442"
6,TOT.MI,Milan,France,EUR,Energy,Oil & Gas Integrated,"101,309"
7,SAP.MI,Milan,Germany,EUR,Technology,Software—Application,"107,415"
8,ABI.MI,Milan,Belgium,EUR,Consumer Defensive,Beverages—Brewers,"169,339"
9,SIE.MI,Milan,Germany,EUR,Industrials,Specialty Industrial Machinery,"303,000"
10,VOW3.MI,Milan,Germany,EUR,Consumer Cyclical,Auto Manufacturers,"672,789"
11,NFLX.MI,Milan,United States,EUR,Communication Services,Entertainment,"11,300"
12,ALV.MI,Milan,Germany,EUR,Financial Services,Insurance—Diversified,"155,411"
13,DTE.MI,Milan,Germany,EUR,Communication Services,Telecom Services,"216,528"
14,SBUX.MI,Milan,United States,EUR,Consumer Cyclical,Restaurants,"383,000"
15,AIR.MI,Milan,Netherlands,EUR,Industrials,Aerospace & Defense,"121,056"
16,SU.MI,Milan,France,EUR,Industrials,Specialty Industrial Machinery,"128,000"
17,MRK.MI,Milan,Germany,EUR,Healthcare,Drug Manufacturers—Specialty & Generic,"60,334"
18,AI.MI,Milan,France,EUR,Basic Materials,Specialty Chemicals,"66,400"
19,GILD.MI,Milan,United States,EUR,Healthcare,Drug Manufacturers—General,"14,400"
20,EL.MI,Milan,France,EUR,Healthcare,Medical Instruments & Supplies,"150,316"
21,MU.MI,Milan,United States,EUR,Technology,Semiconductors,"44,000"
22,BAY.MI,Milan,Germany,EUR,Healthcare,Drug Manufacturers—General,"95,950"
23,IBE.MI,Milan,Spain,EUR,,,"38,702"
24,KER.MI,Milan,France,EUR,Consumer Cyclical,Luxury Goods,"42,811"
25,BNP.MI,Milan,France,EUR,Financial Services,Banks—Regional,"190,000"
26,ITX.MI,Milan,Spain,EUR,,,"73,024"
27,ENEL.MI,Milan,Italy,EUR,Utilities,Utilities—Diversified,"66,279"
28,AXA.MI,Milan,France,EUR,Financial Services,Insurance—Diversified,"106,128"
29,SANT.MI,Milan,Spain,EUR,Financial Services,Banks—Diversified,"177,033"
30,DG.MI,Milan,France,EUR,Industrials,Engineering & Construction,"218,569"
31,BMW.MI,Milan,Germany,EUR,Consumer Cyclical,Auto Manufacturers,"118,909"
32,DPW.MI,Milan,Germany,EUR,Industrials,Integrated Freight & Logistics,"548,042"
33,BASF.MI,Milan,Germany,EUR,Basic Materials,Chemicals,"108,718"
34,ENI.MI,Milan,Italy,EUR,Energy,Oil & Gas Integrated,"32,689"
35,SAF.MI,Milan,France,EUR,Industrials,Aerospace & Defense,"77,008"
36,STLA.MI,Milan,Netherlands,EUR,Consumer Cyclical,Auto Manufacturers,"281,595"
37,ISP.MI,Milan,Italy,EUR,Financial Services,Banks—Regional,"97,698"
38,ADS.MI,Milan,Germany,EUR,Consumer Cyclical,Footwear & Accessories,"53,870"
39,RACE.MI,Milan,Italy,EUR,Consumer Cyclical,Auto Manufacturers,"4,609"
40,IFX.MI,Milan,Germany,EUR,Technology,Semiconductors,"50,280"
41,DNN.MI,Milan,France,EUR,Consumer Defensive,Packaged Foods,"98,105"
42,MUV2.MI,Milan,Germany,EUR,Financial Services,Insurance—Reinsurance,"39,281"
43,STM.MI,Milan,Switzerland,EUR,Technology,Semiconductors,"48,254"
44,VNA.MI,Milan,Germany,EUR,Real Estate,Real Estate Services,"11,137"
45,DB1.MI,Milan,Germany,EUR,Financial Services,Financial Data & Stock Exchanges,"8,855"
46,ACA.MI,Milan,France,EUR,Financial Services,Banks—Regional,"75,975"
47,ORA.MI,Milan,France,EUR,Communication Services,Telecom Services,"139,698"
48,G.MI,Milan,Italy,EUR,Financial Services,Insurance—Diversified,"74,621"
49,ENGI.MI,Milan,France,EUR,Utilities,Utilities—Diversified,"154,364"
50,SGO.MI,Milan,France,EUR,Industrials,Building Products & Equipment,"167,816"
51,AD.MI,Milan,Netherlands,EUR,Consumer Defensive,Grocery Stores,"144,550"
52,TEF.MI,Milan,Spain,EUR,Communication Services,Telecom Services,"104,150"
53,NOKIA.MI,Milan,Finland,EUR,Technology,Communication Equipment,"87,927"
54,RWE.MI,Milan,Germany,EUR,Utilities,Utilities—Diversified,"18,246"
55,EOAN.MI,Milan,Germany,EUR,Utilities,Utilities—Diversified,"63,227"
56,HEN3.MI,Milan,Germany,EUR,Consumer Defensive,Household & Personal Products,"52,450"
57,PHIA.MI,Milan,Netherlands,EUR,Healthcare,Medical Devices,"78,189"
58,FRE.MI,Milan,Germany,EUR,Healthcare,Medical Care Facilities,"316,078"
59,DBK.MI,Milan,Germany,EUR,Financial Services,Banks—Regional,"82,969"
60,BEI.MI,Milan,Germany,EUR,Consumer Defensive,Household & Personal Products,"20,567"
61,UCG.MI,Milan,Italy,EUR,Financial Services,Banks—Regional,"78,571"
62,GLE.MI,Milan,France,EUR,Financial Services,Banks—Regional,"124,089"
63,CNHI.MI,Milan,United Kingdom,EUR,Industrials,Farm & Heavy Construction Machinery,"71,895"
64,ATL.MI,Milan,Italy,EUR,Industrials,Infrastructure Operations,"20,000"
65,FME.MI,Milan,Germany,EUR,Healthcare,Medical Care Facilities,"122,909"
66,TEN.MI,Milan,Luxembourg,EUR,Energy,Oil & Gas Equipment & Services,"22,776"
67,SRG.MI,Milan,Italy,EUR,Utilities,Utilities—Regulated Gas,"3,393"
68,EXO.MI,Milan,Netherlands,EUR,Consumer Cyclical,Auto Manufacturers,"263,284"
69,TRN.MI,Milan,Italy,EUR,Utilities,Utilities—Regulated Electric,"5,136"
70,CRR.MI,Milan,France,EUR,Consumer Defensive,Grocery Stores,"319,565"
71,ENR.MI,Milan,Germany,EUR,Industrials,Specialty Industrial Machinery,"91,000"
72,MONC.MI,Milan,Italy,EUR,Consumer Cyclical,Apparel Manufacturing,"5,290"
73,CON.MI,Milan,Germany,EUR,Consumer Cyclical,Auto Parts,"190,875"
74,PST.MI,Milan,Italy,EUR,Industrials,Conglomerates,
75,EVK.MI,Milan,Germany,EUR,Basic Materials,Specialty Chemicals,"31,571"
76,VIV.MI,Milan,France,EUR,Communication Services,Broadcasting,"34,300"
77,CPR.MI,Milan,Italy,EUR,Consumer Defensive,Beverages—Wineries & Distilleries,"3,755"
78,NEXI.MI,Milan,Italy,EUR,Technology,Software—Infrastructure,
79,AGN.MI,Milan,Netherlands,EUR,Financial Services,Insurance—Diversified,"17,936"
80,HEI.MI,Milan,Germany,EUR,Basic Materials,Building Materials,"51,209"
81,INW.MI,Milan,Italy,EUR,Communication Services,Telecom Services,246
82,URW.MI,Milan,France,EUR,Financial,REIT - Retail,"2,678"
83,REC.MI,Milan,Italy,EUR,Healthcare,Drug Manufacturers—General,"4,303"
84,AGS.MI,Milan,Belgium,EUR,Financial Services,Insurance—Diversified,"10,101"
85,LHA.MI,Milan,Germany,EUR,Industrials,Airlines,"70,844"
86,AMP.MI,Milan,Italy,EUR,Healthcare,Medical Instruments & Supplies,"12,587"
87,FBK.MI,Milan,Italy,EUR,Financial Services,Banks—Regional,"1,305"
88,MB.MI,Milan,Italy,EUR,Financial Services,Banks—Regional,"4,973"
89,EDNR.MI,Milan,Italy,EUR,Utilities,Utilities—Regulated Electric,"4,918"
90,PRY.MI,Milan,Italy,EUR,Industrials,Electrical Equipment & Parts,"29,763"
91,US.MI,Milan,Italy,EUR,Financial Services,Insurance—Diversified,"11,410"
92,CVO.MI,Milan,France,EUR,Real Estate,REIT—Diversified,984
93,DIA.MI,Milan,Italy,EUR,Healthcare,Diagnostics & Research,"3,313"
94,RNO.MI,Milan,France,EUR,Consumer Cyclical,Auto Manufacturers,"160,000"
95,SDF.MI,Milan,Germany,EUR,Basic Materials,Agricultural Inputs,"10,711"
96,TITR.MI,Milan,Italy,EUR,Communication Services,Telecom Services,"51,913"
97,TIT.MI,Milan,Italy,EUR,Communication Services,Telecom Services,"51,913"
98,LDO.MI,Milan,Italy,EUR,Industrials,Aerospace & Defense,"48,587"
99,BMED.MI,Milan,Italy,EUR,Financial Services,Banks—Regional,"3,318"
100,HER.MI,Milan,Italy,EUR,Utilities,Utilities—Diversified,"9,122"
101,REY.MI,Milan,Italy,EUR,Technology,Information Technology Services,"10,579"
102,IG.MI,Milan,Italy,EUR,Utilities,Utilities—Regulated Gas,"3,586"
103,A2A.MI,Milan,Italy,EUR,Utilities,Utilities—Diversified,
104,ERG.MI,Milan,Italy,EUR,Utilities,Utilities—Renewable,808
105,PIRC.MI,Milan,Italy,EUR,Consumer Cyclical,Auto Parts,"29,023"
106,BAMI.MI,Milan,Italy,EUR,Financial Services,Banks—Regional,"16,546"
107,TKA.MI,Milan,Germany,EUR,Industrials,Metal Fabrication,"100,386"
108,TPRO.MI,Milan,Italy,EUR,Technology,Semiconductors,
109,IP.MI,Milan,Italy,EUR,Industrials,Specialty Industrial Machinery,"7,721"
110,UNI.MI,Milan,Italy,EUR,Financial Services,Insurance—Diversified,"9,935"
111,BGN.MI,Milan,Italy,EUR,Financial Services,Banks—Regional,930
112,TRIP.MI,Milan,United States,EUR,Consumer Cyclical,Travel Services,"2,691"
113,ACE.MI,Milan,Italy,EUR,Utilities,Utilities—Diversified,"9,348"
114,DLG.MI,Milan,Italy,EUR,Consumer Cyclical,"Furnishings, Fixtures & Appliances","9,100"
115,EO.MI,Milan,France,EUR,Consumer Cyclical,Auto Parts,"111,140"
116,BC.MI,Milan,Italy,EUR,Consumer Cyclical,Luxury Goods,"2,160"
117,BZU.MI,Milan,Italy,EUR,Basic Materials,Building Materials,"9,664"
118,BB.MI,Milan,Switzerland,EUR,Healthcare,Biotechnology,10
119,BRE.MI,Milan,Italy,EUR,Consumer Cyclical,Auto Parts,"12,225"
120,IRE.MI,Milan,Italy,EUR,Utilities,Utilities—Diversified,"8,680"
121,FKR.MI,Milan,Italy,EUR,Utilities,Utilities—Renewable,693
122,AZM.MI,Milan,Italy,EUR,Financial Services,Asset Management,
123,AGL.MI,Milan,Italy,EUR,Consumer Cyclical,Restaurants,"23,468"
124,SFER.MI,Milan,Italy,EUR,Consumer Cyclical,Luxury Goods,"3,559"
125,ENAV.MI,Milan,Italy,EUR,Industrials,Airports & Air Services,"4,216"
126,CRL.MI,Milan,Italy,EUR,Technology,Electronic Components,"1,865"
127,BPE.MI,Milan,Italy,EUR,Financial Services,Banks—Regional,"18,128"
128,SES.MI,Milan,Italy,EUR,Technology,Information Technology Services,"3,878"
129,CE.MI,Milan,Italy,EUR,Financial Services,Banks—Regional,"6,196"
130,BPSO.MI,Milan,Italy,EUR,Financial Services,Banks—Regional,"3,395"
131,WBDR.MI,Milan,Italy,EUR,Industrials,Engineering & Construction,"25,254"
132,WBD.MI,Milan,Italy,EUR,Industrials,Engineering & Construction,"25,254"
133,ARN.MI,Milan,Italy,EUR,Utilities,Utilities—Renewable,
134,IVG.MI,Milan,Italy,EUR,Industrials,Farm & Heavy Construction Machinery,
135,ANIM.MI,Milan,Italy,EUR,Financial Services,Asset Management,319
136,RWAY.MI,Milan,Italy,EUR,Industrials,Engineering & Construction,580
137,TIP.MI,Milan,Italy,EUR,Financial Services,Capital Markets,12
138,TGYM.MI,Milan,Italy,EUR,Consumer Cyclical,Leisure,"2,155"
139,SOL.MI,Milan,Italy,EUR,Basic Materials,Chemicals,"4,786"
140,CASS.MI,Milan,Italy,EUR,Financial Services,Insurance—Diversified,"1,740"
141,GVS.MI,Milan,Italy,EUR,Industrials,Pollution & Treatment Controls,"3,077"
142,ICOS.MI,Milan,Italy,EUR,Consumer Defensive,Household & Personal Products,"3,433"
143,TOD.MI,Milan,Italy,EUR,Consumer Cyclical,Footwear & Accessories,"4,451"
