,tick,exchange,country_name,currency,sector,industry,fulltime_employees
0,7203.T,Tokyo,Japan,JPY,Consumer Cyclical,Auto Manufacturers,"371,365"
1,6758.T,Tokyo,Japan,JPY,Technology,Consumer Electronics,"109,700"
2,9432.T,Tokyo,Japan,JPY,Communication Services,Telecom Services,"324,667"
3,6861.T,Tokyo,Japan,JPY,Technology,Scientific & Technical Instruments,"8,380"
4,8306.T,Tokyo,Japan,JPY,Financial Services,Banks—Diversified,"132,700"
5,9433.T,Tokyo,Japan,JPY,Communication Services,Telecom Services,"47,320"
6,9984.T,Tokyo,Japan,JPY,Communication Services,Telecom Services,"58,786"
7,8035.T,Tokyo,Japan,JPY,Technology,Semiconductor Equipment & Materials,"14,479"
8,6098.T,Tokyo,Japan,JPY,Industrials,Staffing & Employment Services,"46,800"
9,7974.T,Tokyo,Japan,JPY,Communication Services,Electronic Gaming & Multimedia,"6,574"
10,4661.T,Tokyo,Japan,JPY,Consumer Cyclical,Leisure,"8,782"
11,4063.T,Tokyo,Japan,JPY,Basic Materials,Chemicals,"24,629"
12,9434.T,Tokyo,Japan,JPY,Communication Services,Telecom Services,
13,4519.T,Tokyo,Japan,JPY,Healthcare,Drug Manufacturers—General,"7,664"
14,9983.T,Tokyo,Japan,JPY,Consumer Cyclical,Apparel Retail,"55,589"
15,8058.T,Tokyo,Japan,JPY,Industrials,Conglomerates,
16,6367.T,Tokyo,Japan,JPY,Industrials,Building Products & Equipment,"84,870"
17,6501.T,Tokyo,Japan,JPY,Industrials,Conglomerates,"350,864"
18,8001.T,Tokyo,Japan,JPY,Industrials,Conglomerates,"125,944"
19,4502.T,Tokyo,Japan,JPY,Healthcare,Drug Manufacturers—Specialty & Generic,"47,099"
20,6902.T,Tokyo,Japan,JPY,Consumer Cyclical,Auto Parts,"168,391"
21,7267.T,Tokyo,Japan,JPY,Consumer Cyclical,Auto Manufacturers,"211,374"
22,8316.T,Tokyo,Japan,JPY,Financial Services,Banks—Diversified,"86,800"
23,8031.T,Tokyo,Japan,JPY,Industrials,Conglomerates,"44,509"
24,6594.T,Tokyo,Japan,JPY,Industrials,Specialty Industrial Machinery,758
25,4568.T,Tokyo,Japan,JPY,Healthcare,Drug Manufacturers—General,"16,033"
26,3382.T,Tokyo,Japan,JPY,Consumer Defensive,Grocery Stores,"58,975"
27,6981.T,Tokyo,Japan,JPY,Technology,Electronic Components,"77,398"
