,tick,exchange,country_name,currency,sector,industry,fulltime_employees
0,GZE1R.RG,Riga,Latvia,EUR,Utilities,Utilities—Regulated Gas,"1,011"
1,MDARA.RG,Riga,Latvia,EUR,Consumer Defensive,Household & Personal Products,184
2,BAL1R.RG,Riga,Latvia,EUR,Consumer Defensive,Beverages—Wineries & Distilleries,
3,VIRSI.RG,Riga,Latvia,EUR,Consumer Cyclical,Specialty Retail,640
4,DGR1R.RG,Riga,Latvia,EUR,Financial Services,Credit Services,301
5,SAF1R.RG,Riga,Latvia,EUR,Technology,Communication Equipment,258
6,HMX1R.RG,Riga,Latvia,EUR,Industrials,Conglomerates,
7,VEF1R.RG,Riga,Latvia,EUR,Real Estate,Real Estate Services,15
8,LJM1R.RG,Riga,Latvia,EUR,Healthcare,Medical Care Facilities,352
9,SCM1R.RG,Riga,Latvia,EUR,Consumer Defensive,Farm Products,32
10,DPK1R.RG,Riga,Latvia,EUR,Consumer Cyclical,Auto Parts,130
11,RKB1R.RG,Riga,Latvia,EUR,Industrials,Aerospace & Defense,51
12,K2LT.RG,Riga,Latvia,EUR,,,
13,SAUNA.RG,Riga,Latvia,EUR,,,
14,AIR.RG,Riga,Latvia,EUR,,,
15,ROBUS.RG,Riga,Latvia,EUR,,,
16,EWA1L.RG,Riga,Latvia,EUR,,,
17,LINDA.RG,Riga,Latvia,EUR,,,
18,HAGEN.RG,Riga,Latvia,EUR,,,
19,MODE.RG,Riga,Latvia,EUR,,,
20,MAGIC.RG,Riga,Latvia,EUR,,,
21,NEOFI.RG,Riga,Latvia,EUR,,,
22,ELMO.RG,Riga,Latvia,EUR,,,
23,BERCM.RG,Riga,Latvia,EUR,,,
