,tick,exchange,country_name,currency,sector,industry,fulltime_employees
0,IGN1L.VS,Vilnius,Lithuania,EUR,Utilities,Utilities—Diversified,"3,884"
1,TEL1L.VS,Vilnius,Lithuania,EUR,Communication Services,Telecom Services,"1,964"
2,LGD1L.VS,Vilnius,Lithuania,EUR,Utilities,Utilities—Regulated Electric,335
3,SAB1L.VS,Vilnius,Lithuania,EUR,Financial Services,Banks—Regional,882
4,AMG1L.VS,Vilnius,Lithuania,EUR,Utilities,Utilities—Regulated Gas,324
5,LNA1L.VS,Vilnius,Lithuania,EUR,Consumer Defensive,Farm Products,"5,398"
6,IVL1L.VS,Vilnius,Lithuania,EUR,Financial Services,Asset Management,442
7,APG1L.VS,Vilnius,Lithuania,EUR,Consumer Cyclical,Apparel Retail,"1,992"
8,GRG1L.VS,Vilnius,Lithuania,EUR,Basic Materials,Paper & Paper Products,833
9,KNF1L.VS,Vilnius,Lithuania,EUR,Energy,Oil & Gas Refining & Marketing,388
10,AUG1L.VS,Vilnius,Lithuania,EUR,Consumer Defensive,Farm Products,
11,RSU1L.VS,Vilnius,Lithuania,EUR,Consumer Defensive,Packaged Foods,"1,400"
12,ZMP1L.VS,Vilnius,Lithuania,EUR,Consumer Defensive,Packaged Foods,"1,249"
13,PZV1L.VS,Vilnius,Lithuania,EUR,Consumer Defensive,Packaged Foods,
14,VLP1L.VS,Vilnius,Lithuania,EUR,Consumer Defensive,Packaged Foods,867
15,KNR1L.VS,Vilnius,Lithuania,EUR,Utilities,Utilities—Regulated Electric,380
16,VBL1L.VS,Vilnius,Lithuania,EUR,Consumer Cyclical,"Furnishings, Fixtures & Appliances",923
17,INC1L.VS,Vilnius,Lithuania,EUR,Financial Services,Asset Management,
18,NTU1L.VS,Vilnius,Lithuania,EUR,Consumer Cyclical,Travel Services,168
19,INL1L.VS,Vilnius,Lithuania,EUR,Real Estate,Real Estate Services,2
20,INR1L.VS,Vilnius,Lithuania,EUR,Real Estate,Real Estate Services,9
21,PTR1L.VS,Vilnius,Lithuania,EUR,Industrials,Engineering & Construction,868
22,SNG1L.VS,Vilnius,Lithuania,EUR,Technology,Consumer Electronics,539
23,UTR1L.VS,Vilnius,Lithuania,EUR,Consumer Cyclical,Apparel Manufacturing,"1,022"
24,LNS1L.VS,Vilnius,Lithuania,EUR,Consumer Cyclical,Textile Manufacturing,120
