,tick,exchange,country_name,currency,sector,industry,fulltime_employees
0,8443.KL,Kuala,Mexico,MYR,,,
1,7178.KL,Kuala,Mexico,MYR,,,
2,8761.KL,Kuala,Mexico,MYR,,,
3,0074.KL,Kuala,Mexico,MYR,,,
4,6602.KL,Kuala,Mexico,MYR,,,
5,0823EA.KL,Kuala,Mexico,MYR,,,
6,8613.KL,Kuala,Mexico,MYR,,,
7,5142.KL,Kuala,Mexico,MYR,,,
8,5071.KL,Kuala,Mexico,MYR,,,
9,5188.KL,Kuala,Mexico,MYR,,,
10,0172.KL,Kuala,Mexico,MYR,,,
11,5088.KL,Kuala,Mexico,MYR,,,
12,7197.KL,Kuala,Mexico,MYR,,,
13,5198.KL,Kuala,Mexico,MYR,,,
14,2607.KL,Kuala,Mexico,MYR,,,
15,5192.KL,Kuala,Mexico,MYR,,,
16,0219.KL,Kuala,Mexico,MYR,,,
17,5211PA.KL,Kuala,Mexico,MYR,,,
18,7085.KL,Kuala,Mexico,MYR,,,
19,0119.KL,Kuala,Mexico,MYR,,,
20,5136.KL,Kuala,Mexico,MYR,,,
21,5075.KL,Kuala,Mexico,MYR,,,
22,0092.KL,Kuala,Mexico,MYR,,,
23,7412.KL,Kuala,Mexico,MYR,,,
24,5107.KL,Kuala,Mexico,MYR,,,
25,9717.KL,Kuala,Mexico,MYR,,,
26,5015.KL,Kuala,Mexico,MYR,,,
27,5010.KL,Kuala,Mexico,MYR,,,
28,7219.KL,Kuala,Mexico,MYR,,,
29,5166.KL,Kuala,Mexico,MYR,,,
30,5295.KL,Kuala,Mexico,MYR,,,
31,9008PB.KL,Kuala,Mexico,MYR,,,
32,7544.KL,Kuala,Mexico,MYR,,,
33,0238.KL,Kuala,Mexico,MYR,,,
34,3476.KL,Kuala,Mexico,MYR,,,
35,9237.KL,Kuala,Mexico,MYR,,,
36,0140.KL,Kuala,Mexico,MYR,,,
37,0095.KL,Kuala,Mexico,MYR,,,
38,0126.KL,Kuala,Mexico,MYR,,,
39,0132.KL,Kuala,Mexico,MYR,,,
40,0189.KL,Kuala,Mexico,MYR,,,
41,0209.KL,Kuala,Mexico,MYR,,,
42,5271.KL,Kuala,Mexico,MYR,,,
43,1147.KL,Kuala,Mexico,MYR,,,
44,8419.KL,Kuala,Mexico,MYR,,,
45,7191.KL,Kuala,Mexico,MYR,,,
46,0112.KL,Kuala,Mexico,MYR,,,
47,0079.KL,Kuala,Mexico,MYR,,,
48,5576.KL,Kuala,Mexico,MYR,,,
49,0175.KL,Kuala,Mexico,MYR,,,
50,5120.KL,Kuala,Mexico,MYR,,,
51,5178.KL,Kuala,Mexico,MYR,,,
52,0008.KL,Kuala,Mexico,MYR,,,
53,2186.KL,Kuala,Mexico,MYR,,,
54,8966.KL,Kuala,Mexico,MYR,,,
55,7315.KL,Kuala,Mexico,MYR,,,
56,7692.KL,Kuala,Mexico,MYR,,,
57,0236.KL,Kuala,Mexico,MYR,,,
58,0240.KL,Kuala,Mexico,MYR,,,
59,0145.KL,Kuala,Mexico,MYR,,,
60,5133.KL,Kuala,Mexico,MYR,,,
61,7241.KL,Kuala,Mexico,MYR,,,
62,0828EA.KL,Kuala,Mexico,MYR,,,
63,0103PA.KL,Kuala,Mexico,MYR,,,
64,0179PA.KL,Kuala,Mexico,MYR,,,
65,7176.KL,Kuala,Mexico,MYR,,,
66,0041PA.KL,Kuala,Mexico,MYR,,,
67,0058.KL,Kuala,Mexico,MYR,,,
68,7010.KL,Kuala,Mexico,MYR,,,
69,0191.KL,Kuala,Mexico,MYR,,,
70,2984.KL,Kuala,Mexico,MYR,,,
71,5622.KL,Kuala,Mexico,MYR,,,
72,0237.KL,Kuala,Mexico,MYR,,,
73,7055.KL,Kuala,Mexico,MYR,,,
74,8117PA.KL,Kuala,Mexico,MYR,,,
75,7105.KL,Kuala,Mexico,MYR,,,
76,0213.KL,Kuala,Mexico,MYR,,,
77,0838EA.KL,Kuala,Mexico,MYR,,,
78,3794.KL,Kuala,Mexico,MYR,,,
79,7227.KL,Kuala,Mexico,MYR,,,
80,6262.KL,Kuala,Mexico,MYR,,,
81,7252.KL,Kuala,Mexico,MYR,,,
82,7115.KL,Kuala,Mexico,MYR,,,
83,8273.KL,Kuala,Mexico,MYR,,,
84,5082.KL,Kuala,Mexico,MYR,,,
85,0136.KL,Kuala,Mexico,MYR,,,
86,3255.KL,Kuala,Mexico,MYR,,,
87,5126.KL,Kuala,Mexico,MYR,,,
88,0820EA.KL,Kuala,Mexico,MYR,,,
89,7439.KL,Kuala,Mexico,MYR,,,
90,2038.KL,Kuala,Mexico,MYR,,,
91,5274.KL,Kuala,Mexico,MYR,,,
92,7285.KL,Kuala,Mexico,MYR,,,
93,6432.KL,Kuala,Mexico,MYR,,,
94,5012.KL,Kuala,Mexico,MYR,,,
95,5211.KL,Kuala,Mexico,MYR,,,
96,5819.KL,Kuala,Mexico,MYR,,,
97,8869.KL,Kuala,Mexico,MYR,,,
98,0036.KL,Kuala,Mexico,MYR,,,
99,0143.KL,Kuala,Mexico,MYR,,,
100,7235.KL,Kuala,Mexico,MYR,,,
101,7036.KL,Kuala,Mexico,MYR,,,
102,0200.KL,Kuala,Mexico,MYR,,,
103,5031.KL,Kuala,Mexico,MYR,,,
104,0222.KL,Kuala,Mexico,MYR,,,
105,0083.KL,Kuala,Mexico,MYR,,,
106,5236.KL,Kuala,Mexico,MYR,,,
107,0099.KL,Kuala,Mexico,MYR,,,
108,7205.KL,Kuala,Mexico,MYR,,,
109,7248.KL,Kuala,Mexico,MYR,,,
110,0128.KL,Kuala,Mexico,MYR,,,
111,5007.KL,Kuala,Mexico,MYR,,,
112,5401.KL,Kuala,Mexico,MYR,,,
113,0018.KL,Kuala,Mexico,MYR,,,
114,3336.KL,Kuala,Mexico,MYR,,,
115,7207.KL,Kuala,Mexico,MYR,,,
116,5080.KL,Kuala,Mexico,MYR,,,
117,2054.KL,Kuala,Mexico,MYR,,,
118,0021.KL,Kuala,Mexico,MYR,,,
119,0215.KL,Kuala,Mexico,MYR,,,
120,7237.KL,Kuala,Mexico,MYR,,,
121,9776.KL,Kuala,Mexico,MYR,,,
122,7086.KL,Kuala,Mexico,MYR,,,
123,5145.KL,Kuala,Mexico,MYR,,,
