,tick,exchange,country_name,currency,sector,industry,fulltime_employees
0,ASML.AS,Amsterdam,Netherlands,EUR,Technology,Semiconductor Equipment & Materials,"29,861"
1,SHELL.AS,Amsterdam,United Kingdom,EUR,Energy,Oil & Gas Integrated,"82,000"
2,PRX.AS,Amsterdam,Netherlands,EUR,Communication Services,Internet Content & Information,"23,939"
3,UNA.AS,Amsterdam,United Kingdom,EUR,Consumer Defensive,Household & Personal Products,"148,012"
4,REN.AS,Amsterdam,United Kingdom,EUR,Communication Services,Publishing,"33,500"
5,HEIA.AS,Amsterdam,Netherlands,EUR,Consumer Defensive,Beverages—Brewers,"81,070"
6,ADYEN.AS,Amsterdam,Netherlands,EUR,Technology,Software—Infrastructure,"2,180"
7,UMG.AS,Amsterdam,Netherlands,EUR,Communication Services,Entertainment,"9,215"
8,INGA.AS,Amsterdam,Netherlands,EUR,Financial Services,Banks—Diversified,"57,000"
9,AD.AS,Amsterdam,Netherlands,EUR,Consumer Defensive,Grocery Stores,"144,550"
10,MT.AS,Amsterdam,Luxembourg,EUR,Basic Materials,Steel,"158,000"
11,DSM.AS,Amsterdam,Netherlands,EUR,Basic Materials,Specialty Chemicals,"21,358"
12,WKL.AS,Amsterdam,Netherlands,EUR,Industrials,Specialty Business Services,"19,454"
13,PHIA.AS,Amsterdam,Netherlands,EUR,Healthcare,Medical Devices,"78,189"
14,CCEP.AS,Amsterdam,United Kingdom,EUR,Consumer Defensive,Beverages—Non-Alcoholic,"22,000"
15,HEIO.AS,Amsterdam,Netherlands,EUR,Consumer Defensive,Beverages—Brewers,"82,257"
16,ASM.AS,Amsterdam,Netherlands,EUR,Technology,Semiconductor Equipment & Materials,"3,312"
17,AKZA.AS,Amsterdam,Netherlands,EUR,Basic Materials,Specialty Chemicals,"32,800"
18,NN.AS,Amsterdam,Netherlands,EUR,Financial Services,Insurance—Diversified,"11,871"
19,JDEP.AS,Amsterdam,Netherlands,EUR,Consumer Defensive,Packaged Foods,"19,000"
20,KPN.AS,Amsterdam,Netherlands,EUR,Communication Services,Telecom Services,"7,364"
21,HAL.AS,Amsterdam,Netherlands,EUR,Financial Services,Asset Management,"23,673"
22,AGN.AS,Amsterdam,Netherlands,EUR,Financial Services,Insurance—Diversified,"17,936"
23,ABN.AS,Amsterdam,Netherlands,EUR,Financial Services,Banks—Diversified,"19,957"
24,URW.AS,Amsterdam,France,EUR,Real Estate,REIT—Retail,"2,678"
25,RAND.AS,Amsterdam,Netherlands,EUR,Industrials,Staffing & Employment Services,"39,530"
26,IMCD.AS,Amsterdam,Netherlands,EUR,Basic Materials,Specialty Chemicals,"3,740"
27,OCI.AS,Amsterdam,Netherlands,EUR,Basic Materials,Specialty Chemicals,"3,779"
28,PSH.AS,Amsterdam,United States,USD,Financial Services,Asset Management,
29,CTPNV.AS,Amsterdam,Netherlands,EUR,Real Estate,Real Estate—Development,520
30,ASRNL.AS,Amsterdam,Netherlands,EUR,Financial Services,Insurance—Diversified,"4,155"
31,HDG.AS,Amsterdam,Netherlands,EUR,Consumer Cyclical,"Furnishings, Fixtures & Appliances","23,000"
32,ALLFG.AS,Amsterdam,United Kingdom,EUR,Financial Services,Asset Management,765
33,TKWY.AS,Amsterdam,Netherlands,EUR,Consumer Cyclical,Internet Retail,"20,000"
34,AALB.AS,Amsterdam,Netherlands,EUR,Industrials,Specialty Industrial Machinery,"14,402"
