,tick,exchange,country_name,currency,sector,industry,fulltime_employees
0,WBC.NZ,NZSE,Australia,NZD,Financial Services,Banks—Diversified,"40,143"
1,ANZ.NZ,NZSE,Australia,NZD,Financial Services,Banks—Diversified,"39,684"
2,FPH.NZ,NZSE,New Zealand,NZD,Healthcare,Medical Instruments & Supplies,"5,788"
3,MEL.NZ,NZSE,New Zealand,NZD,Utilities,Utilities—Renewable,"1,001"
4,AIA.NZ,NZSE,New Zealand,NZD,Industrials,Airports & Air Services,441
5,AFI.NZ,NZSE,Australia,NZD,Financial Services,Asset Management,
6,SPK.NZ,NZSE,New Zealand,NZD,Communication Services,Telecom Services,"4,921"
7,FCT.NZ,NZSE,United States,NZD,,,
8,EBO.NZ,NZSE,Australia,NZD,Healthcare,Medical Distribution,"2,677"
9,MFT.NZ,NZSE,New Zealand,NZD,Industrials,Integrated Freight & Logistics,"9,240"
10,MCY.NZ,NZSE,New Zealand,NZD,Utilities,Utilities—Renewable,752
11,CEN.NZ,NZSE,New Zealand,NZD,Utilities,Utilities—Renewable,834
12,IFT.NZ,NZSE,New Zealand,NZD,Utilities,Utilities—Renewable,
13,FBU.NZ,NZSE,New Zealand,NZD,Basic Materials,Building Materials,"14,500"
14,FCG.NZ,NZSE,New Zealand,NZD,Consumer Defensive,Farm Products,"19,354"
15,RYM.NZ,NZSE,New Zealand,NZD,Healthcare,Medical Care Facilities,"6,400"
16,POT.NZ,NZSE,New Zealand,NZD,Industrials,Marine Shipping,243
17,VCT.NZ,NZSE,New Zealand,NZD,Utilities,Utilities—Diversified,600
18,ATM.NZ,NZSE,New Zealand,NZD,Consumer Defensive,Farm Products,335
19,TCL.NZ,NZSE,United Kingdom,NZD,,,
20,CNU.NZ,NZSE,New Zealand,NZD,Communication Services,Telecom Services,797
21,GMT.NZ,NZSE,New Zealand,NZD,Real Estate,REIT—Industrial,
22,GNE.NZ,NZSE,New Zealand,NZD,Utilities,Utilities—Independent Power Producers,"1,149"
23,VNT.NZ,NZSE,Australia,NZD,Industrials,Infrastructure Operations,"15,000"
24,SUM.NZ,NZSE,New Zealand,NZD,Healthcare,Medical Care Facilities,"2,131"
25,PCT.NZ,NZSE,New Zealand,NZD,Real Estate,REIT—Diversified,
26,SKC.NZ,NZSE,New Zealand,NZD,Consumer Cyclical,Resorts & Casinos,"3,784"
