,tick,exchange,country_name,currency,sector,industry,fulltime_employees
0,EQNR.OL,Oslo,Norway,NOK,Energy,Oil & Gas Integrated,"21,126"
1,DNB.OL,Oslo,Norway,NOK,Financial Services,Banks—Regional,"9,410"
2,TEL.OL,Oslo,Norway,NOK,Communication Services,Telecom Services,"16,000"
3,NHY.OL,Oslo,Norway,NOK,Basic Materials,Aluminum,"31,264"
4,MOWI.OL,Oslo,Norway,NOK,Consumer Defensive,Farm Products,"10,484"
5,AKRBP.OL,Oslo,Norway,NOK,Energy,Oil & Gas E&P,"1,773"
6,YAR.OL,Oslo,Norway,NOK,Basic Materials,Agricultural Inputs,"17,800"
7,GJF.OL,Oslo,Norway,NOK,Financial Services,Insurance—Diversified,"3,710"
8,VAR.OL,Oslo,Norway,NOK,Energy,Oil & Gas E&P,938
9,SALM.OL,Oslo,Norway,NOK,Consumer Defensive,Farm Products,
10,AUTO.OL,Oslo,Norway,NOK,Technology,Software—Infrastructure,585
11,ADE.OL,Oslo,Norway,NOK,Communication Services,Internet Content & Information,
12,ORK.OL,Oslo,Norway,NOK,Consumer Defensive,Packaged Foods,"21,423"
13,KOG.OL,Oslo,Norway,NOK,Industrials,Aerospace & Defense,"10,810"
14,TOM.OL,Oslo,Norway,NOK,Industrials,Waste Management,"4,610"
15,AKER.OL,Oslo,Norway,NOK,Industrials,Conglomerates,"1,605"
16,LSG.OL,Oslo,Norway,NOK,Consumer Defensive,Packaged Foods,"5,500"
17,SCHA.OL,Oslo,Norway,NOK,Communication Services,Publishing,"5,689"
18,SCHB.OL,Oslo,Norway,NOK,Communication Services,Publishing,"5,689"
19,STB.OL,Oslo,Norway,NOK,Financial Services,Financial Conglomerates,"1,914"
20,BAKKA.OL,Oslo,Denmark,NOK,Consumer Defensive,Farm Products,"1,571"
21,SRBNK.OL,Oslo,Norway,NOK,Financial Services,Banks—Regional,"1,505"
22,NOD.OL,Oslo,Norway,NOK,Technology,Semiconductors,"1,146"
23,ENTRA.OL,Oslo,Norway,NOK,Real Estate,REIT—Office,177
24,AUSS.OL,Oslo,Norway,NOK,Consumer Defensive,Farm Products,
25,TIETO.OL,Oslo,Finland,NOK,Technology,Information Technology Services,"24,389"
26,ELK.OL,Oslo,Norway,NOK,Basic Materials,Specialty Chemicals,"7,074"
27,WAWI.OL,Oslo,Norway,NOK,Industrials,Integrated Freight & Logistics,"8,283"
28,SUBC.OL,Oslo,Luxembourg,NOK,Energy,Oil & Gas Equipment & Services,
29,NEL.OL,Oslo,Norway,NOK,Industrials,Specialty Industrial Machinery,500
30,AFK.OL,Oslo,Norway,NOK,Industrials,Conglomerates,"2,200"
31,SCATC.OL,Oslo,Norway,NOK,Utilities,Utilities—Renewable,622
32,AFG.OL,Oslo,Norway,NOK,Industrials,Engineering & Construction,"5,413"
33,OLT.OL,Oslo,Norway,NOK,Real Estate,Real Estate Services,
34,MING.OL,Oslo,Norway,NOK,Financial Services,Banks—Regional,"1,482"
35,BRG.OL,Oslo,Norway,NOK,Basic Materials,Specialty Chemicals,"1,072"
36,GOGL.OL,Oslo,Bermuda,NOK,Industrials,Marine Shipping,37
