,tick,exchange,country_name,currency,sector,industry,fulltime_employees
0,SAN.WA,Warsaw,Spain,PLN,Financial Services,Banks—Diversified,"177,033"
1,CEZ.WA,Warsaw,Spain,PLN,Utilities,Utilities—Renewable,"28,000"
2,UCG.WA,Warsaw,Italy,PLN,Financial Services,Banks—Regional,"78,571"
3,PKO.WA,Warsaw,Poland,PLN,Financial Services,Banks—Regional,
4,PGN.WA,Warsaw,Poland,PLN,Energy,Oil & Gas Integrated,"24,531"
5,PKN.WA,Warsaw,Poland,PLN,Energy,Oil & Gas Integrated,"35,424"
6,DNP.WA,Warsaw,Poland,PLN,Consumer Defensive,Grocery Stores,"32,426"
7,KGH.WA,Warsaw,Poland,PLN,Basic Materials,Copper,
8,SPL.WA,Warsaw,Poland,PLN,Financial Services,Banks—Regional,
9,MOL.WA,Warsaw,Hungary,PLN,Energy,Oil & Gas Integrated,"24,291"
10,PEO.WA,Warsaw,Poland,PLN,Financial Services,Banks—Regional,"14,702"
11,ING.WA,Warsaw,Poland,PLN,Financial Services,Banks—Regional,"8,643"
12,ALE.WA,Warsaw,Luxembourg,PLN,Consumer Cyclical,Internet Retail,"3,613"
13,PCO.WA,Warsaw,United Kingdom,PLN,Consumer Defensive,Discount Stores,"42,045"
14,LPP.WA,Warsaw,Poland,PLN,Consumer Cyclical,Apparel Manufacturing,"22,000"
15,PZU.WA,Warsaw,Poland,PLN,Financial Services,Insurance—Property & Casualty,"37,391"
16,PGE.WA,Warsaw,Poland,PLN,Utilities,Utilities—Regulated Electric,"38,001"
17,CPS.WA,Warsaw,Poland,PLN,Communication Services,Entertainment,"7,498"
18,MBK.WA,Warsaw,Poland,PLN,Financial Services,Banks—Regional,"6,738"
19,LTS.WA,Warsaw,Poland,PLN,Energy,Oil & Gas Integrated,"5,416"
20,CDR.WA,Warsaw,Poland,PLN,Communication Services,Electronic Gaming & Multimedia,"1,177"
21,KRK.WA,Warsaw,Slovenia,PLN,Healthcare,Drug Manufacturers—Specialty & Generic,"10,245"
22,BNP.WA,Warsaw,Poland,PLN,Financial Services,Banks—Regional,"8,667"
23,OPL.WA,Warsaw,Poland,PLN,Communication Services,Telecom Services,"10,087"
24,BHW.WA,Warsaw,Poland,PLN,Financial Services,Banks—Regional,"2,903"
