,tick,exchange,country_name,currency,sector,industry,fulltime_employees
0,EDPR.LS,Lisbon,Spain,EUR,Utilities,Utilities—Renewable,"2,114"
1,EDP.LS,Lisbon,Portugal,EUR,Utilities,Utilities—Diversified,"12,236"
2,JMT.LS,Lisbon,Portugal,EUR,Consumer Defensive,Food Distribution,"104,392"
3,GALP.LS,Lisbon,Portugal,EUR,Energy,Oil & Gas Integrated,"6,152"
4,MRL.LS,Lisbon,Spain,EUR,Real Estate,REIT—Diversified,239
5,NVG.LS,Lisbon,Portugal,EUR,Basic Materials,Paper & Paper Products,
6,BCP.LS,Lisbon,Portugal,EUR,Financial Services,Banks—Regional,"15,868"
7,NOS.LS,Lisbon,Portugal,EUR,Communication Services,Telecom Services,"2,348"
8,SON.LS,Lisbon,Portugal,EUR,Consumer Cyclical,Department Stores,"36,294"
9,RENE.LS,Lisbon,Portugal,EUR,Utilities,Utilities—Diversified,697
10,ALTR.LS,Lisbon,Portugal,EUR,Basic Materials,Paper & Paper Products,774
11,COR.LS,Lisbon,Portugal,EUR,Basic Materials,Lumber & Wood Production,
12,SEM.LS,Lisbon,Portugal,EUR,Basic Materials,Paper & Paper Products,"5,823"
13,GVOLT.LS,Lisbon,Portugal,EUR,Utilities,Utilities—Renewable,165
14,CTT.LS,Lisbon,Portugal,EUR,Industrials,Integrated Freight & Logistics,"11,283"
15,SNC.LS,Lisbon,Portugal,EUR,Technology,Information Technology Services,861
16,EGL.LS,Lisbon,Portugal,EUR,Industrials,Engineering & Construction,"18,634"
17,IBS.LS,Lisbon,Portugal,EUR,Consumer Cyclical,Restaurants,"9,198"
18,RAM.LS,Lisbon,Portugal,EUR,Basic Materials,Steel,438
19,NBA.LS,Lisbon,Portugal,EUR,Technology,Information Technology Services,"1,866"
20,VAF.LS,Lisbon,Portugal,EUR,Consumer Cyclical,"Furnishings, Fixtures & Appliances","2,460"
21,MAR.LS,Lisbon,Portugal,EUR,Industrials,Engineering & Construction,"1,440"
22,MCP.LS,Lisbon,Portugal,EUR,Communication Services,Entertainment,"1,100"
23,SLBEN.LS,Lisbon,Portugal,EUR,Communication Services,Entertainment,285
24,PHR.LS,Lisbon,Portugal,EUR,Communication Services,Telecom Services,7
25,ESON.LS,Lisbon,Portugal,EUR,Consumer Cyclical,Resorts & Casinos,940
26,SCP.LS,Lisbon,Portugal,EUR,Communication Services,Entertainment,531
27,CDU.LS,Lisbon,Portugal,EUR,Industrials,Engineering & Construction,"2,300"
28,TDSA.LS,Lisbon,Portugal,EUR,Industrials,Engineering & Construction,"9,529"
29,IPR.LS,Lisbon,Portugal,EUR,Communication Services,Broadcasting,845
30,CFN.LS,Lisbon,Portugal,EUR,Communication Services,Publishing,679
31,MLFMV.LS,Lisbon,Portugal,EUR,Industrials,Conglomerates,"1,912"
32,FCP.LS,Lisbon,Portugal,EUR,Communication Services,Entertainment,498
33,GLINT.LS,Lisbon,Portugal,EUR,Technology,Information Technology Services,"1,100"
34,INA.LS,Lisbon,Portugal,EUR,Basic Materials,Paper & Paper Products,"1,709"
35,MLRZE.LS,Lisbon,Portugal,EUR,Financial Services,Credit Services,11
36,LIG.LS,Lisbon,Portugal,EUR,Industrials,Specialty Business Services,123
37,RED.LS,Lisbon,Portugal,EUR,Technology,Information Technology Services,720
38,BFCPS.LS,Lisbon,Portugal,EUR,,,
39,BSLBC.LS,Lisbon,Portugal,EUR,,,
40,OTRVE.LS,Lisbon,Portugal,EUR,,,
41,OTEW.LS,Lisbon,Portugal,EUR,,,
42,BFNI1.LS,Lisbon,Portugal,EUR,,,
43,BSLBB.LS,Lisbon,Portugal,EUR,,,
44,BCNSD.LS,Lisbon,Portugal,EUR,,,
45,BSLBA.LS,Lisbon,Portugal,EUR,,,
46,BMENW.LS,Lisbon,Portugal,EUR,,,
47,BSCPI.LS,Lisbon,Portugal,EUR,,,
48,BGNVA.LS,Lisbon,Portugal,EUR,,,
49,OTEP.LS,Lisbon,Portugal,EUR,,,
50,BSINA.LS,Lisbon,Portugal,EUR,,,
51,BOTEZ.LS,Lisbon,Portugal,EUR,,,
52,BMENY.LS,Lisbon,Portugal,EUR,,,
53,BTAPB.LS,Lisbon,Portugal,EUR,,,
54,OTRVG.LS,Lisbon,Portugal,EUR,,,
55,OTEY.LS,Lisbon,Portugal,EUR,,,
56,BSINB.LS,Lisbon,Portugal,EUR,,,
57,OTRVF.LS,Lisbon,Portugal,EUR,,,
58,BFCPT.LS,Lisbon,Portugal,EUR,,,
59,BMENX.LS,Lisbon,Portugal,EUR,,,
