,tick,exchange,country_name,currency,sector,industry,fulltime_employees
0,QNBK.QA,Qatar,Qatar,QAR,Financial Services,Banks—Diversified,
1,IQCD.QA,Qatar,Qatar,QAR,Basic Materials,Chemicals,
2,QIBK.QA,Qatar,Qatar,QAR,Financial Services,Banks—Regional,
3,MARK.QA,Qatar,Qatar,QAR,Financial Services,Banks—Regional,
4,ERES.QA,Qatar,Qatar,QAR,Real Estate,Real Estate Services,
5,MPHC.QA,Qatar,Qatar,QAR,Basic Materials,Chemicals,
6,CBQK.QA,Qatar,Qatar,QAR,Financial Services,Banks—Regional,
7,ORDS.QA,Qatar,Qatar,QAR,Communication Services,Telecom Services,
8,QEWS.QA,Qatar,Qatar,QAR,Utilities,Utilities—Diversified,
9,QGTS.QA,Qatar,Qatar,QAR,Industrials,Marine Shipping,
10,QIIK.QA,Qatar,Qatar,QAR,Financial Services,Banks—Regional,
11,QFLS.QA,Qatar,Qatar,QAR,Energy,Oil & Gas Refining & Marketing,
12,QAMC.QA,Qatar,Qatar,QAR,Basic Materials,Aluminum,
13,BRES.QA,Qatar,Qatar,QAR,Real Estate,Real Estate—Diversified,
14,ABQK.QA,Qatar,Qatar,QAR,Financial Services,Banks—Regional,
15,QNNS.QA,Qatar,Qatar,QAR,Industrials,Marine Shipping,
16,DHBK.QA,Qatar,Qatar,QAR,Financial Services,Banks—Diversified,
17,QATI.QA,Qatar,Qatar,QAR,Financial Services,Insurance—Diversified,
18,AHCS.QA,Qatar,Qatar,QAR,Industrials,Conglomerates,
19,VFQS.QA,Qatar,Qatar,QAR,Communication Services,Telecom Services,
20,UDCD.QA,Qatar,Qatar,QAR,Real Estate,Real Estate—Development,
21,ZHCD.QA,Qatar,Qatar,QAR,Consumer Defensive,Packaged Foods,
22,MCCS.QA,Qatar,Qatar,QAR,Technology,Information Technology Services,
23,MERS.QA,Qatar,Qatar,QAR,Consumer Cyclical,Department Stores,
24,GISS.QA,Qatar,Qatar,QAR,Industrials,Conglomerates,
25,QNCD.QA,Qatar,Qatar,QAR,Basic Materials,Building Materials,
26,BLDN.QA,Qatar,Qatar,QAR,Consumer Defensive,Packaged Foods,
27,QIGD.QA,Qatar,Qatar,QAR,Basic Materials,Building Materials,
28,GWCS.QA,Qatar,Qatar,QAR,Industrials,Integrated Freight & Logistics,
29,IGRD.QA,Qatar,Qatar,QAR,Industrials,Engineering & Construction,
30,MCGS.QA,Qatar,Qatar,QAR,Healthcare,Medical Care Facilities,
31,QLMI.QA,Qatar,Qatar,QAR,Financial Services,Insurance—Diversified,
32,QGRI.QA,Qatar,Qatar,QAR,Financial Services,Insurance—Diversified,
33,QIMD.QA,Qatar,Qatar,QAR,Industrials,Conglomerates,
34,QISI.QA,Qatar,Qatar,QAR,Financial Services,Insurance—Diversified,
35,QFBQ.QA,Qatar,Qatar,QAR,Financial Services,Banks—Regional,
36,SIIS.QA,Qatar,Qatar,QAR,Industrials,Conglomerates,
37,MRDS.QA,Qatar,Qatar,QAR,Real Estate,Real Estate Services,
38,DOHI.QA,Qatar,Qatar,QAR,Financial Services,Insurance—Diversified,
39,AKHI.QA,Qatar,Qatar,QAR,Financial Services,Insurance—Diversified,
40,WDAM.QA,Qatar,Qatar,QAR,Consumer Defensive,Farm Products,
41,DBIS.QA,Qatar,Qatar,QAR,Financial Services,Capital Markets,
42,NLCS.QA,Qatar,Qatar,QAR,Real Estate,Real Estate—Development,
43,IHGS.QA,Qatar,Qatar,QAR,Financial Services,Capital Markets,
44,QOIS.QA,Qatar,Qatar,QAR,Financial Services,Asset Management,
45,QGMD.QA,Qatar,Qatar,QAR,Healthcare,Medical Instruments & Supplies,
46,QCFS.QA,Qatar,Qatar,QAR,Communication Services,Entertainment,
47,MKDM.QA,Qatar,Qatar,QAR,Industrials,Infrastructure Operations,
48,FALH.QA,Qatar,Qatar,QAR,Consumer Defensive,Education & Training Services,
