,tick,exchange,country_name,currency,sector,industry,fulltime_employees
0,2222.SR,Saudi,Saudi Arabia,SAR,Energy,Oil & Gas Integrated,
1,1120.SR,Saudi,Saudi Arabia,SAR,Financial Services,Banks—Regional,"15,078"
2,2010.SR,Saudi,Saudi Arabia,SAR,Basic Materials,Chemicals,
3,1180.SR,Saudi,Saudi Arabia,SAR,Financial Services,Banks—Regional,"16,113"
4,7010.SR,Saudi,Saudi Arabia,SAR,Communication Services,Telecom Services,
5,1211.SR,Saudi,Saudi Arabia,SAR,Basic Materials,Other Industrial Metals & Mining,
6,1010.SR,Saudi,Saudi Arabia,SAR,Financial Services,Banks—Regional,"5,660"
7,5110.SR,Saudi,Saudi Arabia,SAR,Utilities,Utilities—Regulated Electric,
8,2082.SR,Saudi,Saudi Arabia,SAR,Utilities,Utilities—Independent Power Producers,
9,1060.SR,Saudi,Saudi Arabia,SAR,Financial Services,Banks—Regional,"4,156"
10,2020.SR,Saudi,Saudi Arabia,SAR,Basic Materials,Agricultural Inputs,
11,1150.SR,Saudi,Saudi Arabia,SAR,Financial Services,Banks—Regional,"3,280"
12,4013.SR,Saudi,Saudi Arabia,SAR,Healthcare,Medical Care Facilities,
13,1050.SR,Saudi,Saudi Arabia,SAR,Financial Services,Banks—Regional,"2,997"
14,1140.SR,Saudi,Saudi Arabia,SAR,Financial Services,Banks—Regional,"3,618"
15,2280.SR,Saudi,Saudi Arabia,SAR,Consumer Defensive,Packaged Foods,"34,670"
16,1080.SR,Saudi,Saudi Arabia,SAR,Financial Services,Banks—Regional,"4,059"
17,2310.SR,Saudi,Saudi Arabia,SAR,Basic Materials,Chemicals,
18,4280.SR,Saudi,Saudi Arabia,SAR,Industrials,Conglomerates,
19,2290.SR,Saudi,Saudi Arabia,SAR,Basic Materials,Chemicals,
20,7020.SR,Saudi,Saudi Arabia,SAR,Communication Services,Telecom Services,
21,2350.SR,Saudi,Saudi Arabia,SAR,Basic Materials,Chemicals,
22,7202.SR,Saudi,Saudi Arabia,SAR,Communication Services,Telecom Services,
23,4250.SR,Saudi,Saudi Arabia,SAR,Real Estate,Real Estate Services,
24,2250.SR,Saudi,Saudi Arabia,SAR,Basic Materials,Specialty Chemicals,
25,2380.SR,Saudi,Saudi Arabia,SAR,Energy,Oil & Gas Refining & Marketing,
26,1020.SR,Saudi,Saudi Arabia,SAR,Financial Services,Banks—Regional,"2,638"
27,4002.SR,Saudi,Saudi Arabia,SAR,Healthcare,Medical Care Facilities,
28,4190.SR,Saudi,Saudi Arabia,SAR,Consumer Cyclical,Specialty Retail,
29,1030.SR,Saudi,Saudi Arabia,SAR,Financial Services,Banks—Regional,"1,480"
30,1111.SR,Saudi,Saudi Arabia,SAR,Financial Services,Capital Markets,
31,4210.SR,Saudi,Saudi Arabia,SAR,Communication Services,Publishing,
32,8210.SR,Saudi,Saudi Arabia,SAR,Financial Services,Insurance—Specialty,
33,2050.SR,Saudi,Saudi Arabia,SAR,Consumer Defensive,Packaged Foods,
