,tick,exchange,country_name,currency,sector,industry,fulltime_employees
0,D05.SI,SES,Singapore,SGD,Financial Services,Banks—Regional,"33,000"
1,U11.SI,SES,Singapore,SGD,Financial Services,Banks—Regional,"24,346"
2,O39.SI,SES,Singapore,SGD,Financial Services,Banks—Regional,"30,809"
3,Z77.SI,SES,Singapore,SGD,Communication Services,Telecom Services,"22,914"
4,J36.SI,SES,Bermuda,USD,Industrials,Conglomerates,"400,000"
5,Z74.SI,SES,Singapore,SGD,Communication Services,Telecom Services,"22,914"
6,F34.SI,SES,Singapore,SGD,Consumer Defensive,Farm Products,"100,000"
7,S07.SI,SES,Hong Kong,HKD,Consumer Cyclical,Lodging,"23,200"
8,9CI.SI,SES,Singapore,SGD,Real Estate,Real Estate Services,"10,000"
9,Q0F.SI,SES,Malaysia,SGD,Healthcare,Medical Care Facilities,
10,Y92.SI,SES,Thailand,SGD,Consumer Defensive,Beverages—Wineries & Distilleries,
11,C6L.SI,SES,Singapore,SGD,Industrials,Airlines,"22,934"
12,C38U.SI,SES,Singapore,SGD,Real Estate,REIT—Retail,646
13,S63.SI,SES,Singapore,SGD,Industrials,Aerospace & Defense,"22,405"
14,BN4.SI,SES,Singapore,SGD,Industrials,Conglomerates,"16,393"
15,A17U.SI,SES,Singapore,SGD,Real Estate,REIT—Industrial,
16,H78.SI,SES,Bermuda,USD,Real Estate,Real Estate—Development,"2,880"
17,C07.SI,SES,Singapore,SGD,Consumer Cyclical,Auto Manufacturers,"240,000"
18,S68.SI,SES,Singapore,SGD,Financial Services,Financial Data & Stock Exchanges,980
19,G07.SI,SES,Singapore,SGD,Financial Services,Insurance—Life,"5,500"
20,G13.SI,SES,Singapore,SGD,Consumer Cyclical,Resorts & Casinos,
21,M44U.SI,SES,Singapore,SGD,Real Estate,REIT—Industrial,
22,C09.SI,SES,Singapore,SGD,Real Estate,Real Estate—Development,
23,ME8U.SI,SES,Singapore,SGD,Real Estate,REIT—Industrial,193
24,VC2.SI,SES,Singapore,SGD,Consumer Defensive,Food Distribution,"43,100"
25,N2IU.SI,SES,Singapore,SGD,Real Estate,REIT—Retail,186
26,U14.SI,SES,Singapore,SGD,Real Estate,Real Estate—Development,"1,500"
27,BUOU.SI,SES,Singapore,SGD,Real Estate,REIT—Industrial,22
28,T82U.SI,SES,Singapore,SGD,Real Estate,REIT—Diversified,
29,U96.SI,SES,Singapore,SGD,Industrials,Conglomerates,"5,740"
30,S58.SI,SES,Singapore,SGD,Industrials,Airports & Air Services,"11,900"
31,V03.SI,SES,Singapore,SGD,Technology,Electronic Components,"11,999"
32,K71U.SI,SES,Singapore,SGD,Real Estate,REIT—Office,24
33,BVA.SI,SES,Malaysia,SGD,Healthcare,Medical Instruments & Supplies,"22,000"
34,E5H.SI,SES,Singapore,SGD,Consumer Defensive,Farm Products,"88,467"
35,TQ5.SI,SES,Singapore,SGD,Real Estate,Real Estate—Diversified,"5,032"
36,RW0U.SI,SES,Singapore,SGD,Real Estate,REIT—Diversified,260
37,T15.SI,SES,Hong Kong,HKD,Consumer Cyclical,Auto & Truck Dealerships,"5,105"
38,J69U.SI,SES,Singapore,SGD,Real Estate,REIT—Retail,
39,CJLU.SI,SES,Singapore,SGD,Communication Services,Telecom Services,
40,S51.SI,SES,Singapore,SGD,Industrials,Aerospace & Defense,
41,HMN.SI,SES,Singapore,SGD,Real Estate,REIT—Diversified,
42,BS6.SI,SES,China,SGD,Industrials,Aerospace & Defense,
43,D01.SI,SES,Hong Kong,USD,Consumer Defensive,Grocery Stores,"230,000"
44,U06.SI,SES,Singapore,SGD,Real Estate,Real Estate—Diversified,
45,AJBU.SI,SES,Singapore,SGD,Real Estate,REIT—Office,
46,EB5.SI,SES,Singapore,SGD,Consumer Defensive,Farm Products,
47,C52.SI,SES,Singapore,SGD,Industrials,Railroads,"23,187"
48,S59.SI,SES,Singapore,SGD,Industrials,Airports & Air Services,"6,253"
49,C2PU.SI,SES,Singapore,SGD,Real Estate,REIT—Healthcare Facilities,
50,P7VU.SI,SES,Singapore,SGD,Industrials,Marine Shipping,
51,A7RU.SI,SES,Singapore,SGD,Basic Materials,Specialty Chemicals,
52,SK6U.SI,SES,Singapore,SGD,Real Estate,REIT—Retail,
53,M04.SI,SES,Hong Kong,USD,Consumer Cyclical,Lodging,
54,H02.SI,SES,Singapore,SGD,Healthcare,Drug Manufacturers—General,
55,Z25.SI,SES,Singapore,SGD,Real Estate,Real Estate—Development,
56,OV8.SI,SES,Singapore,SGD,Consumer Defensive,Grocery Stores,
57,TS0U.SI,SES,Singapore,SGD,Real Estate,REIT—Retail,66
58,CC3.SI,SES,Singapore,SGD,Communication Services,Telecom Services,"1,631"
59,A50.SI,SES,Singapore,SGD,Healthcare,Medical Care Facilities,
60,BSL.SI,SES,Singapore,SGD,Healthcare,Medical Care Facilities,"2,700"
61,T14.SI,SES,China,USD,Healthcare,Drug Manufacturers—Specialty & Generic,"4,840"
62,NS8U.SI,SES,Singapore,USD,Industrials,Marine Shipping,
63,AU8U.SI,SES,Singapore,SGD,Real Estate,REIT—Retail,
64,H13.SI,SES,Singapore,SGD,Real Estate,Real Estate—Diversified,
65,F99.SI,SES,Singapore,SGD,Consumer Defensive,Packaged Foods,"6,900"
66,F17.SI,SES,Singapore,SGD,Real Estate,Real Estate—Diversified,
67,H15.SI,SES,Singapore,SGD,Consumer Cyclical,Lodging,
68,AUE.SI,SES,Singapore,SGD,Energy,Thermal Coal,
69,MZH.SI,SES,Singapore,SGD,Technology,Electronic Components,
70,AGS.SI,SES,Singapore,SGD,Consumer Cyclical,Luxury Goods,
71,J91U.SI,SES,Singapore,SGD,Real Estate,REIT—Industrial,
72,AIY.SI,SES,Singapore,SGD,Technology,Software—Application,"1,097"
73,J85.SI,SES,Singapore,SGD,Real Estate,REIT—Hotel & Motel,
74,NC2.SI,SES,Thailand,SGD,Consumer Cyclical,Auto Parts,
75,S08.SI,SES,Singapore,SGD,Industrials,Integrated Freight & Logistics,
76,AP4.SI,SES,Singapore,SGD,Healthcare,Medical Instruments & Supplies,"4,000"
77,CY6U.SI,SES,Singapore,SGD,Real Estate,Real Estate Services,
78,AWX.SI,SES,Singapore,SGD,Technology,Semiconductor Equipment & Materials,"1,496"
79,P8Z.SI,SES,Indonesia,SGD,Consumer Defensive,Farm Products,
80,U10.SI,SES,Singapore,SGD,Financial Services,Capital Markets,"3,005"
81,S20.SI,SES,Singapore,SGD,Basic Materials,Other Industrial Metals & Mining,68
82,JYEU.SI,SES,Singapore,SGD,Real Estate,REIT—Diversified,44
83,P40U.SI,SES,Singapore,SGD,Real Estate,REIT—Retail,30
84,W05.SI,SES,Singapore,SGD,Real Estate,Real Estate—Diversified,
85,UD2.SI,SES,Singapore,SGD,Consumer Defensive,Farm Products,"40,000"
86,Q5T.SI,SES,Singapore,SGD,Real Estate,REIT—Diversified,
87,B61.SI,SES,Singapore,SGD,Real Estate,Real Estate—Development,
88,CWBU.SI,SES,Singapore,EUR,Real Estate,REIT—Diversified,
89,K2LU.SI,SES,Singapore,SGD,Real Estate,REIT—Industrial,
