,tick,exchange,country_name,currency,sector,industry,fulltime_employees
0,BHG.JO,Johannesburg,Australia,ZAc,Basic Materials,Other Industrial Metals & Mining,"40,110"
1,PRX.JO,Johannesburg,Netherlands,ZAc,Communication Services,Internet Content & Information,"23,939"
2,ANH.JO,Johannesburg,Belgium,ZAc,Consumer Defensive,Beverages—Brewers,"169,339"
3,BTI.JO,Johannesburg,United Kingdom,ZAc,Consumer Defensive,Tobacco,"54,365"
4,GLN.JO,Johannesburg,Switzerland,ZAc,Basic Materials,Other Industrial Metals & Mining,"81,284"
5,CFR.JO,Johannesburg,Switzerland,ZAc,Consumer Cyclical,Luxury Goods,"34,760"
6,AGL.JO,Johannesburg,United Kingdom,ZAc,Basic Materials,Other Industrial Metals & Mining,"106,000"
7,AMS.JO,Johannesburg,South Africa,ZAc,Basic Materials,Other Precious Metals & Mining,
8,FSRP.JO,Johannesburg,South Africa,ZAc,,,
9,ABSP.JO,Johannesburg,South Africa,ZAc,Financial Services,Banks—Regional,"25,908"
10,FSR.JO,Johannesburg,South Africa,ZAc,Financial Services,Banks—Diversified,"47,579"
11,NPN.JO,Johannesburg,South Africa,ZAc,Communication Services,Internet Content & Information,"28,445"
12,MTN.JO,Johannesburg,South Africa,ZAc,Communication Services,Telecom Services,
13,SBK.JO,Johannesburg,South Africa,ZAc,Financial Services,Banks—Regional,"49,224"
14,S32.JO,Johannesburg,Australia,ZAc,Basic Materials,Other Industrial Metals & Mining,
15,VOD.JO,Johannesburg,South Africa,ZAc,Communication Services,Telecom Services,"7,642"
16,CPI.JO,Johannesburg,South Africa,ZAc,Financial Services,Banks—Regional,"14,789"
17,SOL.JO,Johannesburg,South Africa,ZAc,Basic Materials,Specialty Chemicals,"28,736"
18,GFI.JO,Johannesburg,South Africa,ZAc,Basic Materials,Gold,"17,604"
19,SOLBE1.JO,Johannesburg,South Africa,ZAc,Basic Materials,Specialty Chemicals,"28,736"
20,IMP.JO,Johannesburg,South Africa,ZAc,Basic Materials,Other Precious Metals & Mining,
21,KIO.JO,Johannesburg,South Africa,ZAc,Basic Materials,Steel,
22,CPIP.JO,Johannesburg,South Africa,ZAc,Financial Services,Banks—Regional,"14,789"
23,SSW.JO,Johannesburg,South Africa,ZAc,Basic Materials,Gold,"80,000"
24,MNP.JO,Johannesburg,United Kingdom,ZAc,Basic Materials,Paper & Paper Products,"26,400"
25,SLM.JO,Johannesburg,South Africa,ZAc,Financial Services,Insurance—Life,"21,180"
26,ABG.JO,Johannesburg,South Africa,ZAc,Financial Services,Banks—Regional,"35,267"
27,ANG.JO,Johannesburg,South Africa,ZAc,Basic Materials,Gold,
28,SHP.JO,Johannesburg,South Africa,ZAc,Consumer Cyclical,Department Stores,
29,SBPP.JO,Johannesburg,South Africa,ZAc,,,
30,DSY.JO,Johannesburg,South Africa,ZAc,Financial Services,Insurance—Life,
31,BID.JO,Johannesburg,South Africa,ZAc,Consumer Defensive,Food Distribution,"22,552"
32,NED.JO,Johannesburg,South Africa,ZAc,Financial Services,Banks—Regional,
33,DSBP.JO,Johannesburg,South Africa,ZAc,Financial Services,Insurance—Life,
34,REM.JO,Johannesburg,South Africa,ZAc,Financial Services,Asset Management,
35,PPH.JO,Johannesburg,South Africa,ZAc,Consumer Cyclical,Department Stores,
36,APN.JO,Johannesburg,South Africa,ZAc,Healthcare,Drug Manufacturers—Specialty & Generic,"8,581"
37,EXX.JO,Johannesburg,South Africa,ZAc,Energy,Thermal Coal,
38,CLS.JO,Johannesburg,South Africa,ZAc,Healthcare,Pharmaceutical Retailers,"15,252"
39,BVT.JO,Johannesburg,South Africa,ZAc,Industrials,Conglomerates,
40,NPH.JO,Johannesburg,South Africa,ZAc,Basic Materials,Other Precious Metals & Mining,
41,INP.JO,Johannesburg,South Africa,ZAc,Financial Services,Capital Markets,"8,200"
42,INPR.JO,Johannesburg,South Africa,ZAc,,,
43,WHL.JO,Johannesburg,South Africa,ZAc,Consumer Cyclical,Department Stores,"40,339"
44,RNI.JO,Johannesburg,Luxembourg,ZAc,Financial Services,Asset Management,
45,NRP.JO,Johannesburg,Isle of Man,ZAc,Real Estate,Real Estate—Diversified,
46,OMU.JO,Johannesburg,South Africa,ZAc,Financial Services,Insurance—Life,
47,MRP.JO,Johannesburg,South Africa,ZAc,Consumer Cyclical,Apparel Retail,"17,831"
48,MCG.JO,Johannesburg,South Africa,ZAc,Communication Services,Entertainment,"7,028"
49,MEI.JO,Johannesburg,South Africa,ZAc,Healthcare,Medical Care Facilities,"30,470"
50,ARI.JO,Johannesburg,South Africa,ZAc,Basic Materials,Other Industrial Metals & Mining,"12,335"
51,N91.JO,Johannesburg,South Africa,ZAc,Financial Services,Asset Management,"1,186"
52,GRT.JO,Johannesburg,South Africa,ZAc,Real Estate,REIT—Diversified,
53,NY1.JO,Johannesburg,South Africa,ZAc,Financial Services,Asset Management,"1,186"
54,TFG.JO,Johannesburg,South Africa,ZAc,Consumer Cyclical,Specialty Retail,
55,RBP.JO,Johannesburg,South Africa,ZAc,Basic Materials,Other Precious Metals & Mining,"11,024"
56,QLT.JO,Johannesburg,United Kingdom,ZAc,Financial Services,Asset Management,"3,056"
57,HAR.JO,Johannesburg,South Africa,ZAc,Basic Materials,Gold,"38,459"
58,RMI.JO,Johannesburg,South Africa,ZAc,Financial Services,Insurance—Diversified,
59,DGH.JO,Johannesburg,South Africa,ZAc,Consumer Defensive,Beverages—Wineries & Distilleries,"4,440"
60,TCP.JO,Johannesburg,South Africa,ZAc,Financial Services,Credit Services,
61,VVO.JO,Johannesburg,United Kingdom,ZAc,Energy,Oil & Gas Refining & Marketing,"2,700"
