,tick,exchange,country_name,currency,sector,industry,fulltime_employees
0,005935.KS,KSE,Japan,KRW,Technology,Consumer Electronics,
1,005930.KS,KSE,Japan,KRW,Technology,Consumer Electronics,
2,010145.KS,KSE,Japan,KRW,Industrials,Aerospace & Defense,
3,010140.KS,KSE,Japan,KRW,Industrials,Aerospace & Defense,
4,373220.KS,KSE,Japan,KRW,Industrials,Specialty Industrial Machinery,
5,000660.KS,KSE,Japan,KRW,Technology,Semiconductors,
6,207940.KS,KSE,Japan,KRW,Healthcare,Biotechnology,
7,035420.KS,KSE,Japan,KRW,Communication Services,Internet Content & Information,
8,035720.KS,KSE,Japan,KRW,Communication Services,Internet Content & Information,
9,006405.KS,KSE,Japan,KRW,Technology,Electronic Components,
10,006400.KS,KSE,Japan,KRW,Technology,Electronic Components,
11,005387.KS,KSE,Japan,KRW,Consumer Cyclical,Auto Manufacturers,
12,005385.KS,KSE,Japan,KRW,Consumer Cyclical,Auto Manufacturers,
13,005389.KS,KSE,Japan,KRW,Consumer Cyclical,Auto Manufacturers,
14,005380.KS,KSE,Japan,KRW,Consumer Cyclical,Auto Manufacturers,
15,051915.KS,KSE,Japan,KRW,Basic Materials,Chemicals,
16,051910.KS,KSE,Japan,KRW,Basic Materials,Chemicals,
17,000270.KS,KSE,Japan,KRW,Consumer Cyclical,Auto Manufacturers,
18,105560.KS,KSE,Japan,KRW,Financial Services,Banks—Regional,
19,005490.KS,KSE,Japan,KRW,Basic Materials,Steel,
20,068270.KS,KSE,Japan,KRW,Healthcare,Biotechnology,
21,055550.KS,KSE,Japan,KRW,Financial Services,Banks—Regional,
22,066570.KS,KSE,Japan,KRW,Technology,Consumer Electronics,
23,066575.KS,KSE,Japan,KRW,Technology,Consumer Electronics,
24,323410.KS,KSE,Japan,KRW,Financial Services,Banks—Regional,
25,03473K.KS,KSE,Japan,KRW,Technology,Information Technology Services,
26,012330.KS,KSE,Japan,KRW,Consumer Cyclical,Auto Parts,
27,009150.KS,KSE,Japan,KRW,Technology,Electronic Components,
28,009155.KS,KSE,Japan,KRW,Technology,Electronic Components,
29,096770.KS,KSE,Japan,KRW,Energy,Oil & Gas Refining & Marketing,
30,02826K.KS,KSE,Japan,KRW,Industrials,Engineering & Construction,
31,096775.KS,KSE,Japan,KRW,Energy,Oil & Gas Refining & Marketing,
32,028260.KS,KSE,Japan,KRW,Industrials,Engineering & Construction,
33,377300.KS,KSE,Japan,KRW,Technology,Software—Infrastructure,
34,034730.KS,KSE,Japan,KRW,Technology,Information Technology Services,
35,086790.KS,KSE,Japan,KRW,Financial Services,Banks—Regional,
36,015760.KS,KSE,Japan,KRW,Utilities,Utilities—Regulated Electric,
37,051900.KS,KSE,Japan,KRW,Consumer Defensive,Household & Personal Products,
38,051905.KS,KSE,Japan,KRW,Consumer Defensive,Household & Personal Products,
39,000720.KS,KSE,Japan,KRW,Industrials,Engineering & Construction,
40,000725.KS,KSE,Japan,KRW,Industrials,Engineering & Construction,
41,017670.KS,KSE,Japan,KRW,Communication Services,Telecom Services,
42,011200.KS,KSE,Japan,KRW,Industrials,Marine Shipping,
43,034020.KS,KSE,Japan,KRW,Industrials,Specialty Industrial Machinery,
44,329180.KS,KSE,Japan,KRW,Industrials,Aerospace & Defense,
45,010955.KS,KSE,Japan,KRW,Energy,Oil & Gas Refining & Marketing,
46,010950.KS,KSE,Japan,KRW,Energy,Oil & Gas Refining & Marketing,
47,003555.KS,KSE,Japan,KRW,Technology,Consumer Electronics,
