,tick,exchange,country_name,currency,sector,industry,fulltime_employees
0,XPBR.MC,MCE,Chile,EUR,Energy,Oil & Gas Integrated,"45,532"
1,XPBRA.MC,MCE,Chile,EUR,Energy,Oil & Gas Integrated,"45,532"
2,AIR.MC,MCE,Netherlands,EUR,Industrials,Aerospace & Defense,"121,056"
3,XVALO.MC,MCE,Brazil,EUR,Basic Materials,Other Industrial Metals & Mining,
4,IBE.MC,MCE,Spain,EUR,Utilities,Utilities—Diversified,"38,702"
5,ITX.MC,MCE,Spain,EUR,Consumer Cyclical,Apparel Retail,"73,024"
6,SAN.MC,MCE,Spain,EUR,Financial Services,Banks—Diversified,"177,033"
7,XAMXL.MC,MCE,Mexico,EUR,Communication Services,Telecom Services,"181,205"
8,XBBDC.MC,MCE,Brazil,EUR,Financial Services,Banks—Regional,"85,264"
9,BBVA.MC,MCE,Spain,EUR,Financial Services,Banks—Diversified,"110,432"
10,CLNX.MC,MCE,Spain,EUR,Communication Services,Telecom Services,"2,877"
11,TEF.MC,MCE,Spain,EUR,Communication Services,Telecom Services,"104,150"
12,NTGY.MC,MCE,Spain,EUR,Utilities,Utilities—Regulated Gas,"7,231"
13,MTS.MC,MCE,Luxembourg,EUR,Basic Materials,Steel,"158,000"
14,AMS.MC,MCE,Spain,EUR,Consumer Cyclical,Travel Services,"15,936"
15,CABK.MC,MCE,Spain,EUR,Financial Services,Banks—Regional,"49,607"
16,AENA.MC,MCE,Spain,EUR,Industrials,Airports & Air Services,"8,162"
17,CCEP.MC,MCE,United Kingdom,EUR,Consumer Defensive,Beverages—Non-Alcoholic,"22,000"
18,ELE.MC,MCE,Spain,EUR,Utilities,Utilities—Regulated Electric,"9,258"
19,REP.MC,MCE,Spain,EUR,Energy,Oil & Gas Integrated,"23,268"
20,FER.MC,MCE,Spain,EUR,Industrials,Infrastructure Operations,"18,680"
21,XEKT.MC,MCE,Mexico,EUR,Financial Services,Financial Conglomerates,"67,848"
22,XELTB.MC,MCE,Brazil,EUR,Utilities,Utilities—Regulated Electric,"12,126"
23,ANE.MC,MCE,Spain,EUR,Utilities,Utilities—Renewable,"1,762"
24,ANA.MC,MCE,Spain,EUR,Industrials,Engineering & Construction,"41,664"
25,SGRE.MC,MCE,Spain,EUR,Industrials,Specialty Industrial Machinery,"26,481"
26,REE.MC,MCE,Spain,EUR,Utilities,Utilities—Regulated Electric,"2,087"
27,GRF.MC,MCE,Spain,EUR,Healthcare,Drug Manufacturers—General,"23,245"
28,XGGB.MC,MCE,Brazil,EUR,Basic Materials,Steel,"30,000"
29,IAG.MC,MCE,Spain,EUR,Industrials,Airlines,"44,193"
30,ACS.MC,MCE,Spain,EUR,Industrials,Engineering & Construction,"120,827"
31,XBRK.MC,MCE,Brazil,EUR,Basic Materials,Chemicals,"8,312"
32,MAP.MC,MCE,Spain,EUR,Financial Services,Insurance—Diversified,"31,478"
33,ENG.MC,MCE,Spain,EUR,Utilities,Utilities—Regulated Gas,"1,312"
34,XCMIG.MC,MCE,Brazil,EUR,Utilities,Utilities—Diversified,"5,102"
35,MRL.MC,MCE,Spain,EUR,Real Estate,REIT—Diversified,239
36,BKT.MC,MCE,Spain,EUR,Financial Services,Banks—Regional,"6,138"
37,FDR.MC,MCE,Spain,EUR,Industrials,Specialty Industrial Machinery,"6,594"
38,FCC.MC,MCE,Spain,EUR,Industrials,Waste Management,"44,356"
39,SAB.MC,MCE,Spain,EUR,Financial Services,Banks—Diversified,"19,878"
40,XCOP.MC,MCE,Brazil,EUR,Utilities,Utilities—Diversified,"6,538"
41,COL.MC,MCE,Spain,EUR,Real Estate,REIT—Office,227
42,ROVI.MC,MCE,Spain,EUR,Healthcare,Biotechnology,"1,751"
43,ZOT.MC,MCE,Spain,EUR,Industrials,Specialty Industrial Machinery,"5,552"
44,GCO.MC,MCE,Spain,EUR,Financial Services,Insurance—Diversified,"7,507"
45,ALB.MC,MCE,Spain,EUR,Financial Services,Asset Management,"2,146"
46,XALFA.MC,MCE,Mexico,EUR,Industrials,Conglomerates,"56,160"
47,APAM.MC,MCE,Luxembourg,EUR,Basic Materials,Steel,"9,500"
48,XUSI.MC,MCE,Brazil,EUR,Basic Materials,Steel,
49,SLR.MC,MCE,Spain,EUR,Utilities,Utilities—Renewable,128
50,ACX.MC,MCE,Spain,EUR,Basic Materials,Steel,"8,150"
51,XUSIO.MC,MCE,Brazil,EUR,Basic Materials,Steel,
52,EBRO.MC,MCE,Spain,EUR,Consumer Defensive,Packaged Foods,"5,920"
53,CIE.MC,MCE,Spain,EUR,Consumer Cyclical,Auto Parts,"24,484"
54,UNI.MC,MCE,Spain,EUR,Financial Services,Banks—Regional,"9,100"
55,VIS.MC,MCE,Spain,EUR,Consumer Cyclical,Packaging & Containers,"5,182"
