,tick,exchange,country_name,currency,sector,industry,fulltime_employees
0,PFE.ST,Stockholm,United States,SEK,Healthcare,Drug Manufacturers—General,"79,000"
1,AZN.ST,Stockholm,United Kingdom,SEK,Healthcare,Drug Manufacturers—General,"83,100"
2,INVE-B.ST,Stockholm,Sweden,SEK,Financial Services,Asset Management,"16,753"
3,INVE-A.ST,Stockholm,Sweden,SEK,Financial Services,Asset Management,"16,753"
4,ABB.ST,Stockholm,Switzerland,SEK,Industrials,Electrical Equipment & Parts,"104,400"
5,ATCO-A.ST,Stockholm,Sweden,SEK,Industrials,Specialty Industrial Machinery,"42,862"
6,ATCO-B.ST,Stockholm,Sweden,SEK,Industrials,Specialty Industrial Machinery,"42,862"
7,NDA-SE.ST,Stockholm,Finland,SEK,Financial Services,Banks—Regional,"26,894"
8,HEXA-B.ST,Stockholm,Sweden,SEK,Technology,Scientific & Technical Instruments,"22,097"
9,EQT.ST,Stockholm,Sweden,SEK,Financial Services,Asset Management,"1,059"
10,VOLV-A.ST,Stockholm,Sweden,SEK,Industrials,Farm & Heavy Construction Machinery,"92,144"
11,VOLV-B.ST,Stockholm,Sweden,SEK,Industrials,Farm & Heavy Construction Machinery,"92,144"
12,ASSA-B.ST,Stockholm,Sweden,SEK,Industrials,Security & Protection Services,"51,000"
13,NOKIA-SEK.ST,Stockholm,Finland,SEK,Technology,Communication Equipment,"87,927"
14,ERIC-A.ST,Stockholm,Sweden,SEK,Technology,Communication Equipment,"100,454"
15,ERIC-B.ST,Stockholm,Sweden,SEK,Technology,Communication Equipment,"100,454"
16,SAND.ST,Stockholm,Sweden,SEK,Industrials,Specialty Industrial Machinery,"38,325"
17,SEB-C.ST,Stockholm,Sweden,SEK,Financial Services,Banks—Regional,"15,500"
18,SEB-A.ST,Stockholm,Sweden,SEK,Financial Services,Banks—Regional,"15,500"
19,EPI-A.ST,Stockholm,Sweden,SEK,Industrials,Farm & Heavy Construction Machinery,"15,529"
20,EPI-B.ST,Stockholm,Sweden,SEK,Industrials,Farm & Heavy Construction Machinery,"15,529"
21,HM-B.ST,Stockholm,Sweden,SEK,Consumer Cyclical,Apparel Manufacturing,"155,000"
22,NIBE-B.ST,Stockholm,Sweden,SEK,Industrials,Building Products & Equipment,"19,759"
23,VOLCAR-B.ST,Stockholm,Sweden,SEK,Consumer Cyclical,Auto Manufacturers,"43,069"
24,SHB-B.ST,Stockholm,Sweden,SEK,Financial Services,Banks—Diversified,"10,793"
25,EVO.ST,Stockholm,Sweden,SEK,Consumer Cyclical,Gambling,"8,987"
