,tick,exchange,country_name,currency,sector,industry,fulltime_employees
0,CPALL-R.BK,Thailand,Thailand,THB,Consumer Defensive,Grocery Stores,
1,KCE-R.BK,Thailand,Thailand,THB,Technology,Electronic Components,
2,AOT-R.BK,Thailand,Thailand,THB,Industrials,Airports & Air Services,
3,BEM-R.BK,Thailand,Thailand,THB,Industrials,Railroads,
4,PTT-R.BK,Thailand,Thailand,THB,Energy,Oil & Gas Integrated,
5,PTT.BK,Thailand,Thailand,THB,Energy,Oil & Gas Integrated,
6,KTC-R.BK,Thailand,Thailand,THB,Financial Services,Credit Services,
7,AOT.BK,Thailand,Thailand,THB,Industrials,Airports & Air Services,
8,SCC-R.BK,Thailand,Thailand,THB,Basic Materials,Specialty Chemicals,
9,CPF-R.BK,Thailand,Thailand,THB,Consumer Defensive,Farm Products,
10,KBANK-R.BK,Thailand,Thailand,THB,Financial Services,Banks—Regional,
11,BH-R.BK,Thailand,Thailand,THB,Healthcare,Medical Care Facilities,
12,INTUCH-R.BK,Thailand,Thailand,THB,Communication Services,Telecom Services,
13,CPN-R.BK,Thailand,Thailand,THB,Real Estate,Real Estate—Diversified,
14,PTTEP-R.BK,Thailand,Thailand,THB,Energy,Oil & Gas E&P,
15,MINT-R.BK,Thailand,Thailand,THB,Consumer Cyclical,Lodging,
16,ADVANC-R.BK,Thailand,Thailand,THB,Communication Services,Telecom Services,
17,ADVANC.BK,Thailand,Thailand,THB,Communication Services,Telecom Services,
18,CENTEL-R.BK,Thailand,Thailand,THB,Consumer Cyclical,Resorts & Casinos,
19,SCB-R.BK,Thailand,Thailand,THB,Financial Services,Banks—Regional,
20,CPALL.BK,Thailand,Thailand,THB,Consumer Defensive,Grocery Stores,
21,GULF.BK,Thailand,Thailand,THB,Utilities,Utilities—Renewable,
22,PTTEP.BK,Thailand,Thailand,THB,Energy,Oil & Gas E&P,
23,BAY-R.BK,Thailand,Thailand,THB,Financial Services,Banks—Regional,
24,TRUE-R.BK,Thailand,Thailand,THB,Communication Services,Telecom Services,
25,DELTA.BK,Thailand,Thailand,THB,Industrials,Electrical Equipment & Parts,
26,DELTA-R.BK,Thailand,Thailand,THB,Industrials,Electrical Equipment & Parts,
27,BDMS-R.BK,Thailand,Thailand,THB,Healthcare,Medical Care Facilities,
28,SCC.BK,Thailand,Thailand,THB,Basic Materials,Specialty Chemicals,
29,JTS-R.BK,Thailand,Thailand,THB,Communication Services,Telecom Services,
30,BDMS.BK,Thailand,Thailand,THB,Healthcare,Medical Care Facilities,
31,JTS.BK,Thailand,Thailand,THB,Communication Services,Telecom Services,
32,MAKRO-R.BK,Thailand,Thailand,THB,Consumer Cyclical,Department Stores,
33,MAKRO.BK,Thailand,Thailand,THB,Consumer Cyclical,Department Stores,
34,KBANK.BK,Thailand,Thailand,THB,Financial Services,Banks—Regional,
35,BTS-R.BK,Thailand,Thailand,THB,Industrials,Railroads,
36,EA.BK,Thailand,Thailand,THB,Utilities,Utilities—Renewable,
37,EA-R.BK,Thailand,Thailand,THB,Utilities,Utilities—Renewable,
38,KTB-R.BK,Thailand,Thailand,THB,Financial Services,Banks—Regional,
39,SPCG-R.BK,Thailand,Thailand,THB,Utilities,Utilities—Renewable,
40,DTAC-R.BK,Thailand,Thailand,THB,Communication Services,Telecom Services,
41,SCB.BK,Thailand,Thailand,THB,Financial Services,Banks—Regional,"25,937"
42,OR.BK,Thailand,Thailand,THB,Energy,Oil & Gas Refining & Marketing,
43,CPN.BK,Thailand,Thailand,THB,Real Estate,Real Estate—Diversified,
44,RS-R.BK,Thailand,Thailand,THB,Communication Services,Entertainment,
45,KKP-R.BK,Thailand,Thailand,THB,Financial Services,Banks—Regional,
46,IVL-R.BK,Thailand,Thailand,THB,Basic Materials,Chemicals,
47,IVL.BK,Thailand,Thailand,THB,Basic Materials,Chemicals,
48,JAS-R.BK,Thailand,Thailand,THB,Communication Services,Telecom Services,
49,BBL-R.BK,Thailand,Thailand,THB,Financial Services,Banks—Regional,
50,BAY.BK,Thailand,Thailand,THB,Financial Services,Banks—Regional,
51,BBL.BK,Thailand,Thailand,THB,Financial Services,Banks—Regional,
52,SCGP.BK,Thailand,Thailand,THB,Consumer Cyclical,Packaging & Containers,
53,CRC.BK,Thailand,Thailand,THB,Consumer Cyclical,Department Stores,
54,INTUCH.BK,Thailand,Thailand,THB,Communication Services,Telecom Services,
55,PTTGC-R.BK,Thailand,Thailand,THB,Basic Materials,Chemicals,
56,PTTGC.BK,Thailand,Thailand,THB,Basic Materials,Chemicals,
57,SPALI-R.BK,Thailand,Thailand,THB,Real Estate,Real Estate—Development,
58,EGCO-R.BK,Thailand,Thailand,THB,Utilities,Utilities—Independent Power Producers,
59,HMPRO-R.BK,Thailand,Thailand,THB,Consumer Cyclical,Home Improvement Retail,
60,HMPRO.BK,Thailand,Thailand,THB,Consumer Cyclical,Home Improvement Retail,
61,KTB.BK,Thailand,Thailand,THB,Financial Services,Banks—Regional,
62,GPSC.BK,Thailand,Thailand,THB,Utilities,Utilities—Regulated Electric,
63,CPF.BK,Thailand,Thailand,THB,Consumer Defensive,Farm Products,
64,CK-R.BK,Thailand,Thailand,THB,Industrials,Engineering & Construction,
65,LH-R.BK,Thailand,Thailand,THB,Real Estate,Real Estate—Development,
66,MINT.BK,Thailand,Thailand,THB,Consumer Cyclical,Lodging,
67,TTA-R.BK,Thailand,Thailand,THB,Industrials,Conglomerates,
68,TRUE.BK,Thailand,Thailand,THB,Communication Services,Telecom Services,
69,TTB-R.BK,Thailand,Thailand,THB,Financial Services,Banks—Regional,
70,AWC.BK,Thailand,Thailand,THB,Real Estate,Real Estate Services,
71,TOP-R.BK,Thailand,Thailand,THB,Energy,Oil & Gas Refining & Marketing,
72,PSG-R.BK,Thailand,Thailand,THB,Industrials,Engineering & Construction,
73,KTC.BK,Thailand,Thailand,THB,Financial Services,Credit Services,
74,BJC.BK,Thailand,Thailand,THB,Industrials,Conglomerates,
75,BJC-R.BK,Thailand,Thailand,THB,Industrials,Conglomerates,
76,HANA-R.BK,Thailand,Thailand,THB,Technology,Electronic Components,
77,BH.BK,Thailand,Thailand,THB,Healthcare,Medical Care Facilities,
78,BEM.BK,Thailand,Thailand,THB,Industrials,Railroads,
79,TCAP-R.BK,Thailand,Thailand,THB,Financial Services,Financial Conglomerates,
80,BCH-R.BK,Thailand,Thailand,THB,Healthcare,Medical Care Facilities,
81,THANI-R.BK,Thailand,Thailand,THB,Financial Services,Credit Services,
82,TTB.BK,Thailand,Thailand,THB,Financial Services,Banks—Regional,
83,JMT.BK,Thailand,Thailand,THB,Financial Services,Credit Services,
84,LH.BK,Thailand,Thailand,THB,Real Estate,Real Estate—Development,
85,DTAC.BK,Thailand,Thailand,THB,Communication Services,Telecom Services,
86,TOP.BK,Thailand,Thailand,THB,Energy,Oil & Gas Refining & Marketing,
87,AMATA-R.BK,Thailand,Thailand,THB,Real Estate,Real Estate—Development,
88,CBG.BK,Thailand,Thailand,THB,Consumer Defensive,Beverages—Non-Alcoholic,
89,CBG-R.BK,Thailand,Thailand,THB,Consumer Defensive,Beverages—Non-Alcoholic,
90,GLOBAL.BK,Thailand,Thailand,THB,Consumer Cyclical,Home Improvement Retail,
91,BLAND-R.BK,Thailand,Thailand,THB,Real Estate,Real Estate—Diversified,
92,BTS.BK,Thailand,Thailand,THB,Industrials,Railroads,
93,MTC-R.BK,Thailand,Thailand,THB,Financial Services,Credit Services,
94,MTC.BK,Thailand,Thailand,THB,Financial Services,Credit Services,
95,GULF-R.BK,Thailand,Thailand,THB,Utilities,Utilities—Renewable,
96,GPSC-R.BK,Thailand,Thailand,THB,Utilities,Utilities—Regulated Electric,
97,OSP-R.BK,Thailand,Thailand,THB,Consumer Defensive,Beverages—Non-Alcoholic,
98,OSP.BK,Thailand,Thailand,THB,Consumer Defensive,Beverages—Non-Alcoholic,
99,COM7.BK,Thailand,Thailand,THB,Consumer Cyclical,Specialty Retail,
100,GLOBAL-R.BK,Thailand,Thailand,THB,Consumer Cyclical,Home Improvement Retail,
101,EGCO.BK,Thailand,Thailand,THB,Utilities,Utilities—Independent Power Producers,
102,BGRIM-R.BK,Thailand,Thailand,THB,Utilities,Utilities—Independent Power Producers,
103,TIDLOR.BK,Thailand,Thailand,THB,Financial Services,Credit Services,
104,BGRIM.BK,Thailand,Thailand,THB,Utilities,Utilities—Independent Power Producers,
105,JMART.BK,Thailand,Thailand,THB,Consumer Cyclical,Specialty Retail,
106,BCP-R.BK,Thailand,Thailand,THB,Energy,Oil & Gas Refining & Marketing,
107,THG-R.BK,Thailand,Thailand,THB,Healthcare,Medical Care Facilities,
108,THG.BK,Thailand,Thailand,THB,Healthcare,Medical Care Facilities,
109,TISCO-R.BK,Thailand,Thailand,THB,Financial Services,Banks—Regional,
110,TISCO.BK,Thailand,Thailand,THB,Financial Services,Banks—Regional,
111,BANPU.BK,Thailand,Thailand,THB,Energy,Thermal Coal,
112,BANPU-R.BK,Thailand,Thailand,THB,Energy,Thermal Coal,
113,TU.BK,Thailand,Thailand,THB,Consumer Defensive,Packaged Foods,
114,TU-R.BK,Thailand,Thailand,THB,Consumer Defensive,Packaged Foods,
115,RATCH-R.BK,Thailand,Thailand,THB,Utilities,Utilities—Regulated Electric,
116,BLA.BK,Thailand,Thailand,THB,Financial Services,Insurance—Life,
117,BLA-R.BK,Thailand,Thailand,THB,Financial Services,Insurance—Life,
118,SAWAD.BK,Thailand,Thailand,THB,Financial Services,Credit Services,
119,RAM-R.BK,Thailand,Thailand,THB,Healthcare,Medical Care Facilities,
120,IRPC-R.BK,Thailand,Thailand,THB,Energy,Oil & Gas Refining & Marketing,
121,KCE.BK,Thailand,Thailand,THB,Technology,Electronic Components,
122,RAM.BK,Thailand,Thailand,THB,Healthcare,Medical Care Facilities,
123,SAWAD-R.BK,Thailand,Thailand,THB,Financial Services,Credit Services,
124,JMT-R.BK,Thailand,Thailand,THB,Financial Services,Credit Services,
125,IRPC.BK,Thailand,Thailand,THB,Energy,Oil & Gas Refining & Marketing,
126,STGT.BK,Thailand,Thailand,THB,Basic Materials,Specialty Chemicals,
127,STEC-R.BK,Thailand,Thailand,THB,Industrials,Engineering & Construction,
128,PSG.BK,Thailand,Thailand,THB,Industrials,Engineering & Construction,
129,TFMAMA-R.BK,Thailand,Thailand,THB,Consumer Defensive,Packaged Foods,
130,TFMAMA.BK,Thailand,Thailand,THB,Consumer Defensive,Packaged Foods,
131,BAM.BK,Thailand,Thailand,THB,Financial Services,Asset Management,
132,RATCH.BK,Thailand,Thailand,THB,Utilities,Utilities—Regulated Electric,
133,WORK-R.BK,Thailand,Thailand,THB,Communication Services,Broadcasting,
134,KKP.BK,Thailand,Thailand,THB,Financial Services,Banks—Regional,
135,DOHOME.BK,Thailand,Thailand,THB,Consumer Cyclical,Home Improvement Retail,
136,KGI-R.BK,Thailand,Thailand,THB,Financial Services,Capital Markets,
137,TOA-R.BK,Thailand,Thailand,THB,Basic Materials,Specialty Chemicals,
138,TOA.BK,Thailand,Thailand,THB,Basic Materials,Specialty Chemicals,
139,CENTEL.BK,Thailand,Thailand,THB,Consumer Cyclical,Resorts & Casinos,
140,BCH.BK,Thailand,Thailand,THB,Healthcare,Medical Care Facilities,
141,VGI.BK,Thailand,Thailand,THB,Communication Services,Advertising Agencies,
142,STARK.BK,Thailand,Thailand,THB,Industrials,Electrical Equipment & Parts,
143,STARK-R.BK,Thailand,Thailand,THB,Industrials,Electrical Equipment & Parts,
144,GUNKUL-R.BK,Thailand,Thailand,THB,Industrials,Conglomerates,
145,GUNKUL.BK,Thailand,Thailand,THB,Industrials,Conglomerates,
146,CPNREIT.BK,Thailand,Thailand,THB,Real Estate,REIT—Diversified,
147,TVO-R.BK,Thailand,Thailand,THB,Consumer Defensive,Packaged Foods,
148,WHA.BK,Thailand,Thailand,THB,Real Estate,Real Estate Services,
149,COM7-R.BK,Thailand,Thailand,THB,Consumer Cyclical,Specialty Retail,
150,M-R.BK,Thailand,Thailand,THB,Consumer Cyclical,Restaurants,
151,M.BK,Thailand,Thailand,THB,Consumer Cyclical,Restaurants,
152,BPP-R.BK,Thailand,Thailand,THB,Utilities,Utilities—Independent Power Producers,
153,BPP.BK,Thailand,Thailand,THB,Utilities,Utilities—Independent Power Producers,
154,DITTO.BK,Thailand,Thailand,THB,Technology,Information Technology Services,
155,WHA-R.BK,Thailand,Thailand,THB,Real Estate,Real Estate Services,
156,AEONTS-R.BK,Thailand,Thailand,THB,Financial Services,Credit Services,
157,AEONTS.BK,Thailand,Thailand,THB,Financial Services,Credit Services,
158,EFORL.BK,Thailand,Thailand,THB,Healthcare,Medical Distribution,
159,EFORL-R.BK,Thailand,Thailand,THB,Healthcare,Medical Distribution,
160,SINGER.BK,Thailand,Thailand,THB,Financial Services,Credit Services,
161,SINGER-R.BK,Thailand,Thailand,THB,Financial Services,Credit Services,
162,PSL-R.BK,Thailand,Thailand,THB,Industrials,Marine Shipping,
163,SVI-R.BK,Thailand,Thailand,THB,Technology,Electronic Components,
164,SCCC-R.BK,Thailand,Thailand,THB,Basic Materials,Building Materials,
165,SCCC.BK,Thailand,Thailand,THB,Basic Materials,Building Materials,
166,CHG-R.BK,Thailand,Thailand,THB,Healthcare,Medical Care Facilities,
167,CHG.BK,Thailand,Thailand,THB,Healthcare,Medical Care Facilities,
168,JMART-R.BK,Thailand,Thailand,THB,Consumer Cyclical,Specialty Retail,
169,TTW.BK,Thailand,Thailand,THB,Utilities,Utilities—Regulated Water,
170,TTW-R.BK,Thailand,Thailand,THB,Utilities,Utilities—Regulated Water,
171,SPALI.BK,Thailand,Thailand,THB,Real Estate,Real Estate—Development,
172,FORTH-R.BK,Thailand,Thailand,THB,Technology,Electronic Components,
173,FORTH.BK,Thailand,Thailand,THB,Technology,Electronic Components,
174,SPRC.BK,Thailand,Thailand,THB,Energy,Oil & Gas Refining & Marketing,
175,SPRC-R.BK,Thailand,Thailand,THB,Energy,Oil & Gas Refining & Marketing,
