,tick,exchange,country_name,currency,sector,industry,fulltime_employees
0,QNBFB.IS,Istanbul,Turkey,TRY,Financial Services,Banks—Regional,"12,345"
1,EREGL.IS,Istanbul,Turkey,TRY,Basic Materials,Steel,"12,788"
2,FROTO.IS,Istanbul,Turkey,TRY,Consumer Cyclical,Auto Manufacturers,"13,724"
3,KCHOL.IS,Istanbul,Turkey,TRY,Industrials,Conglomerates,"105,908"
4,ENKAI.IS,Istanbul,Turkey,TRY,Industrials,Engineering & Construction,"19,462"
5,ISDMR.IS,Istanbul,Turkey,TRY,Basic Materials,Steel,"4,799"
6,SASA.IS,Istanbul,Turkey,TRY,Consumer Cyclical,Textile Manufacturing,"4,477"
7,TUPRS.IS,Istanbul,Turkey,TRY,Energy,Oil & Gas Refining & Marketing,"5,923"
8,ASELS.IS,Istanbul,Turkey,TRY,Industrials,Aerospace & Defense,"9,905"
9,GARAN.IS,Istanbul,Turkey,TRY,Financial Services,Banks—Regional,"20,962"
10,THYAO.IS,Istanbul,Turkey,TRY,Industrials,Airlines,"37,394"
11,SISE.IS,Istanbul,Turkey,TRY,Basic Materials,Specialty Chemicals,"21,772"
12,BIMAS.IS,Istanbul,Turkey,TRY,Consumer Defensive,Grocery Stores,"70,197"
13,TCELL.IS,Istanbul,Turkey,TRY,Communication Services,Telecom Services,
14,ISCTR.IS,Istanbul,Turkey,TRY,Financial Services,Banks—Regional,"27,366"
15,ISBTR.IS,Istanbul,Turkey,TRY,Financial Services,Banks—Regional,"27,366"
16,KENT.IS,Istanbul,Turkey,TRY,Consumer Defensive,Confectioners,"1,140"
17,AKBNK.IS,Istanbul,Turkey,TRY,Financial Services,Banks—Regional,"12,606"
18,ARCLK.IS,Istanbul,Turkey,TRY,Consumer Cyclical,"Furnishings, Fixtures & Appliances","39,487"
19,TTKOM.IS,Istanbul,Turkey,TRY,Communication Services,Telecom Services,"35,868"
20,YKBNK.IS,Istanbul,Turkey,TRY,Financial Services,Banks—Regional,"15,452"
21,TOASO.IS,Istanbul,Turkey,TRY,Consumer Cyclical,Auto Manufacturers,"6,482"
22,SAHOL.IS,Istanbul,Turkey,TRY,Financial Services,Banks—Regional,"65,054"
23,VAKBN.IS,Istanbul,Turkey,TRY,Financial Services,Banks—Regional,"16,929"
24,CCOLA.IS,Istanbul,Turkey,TRY,Consumer Defensive,Beverages—Non-Alcoholic,"8,000"
25,KLNMA.IS,Istanbul,Turkey,TRY,Financial Services,Banks—Regional,
26,HALKB.IS,Istanbul,Turkey,TRY,Financial Services,Banks—Regional,"20,270"
27,GUBRF.IS,Istanbul,Turkey,TRY,Basic Materials,Agricultural Inputs,"1,576"
28,PETKM.IS,Istanbul,Turkey,TRY,Basic Materials,Chemicals,"2,377"
29,KOZAL.IS,Istanbul,Turkey,TRY,Basic Materials,Gold,"2,664"
