,tick,exchange,country_name,currency,sector,industry,fulltime_employees
0,GN111P.CR,Caracas,Turkey,USD,,,
1,FVI-B.CR,Caracas,Turkey,USD,,,
2,1SVS.CR,Caracas,Turkey,USD,,,
3,SR316P.CR,Caracas,Turkey,USD,,,
4,MN221P.CR,Caracas,Turkey,USD,,,
5,1BVL.CR,Caracas,Turkey,USD,,,
6,1FNC.CR,Caracas,Turkey,USD,,,
7,1CRMA.CR,Caracas,Turkey,USD,,,
8,1MPA.CR,Caracas,Turkey,USD,,,
9,GC216P.CR,Caracas,Turkey,USD,,,
10,CGQ.CR,Caracas,Turkey,USD,,,
11,C2154P.CR,Caracas,Turkey,USD,,,
12,C2164P.CR,Caracas,Turkey,USD,,,
13,2CIE.CR,Caracas,Turkey,USD,,,
14,FFV-B.CR,Caracas,Turkey,USD,,,
15,TS018P.CR,Caracas,Turkey,USD,,,
16,C2134P.CR,Caracas,Turkey,USD,,,
17,C2144P.CR,Caracas,Turkey,USD,,,
18,3BOU.CR,Caracas,Turkey,USD,,,
19,1PTN.CR,Caracas,Turkey,USD,,,
20,1EFE.CR,Caracas,Turkey,USD,,,
21,ABC-A.CR,Caracas,Turkey,USD,,,
22,1TDVD.CR,Caracas,Turkey,USD,,,
23,GA211P.CR,Caracas,Turkey,USD,,,
24,PL114P.CR,Caracas,Turkey,USD,,,
25,2BNC.CR,Caracas,Turkey,USD,,,
26,BPV.CR,Caracas,Turkey,USD,,,
27,1BVCC.CR,Caracas,Turkey,USD,,,
28,1ENV.CR,Caracas,Turkey,USD,,,
29,2TPG.CR,Caracas,Turkey,USD,,,
30,RST-B.CR,Caracas,Turkey,USD,,,
31,RST.CR,Caracas,Turkey,USD,,,
32,FVI-A.CR,Caracas,Turkey,USD,,,
33,1PGR.CR,Caracas,Turkey,USD,,,
34,MVZ-A.CR,Caracas,Turkey,USD,,,
35,DOM.CR,Caracas,Turkey,USD,,,
36,MVZ-B.CR,Caracas,Turkey,USD,,,
